,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,DNN_logits,mbert_cos,xlm_cos,indic_bert_cos,muril_cos,ass_bertmbert,ass_bertxlm,ass_bertindic_bert,ass_bertmuril,label
0,All languages,ধনিয়া,ধনিয়া,dʰɔnija,d̪ʱɔn̪ie̯a,Coriander,Coriander,0.5,0.0,0.0347222222222222,0.0416666666666666,0.2708333333333333,0.0347222222222222,-10.682543,0.9999998807907104,0.9999983906745912,0.9997234940528872,0.9992146492004396,0.9821844,0.95049244,0.9998184,0.999636,loan
1,All languages,আঁক,আঁকা,ãkɔ,ãka,Draw,Draw,0.3333333333333333,0.0,0.0555555555555555,0.0555555555555555,0.5833333333333334,0.0555555555555555,-7.397648299999998,0.973859965801239,0.8461454510688782,0.9997291564941406,0.9988077878952026,0.956836,0.8881891,0.9996588,0.99973303,loan
2,All languages,খানা,খাদ্য,kʰana,kʰad̪d͡zɔ,Food,Food,0.6666666666666666,0.4,0.2416666666666666,0.2583333333333333,2.35,0.2583333333333333,3.7503183,0.5379968881607056,0.5878589153289795,0.9988365173339844,0.9996958374977112,0.772503,0.81625944,0.9997471,0.99971133,loan
3,All languages,মৈহ,মহিষ,mɔɪɦ,mɔɦiʃ,Maih,The buffalo,0.6,0.4,0.2166666666666666,0.2416666666666667,2.075,0.2375,-6.537262999999999,0.93268483877182,0.6959085464477539,0.9946342706680298,0.9956295490264891,0.9560961,0.89396864,0.9989954,0.9990658,loan
4,All languages,কি,ক্যা,ki,kæ,What?,Kya,0.5,0.0,0.0416666666666666,0.0416666666666666,0.5,0.0416666666666666,2.117496,0.9082254767417908,0.5702677965164185,0.9986161589622498,0.9986101984977722,0.9623913,0.8328999,0.9997392,0.99956375,loan
5,All languages,জনা,জানা,zɔna,d͡ʑan̪a,know,To know,0.7142857142857143,0.25,0.1041666666666666,0.1041666666666666,1.1875,0.1041666666666666,1.3199034,0.9250904321670532,0.5298526287078857,0.999429166316986,0.9998810887336732,0.982427,0.96312237,0.9997507,0.99990785,loan
6,All languages,ক্ৰিয়া,ক্রিয়া,kɹija,krie̯a,Action,Verbs,0.5,0.0,0.05,0.075,0.875,0.05,-9.542444,0.8471578359603882,0.8596051931381226,0.9985761642456056,0.9996260404586792,0.9345141,0.8728491,0.9993998,0.99968964,loan
7,All languages,অক্ষ,অক্ষ,ɔkʰjɔ,okkʰɔ,Axis,Axis,0.6,0.25,0.0833333333333333,0.0833333333333333,1.625,0.0833333333333333,-7.5721292,0.9999997615814208,0.9999996423721312,0.9997258186340332,0.9999486207962036,0.9866247,0.9703773,0.9997511,0.99959254,loan
8,All languages,ৰচনা,রচনা,ɹɔsɔna,rɔt͡ɕɔn̪a,essay,Composition,0.5555555555555556,0.1666666666666666,0.0694444444444444,0.0833333333333333,1.0833333333333333,0.0694444444444444,-11.542226,0.8090748786926271,0.5042888522148132,0.9988536834716796,0.999408721923828,0.85401773,0.6219287,0.99895877,0.99944466,loan
9,All languages,ধোঁৱা,ধোঁয়া,dʰʊ̃wa,d̪ʱõe̯a,smoke,Smoke,0.7142857142857143,0.25,0.09375,0.1041666666666666,0.90625,0.09375,0.12549973,0.9282121658325196,0.8177294135093689,0.9988019466400146,0.9959301948547364,0.95272005,0.8622763,0.99960953,0.997708,loan
