,all_language_evaluate,train_evaluate_pair,language_pair,class,precision,recall,f1_score,support,acc
0,True,False,,0,0.97,0.98,0.97,2728.0,
1,True,False,,1,0.91,0.85,0.88,603.0,0.96
2,False,False,Assamese-Bengali,0,0.96,0.99,0.98,1397.0,
3,False,False,Assamese-Bengali,1,0.93,0.83,0.88,303.0,0.96
4,False,False,Bengali-Assamese,0,0.97,0.98,0.97,1331.0,
5,False,False,Bengali-Assamese,1,0.89,0.86,0.87,300.0,0.95
6,False,True,Assamese-Bengali,0,0.97,0.98,0.97,1397.0,
7,False,True,Assamese-Bengali,1,0.88,0.84,0.86,303.0,0.95
8,False,True,Bengali-Assamese,0,0.97,0.97,0.97,1331.0,
9,False,True,Bengali-Assamese,1,0.87,0.85,0.86,300.0,0.95
