,all_language_evaluate,train_evaluate_pair,language_pair,class,precision,recall,f1_score,support,acc
0,True,False,All languages,0,0.97,0.98,0.98,2728.0,
1,True,False,All languages,1,0.91,0.86,0.88,603.0,0.96
2,False,False,Assamese-Bengali,0,0.97,0.98,0.97,1397.0,
3,False,False,Assamese-Bengali,1,0.91,0.85,0.88,303.0,0.96
4,False,False,Bengali-Assamese,0,0.97,0.98,0.98,1331.0,
5,False,False,Bengali-Assamese,1,0.92,0.87,0.89,300.0,0.96
6,False,True,Assamese-Bengali,0,0.97,0.98,0.97,1397.0,
7,False,True,Assamese-Bengali,1,0.91,0.84,0.88,303.0,0.96
8,False,True,Bengali-Assamese,0,0.97,0.98,0.98,1331.0,
9,False,True,Bengali-Assamese,1,0.92,0.86,0.89,300.0,0.96
