,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,ass_bertmbert,ass_bertxlm,ass_bertindic_bert,ass_bertmuril,mbert_src_assbert_trg,label
0,,টাকা,ডাকা,taka,ɖaka,Money,Call,0.25,0.0,0.0208333333333333,0.0208333333333333,0.1875,0.0208333333333333,0.9572337,0.89351296,0.99943835,0.99984205,-0.014122827,hard_negative
1,,বেঁকা,বাঁকা,bɛ̃ka,bãka,curved,Curved,0.4,0.25,0.0208333333333333,0.0208333333333333,0.1875,0.0208333333333333,0.9581106,0.9343437,0.99947107,0.9997082,0.12156844,hard_negative
2,,মৈহ,মরা,mɔɪɦ,mɔra,Maih,Die,0.5,0.5,0.109375,0.15625,2.71875,0.109375,0.94210577,0.90678287,0.998468,0.99841434,0.030295476,hard_negative
3,,হিয়া,হৃদয়,ɦija,ɦɽid̪e̯ɔ,Heart,Heart,0.75,0.3333333333333333,0.3333333333333333,0.3819444444444444,2.8541666666666665,0.375,0.9324554,0.80457175,0.99933964,0.99946606,0.019135863,synonym
4,,মিঠা,মিতা,mitʰa,mit̪a,sweet,Mita,0.2,0.0,0.0208333333333333,0.0208333333333333,0.125,0.0208333333333333,0.9553218,0.8993621999999999,0.99953985,0.9996288,0.03836491,hard_negative
5,,বাট,বাত,bat,bat̪,The road,Arthritis,0.25,0.0,0.0138888888888888,0.0138888888888888,0.0833333333333333,0.0138888888888888,0.9636425,0.91162395,0.9995487,0.99976367,0.015792122,hard_negative
6,,মুঠা,মুতা,mutʰa,mut̪a,A handful,Muta,0.2,0.0,0.0208333333333333,0.0208333333333333,0.125,0.0208333333333333,0.96878946,0.946977,0.99951005,0.9994086,0.044529364,hard_negative
7,,ধনিয়া,ধনে,dʰɔnija,d̪ʱɔn̪e,Coriander,Coriander,0.7142857142857143,0.3333333333333333,0.3263888888888889,0.3611111111111111,2.625,0.3611111111111111,0.94926226,0.78046906,0.99947757,0.9996624,0.02354822,synonym
8,,পখিলা,পাখা,pɔkʰila,pakʰa,butterfly,Fan,0.4285714285714285,0.3333333333333333,0.3298611111111111,0.3611111111111111,2.708333333333333,0.3611111111111111,0.9293728,0.8273914000000001,0.9983467,0.99903125,-0.0040306533,synonym
9,,ধোঁৱা,ধোঁয়া,dʰʊ̃wa,d̪ʱõe̯a,smoke,Smoke,0.7142857142857143,0.25,0.09375,0.1041666666666666,0.90625,0.09375,0.95272005,0.8622763000000001,0.99960953,0.9977081,0.095503494,synonym
