,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,ass_bertmbert,ass_bertxlm,ass_bertindic_bert,ass_bertmuril,label
0,,টাকা,ডাকা,taka,ɖaka,Money,Call,0.25,0.0,0.0208333333333333,0.0208333333333333,0.1875,0.0208333333333333,0.9572337,0.89351296,0.99943835,0.99984205,hard_negative
1,,মিঠা,মিতা,mitʰa,mit̪a,sweet,Mita,0.2,0.0,0.0208333333333333,0.0208333333333333,0.125,0.0208333333333333,0.9553218,0.8993622,0.99953985,0.9996288,hard_negative
2,,বাট,বাত,bat,bat̪,The road,Arthritis,0.25,0.0,0.0138888888888888,0.0138888888888888,0.0833333333333333,0.0138888888888888,0.9636425,0.91162395,0.9995487,0.99976367,hard_negative
3,,মুঠা,মুতা,mutʰa,mut̪a,A handful,Muta,0.2,0.0,0.0208333333333333,0.0208333333333333,0.125,0.0208333333333333,0.96878946,0.946977,0.99951005,0.9994086,hard_negative
4,,পখিলা,পাখনা,pɔkʰila,pakʰn̪a,butterfly,The fins,0.4285714285714285,0.3333333333333333,0.2048611111111111,0.2222222222222222,1.875,0.2222222222222222,0.95567155,0.86057174,0.99852335,0.99890566,synonym
5,,পখিলা,পাখা,pɔkʰila,pakʰa,butterfly,Fan,0.4285714285714285,0.3333333333333333,0.3298611111111111,0.3611111111111111,2.708333333333333,0.3611111111111111,0.9293728,0.8273914,0.9983467,0.99903125,synonym
6,,ধোঁৱা,ধোঁয়া,dʰʊ̃wa,d̪ʱõe̯a,smoke,Smoke,0.7142857142857143,0.25,0.09375,0.1041666666666666,0.90625,0.09375,0.95272005,0.8622763,0.99960953,0.9977081,synonym
7,,মৈহ,মহিষ,mɔɪɦ,mɔɦiʃ,Maih,The buffalo,0.6,0.4,0.2166666666666666,0.2416666666666667,2.075,0.2375,0.95609605,0.8939686,0.99899554,0.9990658,synonym
8,,পানীয়,পানৈ,pan̪ie̯,panɔɪ,Drinks,The water,0.5714285714285714,0.2,0.0666666666666666,0.0666666666666666,0.95,0.0666666666666666,0.9862135,0.9664691,0.99970996,0.9998589,hard_negative
9,,রসুন,নতুন,rɔʃun̪,nɔtun,Garlic,New,0.5,0.2,0.0666666666666666,0.0833333333333333,0.9,0.0666666666666666,0.98303676,0.9565207,0.99969673,0.9998374,hard_negative
10,,মিঠা,মাঠা,miʈʰa,matʰa,sweet,Matha,0.4,0.0,0.03125,0.03125,0.375,0.03125,0.99143684,0.96935344,0.9998275,0.9999153,hard_negative
11,,মকাই,মিঠাই,mɔkai,mitʰai,Maize,Sweets,0.5,0.2,0.0791666666666666,0.0833333333333333,0.825,0.0791666666666666,0.9826943,0.9627299,0.99985266,0.9998138,hard_negative
12,,বিষ,বিচ,biʃ,bis,Poison,Beach,0.3333333333333333,0.0,0.0277777777777777,0.0277777777777777,0.25,0.0277777777777777,0.97247183,0.9486214,0.9998479,0.99994963,hard_negative
13,,মুঠি,মাংস,muʈʰi,maŋxɔ,Fist,Meat,0.8,0.4,0.3,0.325,2.875,0.3208333333333333,0.987028,0.9670062,0.99967617,0.9997596,random
14,,মিছা,মিঠা,mit͡ɕʰa,mitʰa,lie,sweet,0.2857142857142857,0.25,0.0416666666666666,0.0416666666666666,0.4375,0.0416666666666666,0.9895911,0.96335554,0.9998384,0.99991614,hard_negative
15,,বিছা,পিঠা,bit͡ɕʰa,pitʰa,Scorpion,The cake,0.4285714285714285,0.25,0.0520833333333333,0.0520833333333333,0.5,0.0520833333333333,0.98537433,0.9691722,0.99987537,0.99989206,hard_negative
16,,লাখ,লিখ,lakʰ,likʰ,Millions,Write,0.25,0.0,0.0277777777777777,0.0277777777777777,0.3333333333333333,0.0277777777777777,0.9808657,0.9495855,0.99987143,0.9999481,hard_negative
17,,বাঘ,পাগ,bagʱɔ,pagɔ,Tiger,The turban,0.4,0.0,0.0138888888888888,0.0138888888888888,0.0833333333333333,0.0138888888888888,0.98402125,0.95673144,0.99981606,0.99992263,hard_negative
18,,পিতা,পইচা,pit̪a,pisa,Father,Money,0.4,0.0,0.0208333333333333,0.0208333333333333,0.3125,0.0208333333333333,0.9832253,0.9562916,0.9997376,0.99950886,hard_negative
19,,ঢোল,দীঘল,ɖʱolɔ,digʱɔlɔ,Drums,long,0.5714285714285714,0.2,0.1958333333333333,0.2166666666666667,1.6,0.2166666666666667,0.97803307,0.95500284,0.99891245,0.99984425,hard_negative
