,all_language_evaluate,train_evaluate_pair,language_pair,class,precision,recall,f1_score,support,acc
0,True,False,,0,0.89,0.96,0.93,2728.0,
1,True,False,,1,0.74,0.47,0.58,603.0,0.87
2,False,False,Assamese-Bengali,0,0.9,0.99,0.94,1397.0,
3,False,False,Assamese-Bengali,1,0.95,0.48,0.64,303.0,0.9
4,False,False,Bengali-Assamese,0,0.88,0.93,0.91,1331.0,
5,False,False,Bengali-Assamese,1,0.6,0.46,0.52,300.0,0.84
6,False,True,Assamese-Bengali,0,0.93,0.99,0.96,1397.0,
7,False,True,Assamese-Bengali,1,0.91,0.65,0.76,303.0,0.93
8,False,True,Bengali-Assamese,0,0.9,0.96,0.93,1331.0,
9,False,True,Bengali-Assamese,1,0.73,0.53,0.62,300.0,0.88
