,all_language_evaluate,train_evaluate_pair,language_pair,class,precision,recall,f1_score,support,acc
0,True,False,All languages,0,0.91,0.98,0.94,2728.0,
1,True,False,All languages,1,0.88,0.54,0.67,603.0,0.9
2,False,False,Assamese-Bengali,0,0.91,0.98,0.94,1397.0,
3,False,False,Assamese-Bengali,1,0.88,0.53,0.66,303.0,0.9
4,False,False,Bengali-Assamese,0,0.91,0.98,0.94,1331.0,
5,False,False,Bengali-Assamese,1,0.89,0.54,0.67,300.0,0.9
6,False,True,Assamese-Bengali,0,0.91,0.98,0.94,1397.0,
7,False,True,Assamese-Bengali,1,0.88,0.53,0.66,303.0,0.9
8,False,True,Bengali-Assamese,0,0.9,0.98,0.94,1331.0,
9,False,True,Bengali-Assamese,1,0.88,0.54,0.67,300.0,0.9
