,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,mbert_cos,xlm_cos,indic_bert_cos,muril_cos,label
0,,ডাঁহ,ডাঁশ,dãɦɔ,ɖãʃɔ,Duck,Bite,0.5,0.3333333333333333,0.046875,0.0520833333333333,0.84375,0.046875,0.9592005014419556,0.9282821416854858,0.9975959658622742,0.9992504119873048,loan
1,,আক,একলা,ak,ekɔla,Let's go,Alone,0.8,0.6,0.55,0.6083333333333334,4.45,0.6083333333333334,0.8948097229003906,0.6733882427215576,0.9965909719467164,0.9990112185478208,loan
2,,টকা,টাং,tɔka,ʈaŋ,Money,Tang,1.0,0.5,0.3072916666666667,0.3333333333333333,3.0625,0.3333333333333333,0.922396957874298,0.7524515390396118,0.9944941997528076,0.9986751079559326,loan
3,,খানা,খাদ্য,kʰana,kʰad̪d͡zɔ,Food,Food,0.6666666666666666,0.4,0.2416666666666666,0.2583333333333333,2.35,0.2583333333333333,0.5379968881607056,0.5878589153289795,0.9988365173339844,0.9996958374977112,loan
4,,সমান,সমানে,xɔman,ʃɔman̪e,Equal,Equally,0.4285714285714285,0.3333333333333333,0.1805555555555555,0.2013888888888888,1.5208333333333333,0.1979166666666666,0.9138481616973876,0.6732140779495239,0.9996973276138306,0.9998733997344972,loan
5,,কি,ক্যা,ki,kæ,What?,Kya,0.5,0.0,0.0416666666666666,0.0416666666666666,0.5,0.0416666666666666,0.9082254767417908,0.5702677965164185,0.9986161589622498,0.9986101984977722,loan
6,,তাম,তামা,tam,t̪ama,copper,Copper,0.4,0.25,0.234375,0.2604166666666667,1.875,0.2604166666666667,0.9698966145515442,0.8104977011680603,0.9995192885398864,0.9982415437698364,loan
7,,গোসাঞি,গোসাঁই,gʊxani,ɡoʃãi,Gosani,Gosain,0.8333333333333334,0.4,0.225,0.2666666666666666,3.475,0.225,0.8479816913604736,0.8325374126434326,0.9963895678520204,0.9965672492980956,loan
8,,কাণ,কান,kan,kan̪,ear,Ears,0.25,0.0,0.0138888888888888,0.0138888888888888,0.0833333333333333,0.0138888888888888,0.926588237285614,0.7102300524711609,0.9995266795158386,0.9996439814567566,loan
9,,টকা,ঠেং,tɔka,ʈʰeŋ,Money,The tail,1.0,0.5,0.3072916666666667,0.3333333333333333,3.0,0.3333333333333333,0.8931822180747986,0.6810374855995178,0.9998169541358948,0.9997172355651855,loan
10,,জনা,জানা,zɔna,d͡ʑan̪a,know,To know,0.7142857142857143,0.25,0.1041666666666666,0.1041666666666666,1.1875,0.1041666666666666,0.9250904321670532,0.5298526287078857,0.999429166316986,0.9998810887336732,loan
11,,ক্ৰিয়া,ক্রিয়া,kɹija,krie̯a,Action,Verbs,0.5,0.0,0.05,0.075,0.875,0.05,0.8471578359603882,0.8596051931381226,0.9985761642456056,0.9996260404586792,loan
12,,ঠেং,টাকা,tʰɛŋ,ʈaka,The tail,Money,1.0,0.5,0.296875,0.3229166666666666,2.875,0.3229166666666666,0.8406855463981628,0.7046963572502136,0.9999096393585204,0.9996840953826904,loan
13,,নিয়ৰ,নীহারিকা,nijɔɹɔ,n̪iɦarika,Snow,Nebula,0.7777777777777778,0.25,0.3020833333333333,0.3385416666666666,3.03125,0.3281249999999999,0.9118926525115968,0.6141657829284668,0.994957447052002,0.9962336421012878,loan
14,,বৃশ্চিক,বিছা,bɽixsik,bit͡ɕʰa,Scorpio,Scorpion,0.8571428571428571,0.4285714285714285,0.4226190476190476,0.4761904761904762,3.6607142857142856,0.4732142857142857,0.8724803924560547,0.5005213618278503,0.9979406595230104,0.9971914291381836,loan
15,,মুহ,মু,muɦ,mu,Muh,Mu,0.3333333333333333,0.3333333333333333,0.2986111111111111,0.3333333333333333,2.4166666666666665,0.3333333333333333,0.9162191152572632,0.7742176055908203,0.999516785144806,0.9988576769828796,loan
16,,পখিলা,পাখা,pɔkʰila,pakʰa,butterfly,Fan,0.4285714285714285,0.3333333333333333,0.3298611111111111,0.3611111111111111,2.708333333333333,0.3611111111111111,0.906258225440979,0.7222570180892944,0.9973058700561525,0.9977006912231444,loan
17,,ৰচনা,রচনা,ɹɔsɔna,rɔt͡ɕɔn̪a,essay,Composition,0.5555555555555556,0.1666666666666666,0.0694444444444444,0.0833333333333333,1.0833333333333333,0.0694444444444444,0.8090748786926271,0.5042888522148132,0.9988536834716796,0.999408721923828,loan
18,,শনিবাৰ,শনিবার,xɔnibaɹ,ʃɔn̪ibar,Saturday,Saturday,0.375,0.1428571428571428,0.0505952380952379,0.0654761904761904,0.7678571428571429,0.0505952380952379,0.9038487076759338,0.7697734236717224,0.9992125630378724,0.9981034398078918,loan
19,,কালি,কলা,kali,kɔla,yesterday,Banana,0.5,0.0,0.0625,0.0625,0.6875,0.0625,0.903398096561432,0.6169573664665222,0.9967146515846252,0.9997448325157166,loan
20,,লাও,লাউ,laʊ,lau,Lao,Lau,0.3333333333333333,0.0,0.0277777777777777,0.0277777777777777,0.25,0.0277777777777777,0.8266409039497375,0.6765662431716919,0.9967201948165894,0.9998155236244202,loan
21,,ৰঙা,রং,ɹɔŋa,rɔŋ,red,Color,0.5,0.25,0.265625,0.3125,2.6875,0.2916666666666667,0.8918046951293945,0.6174232363700867,0.9998776912689208,0.9996155500411988,loan
