,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,mbert_cos,xlm_cos,indic_bert_cos,muril_cos,label
0,,বায়ু,বালু,baju,balu,The wind,Sand,0.25,0.0,0.0572916666666666,0.0625,1.03125,0.0572916666666666,0.9515275359153748,0.7492033839225769,0.9997070431709292,0.999794602394104,hard_negative
1,,মাংস,মিডা,maŋxɔ,miɖa,Meat,Mida,0.8,0.4,0.275,0.3,2.575,0.2958333333333333,0.9303978085517884,0.7657786011695862,0.9954095482826232,0.9986104369163512,random
2,,কাঁচ,কাঁধ,kãsɔ,kãd̪ʱɔ,Glass,Shoulders,0.5,0.0,0.03125,0.03125,0.375,0.03125,0.9756945371627808,0.8913552761077881,0.9994810819625854,0.999087691307068,hard_negative
3,,শুকান,শুগার,xukan,ʃuɡar,dry,Sugar,0.6,0.4,0.0708333333333333,0.0916666666666666,0.875,0.0708333333333333,0.9563595056533812,0.9153038263320924,0.9988070726394652,0.997780740261078,hard_negative
4,,ধোঁৱা,ধোঁয়া,dʰʊ̃wa,d̪ʱõe̯a,smoke,Smoke,0.7142857142857143,0.25,0.09375,0.1041666666666666,0.90625,0.09375,0.9282121658325196,0.8177294135093689,0.9988019466400146,0.9959301948547364,synonym
5,,সন্ধিয়া,সন্ধ্যা,xɔndʰija,ʃɔn̪d̪ʱæ,evening,Evening,0.75,0.4285714285714285,0.2946428571428571,0.3273809523809524,2.4107142857142856,0.3244047619047618,0.9171110987663268,0.8175927400588989,0.998341143131256,0.9996277093887328,synonym
6,,মৈহ,মহিষ,mɔɪɦ,mɔɦiʃ,Maih,The buffalo,0.6,0.4,0.2166666666666666,0.2416666666666667,2.075,0.2375,0.93268483877182,0.6959085464477539,0.9946342706680298,0.9956295490264891,synonym
7,,দাউদাউ,দাওয়াই,daudau,d̪aoe̯ai,Daudau,Medicine,0.625,0.1666666666666666,0.0798611111111111,0.0902777777777777,1.4583333333333333,0.0798611111111111,0.9554282426834106,0.6706593036651611,0.9943916201591492,0.9980818629264832,hard_negative
8,,বিষ,বিচ,biʃ,bis,Poison,Beach,0.3333333333333333,0.0,0.0277777777777777,0.0277777777777777,0.25,0.0277777777777777,0.4869666993618012,0.7367741465568542,0.9987606406211852,0.9997454881668092,hard_negative
9,,রাং,গাং,raŋ,gaŋ,Rang,Gang,0.3333333333333333,0.3333333333333333,0.2777777777777778,0.3333333333333333,2.4166666666666665,0.3333333333333333,0.94549560546875,0.8770114183425903,0.9984038472175598,0.9998828768730164,hard_negative
10,,চন্দ্র,চন্দ্ৰ,t͡ɕɔn̪d̪rɔ,sɔndɹɔ,The moon,moon,0.6,0.1666666666666666,0.0763888888888889,0.0902777777777777,1.125,0.0763888888888889,0.9180728793144226,0.95912504196167,0.999357044696808,0.9998496174812316,synonym
11,,খাদ্য,কাগজ,kʰad̪d͡zɔ,kagɔzɔ,Food,Paper,0.5555555555555556,0.4,0.0958333333333333,0.1083333333333333,2.15,0.0958333333333333,0.555935800075531,0.6658709049224854,0.998562514781952,0.9998629689216614,hard_negative
12,,পুস্তক,দিঠক,puʃt̪ɔkɔ,ditʰɔkɔ,Books,That's right,0.5,0.2857142857142857,0.1815476190476189,0.1964285714285714,1.5178571428571428,0.1934523809523809,0.9497419595718384,0.7495070099830627,0.9974057078361512,0.9957911372184752,hard_negative
13,,চন্দ্র,চন্দ্ৰ,t͡ɕɔn̪d̪rɔ,sɔndɹɔ,The moon,moon,0.6,0.1666666666666666,0.0763888888888889,0.0902777777777777,1.125,0.0763888888888889,0.9180728793144226,0.95912504196167,0.999357044696808,0.9998496174812316,synonym
14,,পুষ্প,দোস্ত,puʃpɔ,dʊxtɔ,Flowers,Dude,0.8,0.6,0.0958333333333333,0.1083333333333333,0.975,0.0958333333333333,0.8994598388671875,0.8800658583641052,0.9992400407791138,0.99662584066391,hard_negative
15,,দিন,অইন,d̪in̪,ɔin,Day,Others,0.6,0.3333333333333333,0.1319444444444444,0.1527777777777778,3.083333333333333,0.1319444444444444,0.8601764440536499,0.6079724431037903,0.997697651386261,0.9997588396072388,hard_negative
16,,বাট,বাল্য,baʈɔ,balzɔ,The road,Childhood,0.4,0.2,0.2083333333333333,0.225,1.8,0.225,0.945763111114502,0.7663177251815796,0.9990885257720948,0.9997333884239196,hard_negative
17,,কহা,কঁহ,kɔɦa,kɔ̃ɦɔ,Say,Sigh,0.4,0.0,0.0520833333333333,0.0520833333333333,0.5625,0.0520833333333333,0.9571114778518676,0.8044919371604919,0.9989508986473083,0.999422252178192,hard_negative
