,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,mbert_src_assbert_trg,label
0,,তিমি,তিনি,timi,t̪in̪i,Whale,He,0.5,0.25,0.0364583333333333,0.0416666666666666,0.34375,0.0364583333333333,0.091312885,hard_negative
1,,মূলা,মউল,mula,mulɔ,Radish,Mool,0.25,0.0,0.0416666666666666,0.0416666666666666,0.4375,0.0416666666666666,0.05255147,hard_negative
2,,টাকা,ডাকা,taka,ɖaka,Money,Call,0.25,0.0,0.0208333333333333,0.0208333333333333,0.1875,0.0208333333333333,-0.014122827,hard_negative
3,,পুলি,পুড়ি,puli,puɽi,Seedlings,Puri,0.25,0.0,0.0416666666666666,0.0625,0.5,0.0416666666666666,-0.020493893,hard_negative
4,,মাছ,মাস,mas,maʃ,Fish,Months,0.3333333333333333,0.0,0.0277777777777777,0.0277777777777777,0.25,0.0277777777777777,0.09692646,hard_negative
5,,দ্বীপ,জিব,dip,d͡ʑib,Island,Jib,0.6,0.3333333333333333,0.0694444444444444,0.0694444444444444,0.6666666666666666,0.0694444444444444,0.07801584,hard_negative
6,,বেঁকা,বাঁকা,bɛ̃ka,bãka,curved,Curved,0.4,0.25,0.0208333333333333,0.0208333333333333,0.1875,0.0208333333333333,0.12156844,hard_negative
7,,কম্বল,কমলা,kɔmɔlɔ,kɔmɔla,Blanket,Orange,0.1666666666666666,0.0,0.0277777777777777,0.0277777777777777,0.2916666666666667,0.0277777777777777,0.013455628,hard_negative
8,,পাণ,পান,pan,pan̪,Pan,Drink,0.25,0.0,0.0138888888888888,0.0138888888888888,0.0833333333333333,0.0138888888888888,0.0077632363,hard_negative
9,,কুটুম,কুসুম,kutum,kuʃum,Family,Kusum,0.2,0.0,0.025,0.025,0.35,0.025,0.016930781,hard_negative
10,,মুঠ,মুত,mutʰ,mut̪,total,Mut,0.25,0.0,0.0277777777777777,0.0277777777777777,0.1666666666666666,0.0277777777777777,0.07701638,hard_negative
11,,কালি,খালি,kali,kʰali,yesterday,Empty,0.2,0.0,0.0104166666666666,0.0104166666666666,0.0625,0.0104166666666666,0.03389875,hard_negative
