,all_language_evaluate,train_evaluate_pair,language_pair,class,precision,recall,f1_score,support,acc
0,True,False,All languages,0,0.85,0.98,0.91,2728.0,
1,True,False,All languages,1,0.69,0.23,0.34,603.0,0.84
2,False,False,Assamese-Bengali,0,0.85,0.98,0.91,1397.0,
3,False,False,Assamese-Bengali,1,0.68,0.22,0.33,303.0,0.84
4,False,False,Bengali-Assamese,0,0.85,0.98,0.91,1331.0,
5,False,False,Bengali-Assamese,1,0.69,0.23,0.35,300.0,0.84
6,False,True,Assamese-Bengali,0,0.85,0.98,0.91,1397.0,
7,False,True,Assamese-Bengali,1,0.68,0.2,0.31,303.0,0.84
8,False,True,Bengali-Assamese,0,0.85,0.97,0.91,1331.0,
9,False,True,Bengali-Assamese,1,0.67,0.24,0.35,300.0,0.84
