,all_language_evaluate,train_evaluate_pair,language_pair,class,precision,recall,f1_score,support,acc
0,True,False,All languages,0,0.95,0.94,0.94,62.0,
1,True,False,All languages,1,0.94,0.95,0.95,66.0,0.95
2,False,False,Assamese-Bengali,0,0.97,0.88,0.92,32.0,
3,False,False,Assamese-Bengali,1,0.89,0.97,0.93,32.0,0.92
4,False,False,Bengali-Assamese,0,0.94,1.0,0.97,30.0,
5,False,False,Bengali-Assamese,1,1.0,0.94,0.97,34.0,0.97
6,False,True,Assamese-Bengali,0,0.97,0.88,0.92,32.0,
7,False,True,Assamese-Bengali,1,0.89,0.97,0.93,32.0,0.92
8,False,True,Bengali-Assamese,0,0.94,1.0,0.97,30.0,
9,False,True,Bengali-Assamese,1,1.0,0.94,0.97,34.0,0.97
