,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,DNN_logits,label
0,,সমান,হমান,xɔman,hɔman̪,Equal,Haman,0.3333333333333333,0.2,0.0333333333333333,0.0333333333333333,0.65,0.0333333333333333,1,-3.4328294,loan
1,,সাগৰ,হাওর,xagɔɹɔ,haor,sea,Haor,0.8333333333333334,0.4,0.2458333333333333,0.2833333333333333,2.8,0.2666666666666666,3,-10.546869,loan
2,,বাঘ,ব্যাঘ্র,bagʱ,bd͡zaɡ̤rɔ,Tiger,Tiger,0.7777777777777778,0.6666666666666666,0.5902777777777778,0.6666666666666666,4.833333333333333,0.6666666666666666,4,-12.387443,loan
3,,মৈৰা,ময়ূর,mɔɪɹa,me̯ur,Myra,Peacock,0.8,0.4,0.2791666666666667,0.3166666666666666,3.15,0.3,4,-5.745011,loan
4,,কুকুৰা,কুঁকড়া,kukuɹa,kũkɔɽa,chicken,Curly,0.5,0.1666666666666666,0.0625,0.0763888888888889,0.9583333333333334,0.0625,3,-9.900139,loan
5,,সকলো,হগল,xɔkɔlʊ,hɔɡɔlɔ,everything,Huggle,0.5,0.1666666666666666,0.0347222222222222,0.0347222222222222,0.625,0.0347222222222222,3,-0.05363156,loan
6,,টাকা,টেহা,taka,teha,Money,Teha,0.5,0.25,0.0520833333333333,0.0520833333333333,1.125,0.0520833333333333,2,1.7589904,loan
7,,জিকা,ঝিঙা,zika,d͡ʑ̤iŋa,Zika,Shrimp,0.7142857142857143,0.5,0.09375,0.09375,1.4375,0.09375,2,0.85308164,loan
8,,হাওর,সাগৰ,haor,xagɔɹɔ,Haor,sea,0.8333333333333334,0.4,0.2458333333333333,0.2833333333333333,2.8,0.2666666666666666,3,-9.17531,loan
9,,কুঁকড়া,কুকুৰা,kũkɔɽa,kukuɹa,Curly,chicken,0.5,0.1666666666666666,0.0625,0.0763888888888889,0.9583333333333334,0.0625,3,-10.781737,loan
10,,ঝিঙা,জিকা,d͡ʑ̤iŋa,zika,Shrimp,Zika,0.7142857142857143,0.5,0.09375,0.09375,1.4375,0.09375,2,1.1391613,loan
11,,হগল,সকলো,hɔɡɔlɔ,xɔkɔlʊ,Huggle,everything,0.5,0.1666666666666666,0.0347222222222222,0.0347222222222222,0.625,0.0347222222222222,3,0.54819477,loan
12,,ময়ূর,মৈৰা,me̯ur,mɔɪɹa,Peacock,Myra,0.8,0.4,0.2791666666666667,0.3166666666666666,3.15,0.3,4,-11.889809,loan
13,,ব্যাঘ্র,বাঘ,bd͡zaɡ̤rɔ,bagʱ,Tiger,Tiger,0.7777777777777778,0.6666666666666666,0.5902777777777778,0.6666666666666666,4.833333333333333,0.6666666666666666,4,-11.539066,loan
14,,টেহা,টাকা,teha,taka,Teha,Money,0.5,0.25,0.0520833333333333,0.0520833333333333,1.125,0.0520833333333333,2,-0.11322841,loan
