,loan_word,original_word
0,অংশুক,আঁহ
1,অংশুপট্ট,আঁহ
2,পাশা,অক্ষ
3,অক্ষক্রীড়া,অক্ষ
4,অক্ষরেখা,অক্ষ
5,মেরুরেখা,অক্ষ
6,অক্ষাংশ,অক্ষ
7,অক্ষি,অক্ষ
8,রুদ্রাক্ষ,অক্ষ
9,আগুন,অগ্নি
10,আগুন,আগুনি
11,তেজ,অগ্নি
12,তেজ,আগুনি
13,জঠরাগ্নি,অগ্নি
14,জঠরাগ্নি,আগুনি
15,অগ্নিকোণ,অগ্নি
16,অগ্নিকোণ,আগুনি
17,সংখ্যা,অংক
18,আঁক,অংক
19,তর্জমা,অনুবাদ
20,ইজাজত,অনুমতি
21,হাড়,অস্থি
22,জানু,আঁঠু
23,হাঁটু,আঁঠু
24,আসমান,আকাশ
25,অগ্নি,অগ্নি
26,অগ্নি,আগুনি
27,অনল,অগ্নি
28,অনল,আগুনি
29,আতশ,অগ্নি
30,আতশ,আগুনি
31,হুতাশন,অগ্নি
32,হুতাশন,আগুনি
33,কৃশানু,অগ্নি
34,কৃশানু,আগুনি
35,বহ্নি,অগ্নি
36,বহ্নি,আগুনি
37,আম্র,আম
38,উদীচী,উত্তৰ
39,জবাব,উত্তৰ
40,উদীচ্য,উত্তৰ
41,উত্তুরে,উত্তৰ
42,নভেল,উপন্যাস
43,ঐক্য,একতা
44,একত্ব,একতা
45,সবুজ,কচু
46,বলা,কহা
47,বলা,কাহ
48,কর্ণ,কাণ
49,মোরগ,কুকুৰা
50,মুরগা,কুকুৰা
51,কুক্কুট,কুকুৰা
52,আপন,কুটুম
53,এগানা,কুটুম
54,খেশ,কুটুম
55,রিশতাদার,কুটুম
56,কানাই,কৃষ্ণ
57,কানু,কৃষ্ণ
58,কে,কল
59,কেগা,কল
60,কেডা,কল
61,কেন,কল
62,কেন,কি
63,গলদেশ,গলা
64,গলদেশ,গিলা
65,গলদেশ,গেলা
66,গ্রীবা,গলা
67,গ্রীবা,গিলা
68,গ্রীবা,গেলা
69,ঘাড়,গলা
70,ঘাড়,গিলা
71,ঘাড়,গেলা
72,গর্দান,গলা
73,গর্দান,গিলা
74,গর্দান,গেলা
75,কণ্ঠ,গলা
76,কণ্ঠ,গিলা
77,কণ্ঠ,গেলা
78,কণ্ঠ,গলা
79,কণ্ঠ,গিলা
80,কণ্ঠ,গেলা
81,টুঁটি,গলা
82,টুঁটি,গিলা
83,টুঁটি,গেলা
84,ওলকম,গলা
85,ওলকম,গিলা
86,ওলকম,গেলা
87,গাঁ,গাঁউ
88,গাঁ,গাঁও
89,গেরাম,গাঁউ
90,গেরাম,গাঁও
91,গুফা,গুহা
92,গুফা,গুহা
93,কাজ করা,চলা
94,বাজা,চলা
95,রওনা হওয়া,চলা
96,বেরোনো,চলা
97,চন্দ্র,চন্দ্ৰ
98,চন্দ্র,চাঁদ
99,চন্দ্র,চান
100,চন্দ্র,চান্দ
101,মাহতাব,চন্দ্ৰ
102,মাহতাব,চাঁদ
103,মাহতাব,চান
104,মাহতাব,চান্দ
105,গোসল,চন্দ্ৰ
106,গোসল,চাঁদ
107,গোসল,চান
108,গোসল,চান্দ
109,বুড়,চন্দ্ৰ
110,বুড়,চাঁদ
111,বুড়,চান
112,বুড়,চান্দ
113,স্নান,চন্দ্ৰ
114,স্নান,চাঁদ
115,স্নান,চান
116,স্নান,চান্দ
117,চন্দ্র,চন্দ্ৰ
118,চন্দ্র,চাঁদ
119,চন্দ্র,চান
120,চন্দ্র,চান্দ
121,মাহতাব,চন্দ্ৰ
122,মাহতাব,চাঁদ
123,মাহতাব,চান
124,মাহতাব,চান্দ
125,পানি,জল
126,বারি,জল
127,সলিল,জল
128,উদক,জল
129,কমল,জল
130,জীবন,জল
131,তোয়,জল
132,নীর,জল
133,পয়ঃ,জল
134,পানীয়,জল
135,উদ,জল
136,সার,জল
137,জ্যৈষ্ঠ,জেঠ
138,জষ্টি,জেঠ
139,এলেম,জ্ঞান
140,পয়সা,টকা
141,পয়সা,টাকা
142,পয়সা,ঠেং
143,ধন,টকা
144,ধন,টাকা
145,ধন,ঠেং
146,রুপি,টকা
147,রুপি,টাকা
148,রুপি,ঠেং
149,রুপিয়া,টকা
150,রুপিয়া,টাকা
151,রুপিয়া,ঠেং
152,পয়সা,টকা
153,পয়সা,টাকা
154,পয়সা,ঠেং
155,ধন,টকা
156,ধন,টাকা
157,ধন,ঠেং
158,আণ্ডা,ডিম
159,আণ্ডা,ডিমা
160,বয়দা,ডিম
161,বয়দা,ডিমা
162,শ্মশ্রু,দাড়ি
163,জিঞ্জিরা,দ্বীপ
164,ধনে,ধনিয়া
165,ধন্যাক,ধনিয়া
166,জাযাকাল্লাহু খাইরান,ধন্যবাদ
167,শুকরিয়া,ধন্যবাদ
168,ধোঁয়া,ধোঁৱা
169,ধূম,ধোঁৱা
170,ধূম্র,ধোঁৱা
171,নয়া,নতুন
172,পাখা,পখিলা
173,পাখনা,পখিলা
174,পাখনা,পখিলা
175,পাখ,পখিলা
176,বীজনী,পখিলা
177,বিউনী,পখিলা
178,পত্র,পাতা
179,পত্রিকা,পাতা
180,পর্ণ,পাতা
181,দল,পাতা
182,পৃষ্ঠা,পাতা
183,পাত,পাতা
184,পেজ,পাতা
185,জল,পানী
186,আব,পানী
187,বারি,পানী
188,সলিল,পানী
189,নীর,পানী
190,ওয়ালেদ,পিতা
191,বাপ,পিতা
192,আবু,পিতা
193,বাবা,পিতা
194,আব্বা,পিতা
195,আব্বু,পিতা
196,পুত্র,পুত
197,ফুল,পুষ্প
198,কুসুম,পুষ্প
199,পুষ্পক,পুষ্প
200,বৌল,পুষ্প
201,বই,পুথি
202,গ্রন্থ,পুথি
203,কিতাব,পুথি
204,কুৎসিত,ফেঁচা
205,পুরোনো,প্ৰাচীন
206,কদীম,প্ৰাচীন
207,অনেক,বহুত
208,খুব,বহুত
209,বাঁহ,বঙহ
210,ব্যাঘ্র,বাঘ
211,শার্দূল,বাঘ
212,বজ্র,বাজ
213,বজ্র,বাজে
214,বন্যা,বান
215,প্লবন,বান
216,বালক,বাল
217,ছেলে,বাল
218,বাল্য,বাল
219,বৃশ্চিক,বিছা
220,বৃশ্চিক,বৃশ্চিক
221,বিড়াল,বিলাই
222,বিড়াল,বিলৈ
223,মেকুর,বিলাই
224,মেকুর,বিলৈ
225,বিল্লি,বিলাই
226,বিল্লি,বিলৈ
227,মার্জার,বিলাই
228,মার্জার,বিলৈ
229,শ্রীফল,বেল
230,বিল্ব,বেল
231,বিল্বফল,বেল
232,মালূর,বেল
233,কর্কোটক,বেল
234,ঘণ্টা,বেল
235,জামিন,বেল
236,লতা,বেল
237,বাঘ,বাঘ
238,শার্দূল,বাঘ
239,প্রধান,বাঘ
240,শ্রেষ্ঠ,বাঘ
241,মহিষ,মৈহ
242,বেরাদর,ভাই
243,অন্ন,ভকত
244,অন্ন,ভাত
245,ওদন,ভকত
246,ওদন,ভাত
247,জবান,ভাষা
248,খালা,মই
249,মাসি,মই
250,ভুট্টা,মাকৈ
251,কুজবার,মঙলবাৰ
252,ভৌমবার,মঙলবাৰ
253,ভইষ,মৈহ
254,গোশত,মঙহ
255,গোশত,মাংস
256,কথা,মাত
257,শব্দ,মাত
258,রা,মাত
259,ওয়ালেদা,মাতা
260,মা,মাতা
261,আম্মা,মাতা
262,আম্মু,মাতা
263,মাত করা,মাতা
264,কথা কওয়া,মাতা
265,কথা বলা,মাতা
266,ভুট্টা,মাকৈ
267,ভুয়া,মিছা
268,মিথ্যা,মিছা
269,অনর্থক,মিছা
270,অসত্য,মিছা
271,নিষ্ফল,মিছা
272,মিষ্টি,মিঠা
273,মিষ্টি,মিঠা
274,মিঠা,মিঠা
275,প্রস্রাব,মূত
276,ওফাত,মৃত্যু
277,ইন্তেকাল,মৃত্যু
278,মরা,মৃত্যু
279,আবর,মেঘ
280,বাদল,মেঘ
281,বৃষ্টি,মেঘ
282,ঝড়ি,মেঘ
283,বাদল,মেঘ
284,খালা,মৈ
285,মাসি,মৈ
286,সৃজন,ৰচনা
287,সৃষ্টি,ৰচনা
288,নির্মাণ,ৰচনা
289,গঠন,ৰচনা
290,দেশ,ৰাষ্ট্ৰ
291,প্রকাশ,ৰাষ্ট্ৰ
292,প্রচার,ৰাষ্ট্ৰ
293,সংক্রামক রোগ,ৰাষ্ট্ৰ
294,মহামারী,ৰাষ্ট্ৰ
295,প্রসিদ্ধ,ৰাষ্ট্ৰ
296,খ্যাত,ৰাষ্ট্ৰ
297,সুপ্রকাশ,ৰাষ্ট্ৰ
298,নুন,লোণ
299,কদু,লাউ
300,কদু,লাও
301,শরম,লাজ
302,লজ্জা,লাজ
303,হায়া,লাজ
304,লেহাজ,লাজ
305,লফজ,শব্দ
306,আওয়াজ,শব্দ
307,কথা,শব্দ
308,বেলগাছ,শ্রী
309,শ্রীফল,শ্রী
310,বিল্ব(বৃক্ষ),শ্রী
311,ত্রিপত্র,শ্রী
312,কপীতন,শ্রী
313,কর্কোটক,শ্রী
314,মালূর,শ্রী
315,শাণ্ডিল্য,শ্রী
316,অতিমঙ্গল্য,শ্রী
317,পূতিবাত,শ্রী
318,মঙ্গল্য,শ্রী
319,শিবদ্রুম,শ্রী
320,সত্যফল,শ্রী
321,অশ্বত্থ,শ্রী
322,পিপ্পল,শ্রী
323,প্লক্ষ,শ্রী
324,অশোত,শ্রী
325,আশোত,শ্রী
326,পিপলী,শ্রী
327,মঙ্গল্য,শ্রী
328,সাঁঝ,সন্ধিয়া
329,আসল,সাঁচ
330,আসল,সাঁচা
331,সত্য,সাঁচ
332,সত্য,সাঁচা
333,হক,সাঁচ
334,হক,সাঁচা
335,বাস্তব,সাঁচ
336,বাস্তব,সাঁচা
337,হকীকৎ,সাঁচ
338,হকীকৎ,সাঁচা
339,সত্য,সাঁচ
340,সত্য,সাঁচা
341,বাস্তব,সাঁচ
342,বাস্তব,সাঁচা
343,হকীকৎ,সাঁচ
344,হকীকৎ,সাঁচা
345,সন্ধ্যা,সন্ধিয়া
346,সমুদ্র,সাগৰ
347,অর্ণব,সাগৰ
348,জলনিধি,সাগৰ
349,বারিধি,সাগৰ
350,রত্নাকর,সাগৰ
351,সিন্ধু,সাগৰ
352,সরিৎপতি,সাগৰ
353,শের,সিংহ
354,হায়দর,সিংহ
355,আজাদি,স্বাধীনতা
356,স্বাতন্ত্র্য,স্বাধীনতা
357,মুক্তি,স্বাধীনতা
358,নাজাত,স্বাধীনতা
359,সব,সকলো
360,বেবাক,সকলো
361,সত্য,সঁচা
362,সত্যি,সঁচা
363,দস্ত,হাত
364,অবস্থা,হাল
365,হৃৎপিন্ড,হিয়া
366,হৃদয়,হিয়া
367,হার্ট,হিয়া
368,কলব,হিয়া
369,হৃৎপিন্ড,হিয়া
370,হিয়া,হিয়া
371,হার্ট,হিয়া
