,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label,label_bin,DNN_logits,mbert_cos,xlm_cos,ass_bert_mbert_cos,indic_bert_cos,muril_cos,mbertxlm,mbertass_bert,mbertindic_bert,mbertmuril,xlmmbert,xlmass_bert,xlmindic_bert,xlmmuril,ass_bertmbert,ass_bertxlm,ass_bertindic_bert,ass_bertmuril,indic_bertmbert,indic_bertxlm,indic_bertass_bert,indic_bertmuril,murilmbert,murilxlm,murilass_bert,murilindic_bert,mbert_src_assbert_trg
0,0,0,0,0,180,180,পিন্ধা,আঠ,pin̪d̪ʱa,atʰ,wear,eight,1,0.6,0.583333333333333,0.641666666666667,4.7,0.641666666666667,6,Bengali,Bengali,random,0,-16.95237,0.859161853790283,0.619777739048004,0.437368601560593,0.996817827224731,0.99773758649826,0.6520988,-0.040722277,0.9978991,0.99839866,0.85940564,-0.04139591,0.99683017,0.9977406,0.9877634,0.95709693,0.99980676,0.9998949,0.9955022,0.987439,-0.036634423,0.9997935,0.9985212,0.99738777,-0.03702481,0.9999684,0.06304054
3,3,3,3,3,47,47,কালি,কালি,kali,kali,yesterday,yesterday,0,0,0,0,0,0,0,Bengali,Bengali,loan,1,6.420062,0.99999988079071,1,0.456332325935364,0.999681413173676,1,0.98683715,-0.040504772,0.9996318,0.9999521,0.99999934,-0.039202385,0.9996828,0.99999994,0.98609775,0.9767877,0.99966836,0.99991494,0.9978401,0.99747324,-0.036673002,0.99999535,0.99832493,0.998332,-0.037079226,0.9999474,0.032469623
4,4,4,4,4,105,105,ছবি,ঠেং,t͡ɕʰɔbi,tʰɛŋ,Pictures,The tail,0.714285714285714,0.75,0.348958333333333,0.375,3.625,0.375,3,Bengali,Bengali,random,0,-7.901681,0.787767589092255,0.661756932735443,0.320201128721237,0.999882280826569,0.999328076839447,0.68400383,-0.03614505,0.99989563,0.9993852,0.7878693,-0.035270825,0.99988246,0.9993285,0.97658455,0.9629154,0.9998512,0.99990696,0.99370956,0.99203,-0.037114955,0.9999758,0.99820834,0.9980239,-0.03707236,0.9999536,0.012762557
5,5,5,5,5,150,150,দুধ,গোহাঁই,d̪ud̪ʱɔ,gʊɦãi,Milk,Gohain,1,0.5,0.302083333333333,0.34375,5.28125,0.302083333333333,6,Bengali,Bengali,random,0,-10.332563,0.765486478805542,0.660117268562317,0.423458337783814,0.997747361660004,0.999779284000397,0.7347001,-0.024243271,0.9982478,0.9995721,0.7663406,-0.023311418,0.99776924,0.99978185,0.98738444,0.97425246,0.99948215,0.99969876,0.9954324,0.99067307,-0.03773907,0.9999752,0.99837774,0.9984098,-0.03709358,0.9999492,0.010637654
7,7,7,7,7,220,220,বিষ,বিষ,biʃ,bix,Poison,Poison,0.333333333333333,0.333333333333333,0.048611111111111,0.055555555555556,0.541666666666667,0.048611111111111,0,Bengali,Bengali,loan,1,1.8108512,0.999999642372131,1,0.500429451465607,0.997897267341614,1,0.9848795,-0.032994386,0.9983855,0.99996215,0.9999875,-0.032841366,0.99788976,1,0.97371495,0.94313776,0.99988526,0.99994504,0.9960449,0.993879,-0.037012,0.999978,0.9983661,0.9983751,-0.037107326,0.999948,0.12847339
10,10,10,10,10,233,233,ভাজা,পখিলা,bʱad͡ʑa,pɔkʰila,Fried,butterfly,0.857142857142857,0.333333333333333,0.368055555555556,0.402777777777778,3.10416666666667,0.402777777777778,4,Bengali,Bengali,random,0,-5.214599,0.853824138641357,0.720954358577728,0.441890388727188,0.996449589729309,0.999023616313934,0.7751628,-0.03549976,0.99749184,0.9991605,0.8540979,-0.035620783,0.9964547,0.9990256,0.98141634,0.9574956,0.99970925,0.999744,0.99209344,0.9826456,-0.036699668,0.9998911,0.9983316,0.998523,-0.037067667,0.9999414,0.06376166
11,11,11,11,11,175,175,পাত,পাতা,pat̪,pata,leaves,Leaves,0.25,0.25,0.234375,0.260416666666667,1.875,0.260416666666667,1,Bengali,Bengali,synonym,0,-5.1839695,0.957143366336822,0.723163962364197,0.435416251420975,0.999290764331818,0.999434232711792,0.86097836,-0.029060272,0.9994999,0.9997922,0.9572986,-0.02558045,0.9992897,0.99943566,0.96747553,0.9402839,0.99970794,0.9999172,0.9966068,0.99595845,-0.036946505,0.9999858,0.99814034,0.9984414,-0.037038703,0.99993163,0.08395952
12,12,12,12,12,174,174,পাতা,মিঠা,pat̪a,mitʰa,Leaves,sweet,0.6,0.25,0.072916666666667,0.072916666666667,1.0625,0.072916666666667,3,Bengali,Bengali,random,0,-6.064847,0.89465469121933,0.662549614906311,0.334363996982574,0.998778641223908,0.999480247497559,0.7079432,-0.037240937,0.99943256,0.9996738,0.89476335,-0.038130347,0.99878216,0.999482,0.9886822,0.9589753,0.9998986,0.9998917,0.9973631,0.9949522,-0.03666152,0.99997485,0.9983032,0.99793166,-0.037067246,0.9999574,0.058477864
13,13,13,13,13,58,58,গলদেশ,গলা,ɡɔlɔd̪eʃ,gɔla,Neck,Throat,0.75,0.571428571428571,0.523809523809524,0.577380952380952,4.21428571428571,0.577380952380952,3,Bengali,Bengali,synonym,0,-9.379174,0.905084490776062,0.661411464214325,0.437219202518463,0.998102784156799,0.998276829719543,0.7387442,-0.03711928,0.9987495,0.9986697,0.9051801,-0.03919061,0.9981072,0.9982806,0.96940935,0.94577634,0.9993818,0.9998943,0.9944531,0.9892702,-0.037918806,0.99992174,0.9984149,0.9973955,-0.037004992,0.9999702,0.0037428946
15,15,15,15,15,84,84,ঘড়ি,মুঠা,gʱɔɽi,mutʰa,The clock,A handful,1,0.5,0.348958333333333,0.395833333333333,3.625,0.375,4,Bengali,Bengali,random,0,-15.305779,0.872949242591858,0.703360676765442,0.620998084545136,0.998661935329437,0.999104619026184,0.7507674,-0.03310094,0.9992448,0.999565,0.8731278,-0.034243807,0.9986641,0.99910754,0.9859785,0.95329404,0.99993205,0.99990493,0.99543506,0.99483484,-0.036830008,0.9999741,0.9977288,0.9980289,-0.03699584,0.9999214,0.1220647
