,loan_word,original_word
0,আঁহ,অংশুক
1,আঁহ,অংশুপট্ট
2,অক্ষ,পাশা
3,অক্ষ,অক্ষক্রীড়া
4,অক্ষ,অক্ষরেখা
5,অক্ষ,মেরুরেখা
6,অক্ষ,অক্ষাংশ
7,অক্ষ,অক্ষি
8,অক্ষ,রুদ্রাক্ষ
9,অগ্নি,আগুন
10,আগুনি,আগুন
11,অগ্নি,তেজ
12,আগুনি,তেজ
13,অগ্নি,জঠরাগ্নি
14,আগুনি,জঠরাগ্নি
15,অগ্নি,অগ্নিকোণ
16,আগুনি,অগ্নিকোণ
17,অংক,সংখ্যা
18,অংক,আঁক
19,অনুবাদ,তর্জমা
20,অনুমতি,ইজাজত
21,অস্থি,হাড়
22,আঁঠু,জানু
23,আঁঠু,হাঁটু
24,আকাশ,আসমান
25,অগ্নি,অগ্নি
26,আগুনি,অগ্নি
27,অগ্নি,অনল
28,আগুনি,অনল
29,অগ্নি,আতশ
30,আগুনি,আতশ
31,অগ্নি,হুতাশন
32,আগুনি,হুতাশন
33,অগ্নি,কৃশানু
34,আগুনি,কৃশানু
35,অগ্নি,বহ্নি
36,আগুনি,বহ্নি
37,আম,আম্র
38,উত্তৰ,উদীচী
39,উত্তৰ,জবাব
40,উত্তৰ,উদীচ্য
41,উত্তৰ,উত্তুরে
42,উপন্যাস,নভেল
43,একতা,ঐক্য
44,একতা,একত্ব
45,কচু,সবুজ
46,কহা,বলা
47,কাহ,বলা
48,কাণ,কর্ণ
49,কুকুৰা,মোরগ
50,কুকুৰা,মুরগা
51,কুকুৰা,কুক্কুট
52,কুটুম,আপন
53,কুটুম,এগানা
54,কুটুম,খেশ
55,কুটুম,রিশতাদার
56,কৃষ্ণ,কানাই
57,কৃষ্ণ,কানু
58,কল,কে
59,কল,কেগা
60,কল,কেডা
61,কল,কেন
62,কি,কেন
63,গলা,গলদেশ
64,গিলা,গলদেশ
65,গেলা,গলদেশ
66,গলা,গ্রীবা
67,গিলা,গ্রীবা
68,গেলা,গ্রীবা
69,গলা,ঘাড়
70,গিলা,ঘাড়
71,গেলা,ঘাড়
72,গলা,গর্দান
73,গিলা,গর্দান
74,গেলা,গর্দান
75,গলা,কণ্ঠ
76,গিলা,কণ্ঠ
77,গেলা,কণ্ঠ
78,গলা,কণ্ঠ
79,গিলা,কণ্ঠ
80,গেলা,কণ্ঠ
81,গলা,টুঁটি
82,গিলা,টুঁটি
83,গেলা,টুঁটি
84,গলা,ওলকম
85,গিলা,ওলকম
86,গেলা,ওলকম
87,গাঁউ,গাঁ
88,গাঁও,গাঁ
89,গাঁউ,গেরাম
90,গাঁও,গেরাম
91,গুহা,গুফা
92,গুহা,গুফা
93,চলা,কাজ করা
94,চলা,বাজা
95,চলা,রওনা হওয়া
96,চলা,বেরোনো
97,চন্দ্ৰ,চন্দ্র
98,চাঁদ,চন্দ্র
99,চান,চন্দ্র
100,চান্দ,চন্দ্র
101,চন্দ্ৰ,মাহতাব
102,চাঁদ,মাহতাব
103,চান,মাহতাব
104,চান্দ,মাহতাব
105,চন্দ্ৰ,গোসল
106,চাঁদ,গোসল
107,চান,গোসল
108,চান্দ,গোসল
109,চন্দ্ৰ,বুড়
110,চাঁদ,বুড়
111,চান,বুড়
112,চান্দ,বুড়
113,চন্দ্ৰ,স্নান
114,চাঁদ,স্নান
115,চান,স্নান
116,চান্দ,স্নান
117,চন্দ্ৰ,চন্দ্র
118,চাঁদ,চন্দ্র
119,চান,চন্দ্র
120,চান্দ,চন্দ্র
121,চন্দ্ৰ,মাহতাব
122,চাঁদ,মাহতাব
123,চান,মাহতাব
124,চান্দ,মাহতাব
125,জল,পানি
126,জল,বারি
127,জল,সলিল
128,জল,উদক
129,জল,কমল
130,জল,জীবন
131,জল,তোয়
132,জল,নীর
133,জল,পয়ঃ
134,জল,পানীয়
135,জল,উদ
136,জল,সার
137,জেঠ,জ্যৈষ্ঠ
138,জেঠ,জষ্টি
139,জ্ঞান,এলেম
140,টকা,পয়সা
141,টাকা,পয়সা
142,ঠেং,পয়সা
143,টকা,ধন
