,loan_word,original_word
0,অক্ষ,अक्ष
1,অগ্নি,अग्नि
2,অনুবাদ,अनुवाद
3,অনুমতি,अनुमति
4,অশোক,अशोक
5,অস্থি,अस्थि
6,আকাশ,आकाश
7,ইতিহাস,इतिहास
8,উপত্যকা,उपत्यका
9,উপন্যাস,उपन्यास
10,ঋতু,ऋतु
11,একতা,एकता
12,ঔষধ,औषध
13,কথা,कथा
14,কবি,कवि
15,কৃষ্ণ,कृष्ण
16,কেন্দ্ৰ,केन्द्र
17,কোটি,कोटि
18,গুহা,गुहा
19,চিন্তা,चिन्ता
20,তিমি,तिमि
21,নখ,नख
22,নতুন,नूतन
23,নদী,नदी
24,পায়স,पायस
25,ভালুক,भल्लूक
26,ভাষা,भाषा
27,মাংস,मांस
28,মুখ,मुख
29,মৃত্যু,मृत्यु
30,যুদ্ধ,युद्ध
31,শূন্য,शून्य
32,শ্রী,श्री
33,সময়,समय
34,সমান,समान
35,সিংহ,सिंह
36,স্বাধীনতা,स्वाधीनता
37,হিম,हिम
