,loan_word,original_word
0,অংক,অংক
1,অংক,অঙ্ক
2,আঁহ,অংশু
3,অক্ষ,অক্ষ
4,অগ্নি,অগ্নি
5,আগুনি,অগ্নি
6,অগ্নি,আগুন
7,আগুনি,আগুন
8,অনুবাদ,অনুবাদ
9,অনুমতি,অনুমতি
10,অৱতাৰ,অবতার
11,অশোক,অশোক
12,অস্থি,অস্থি
13,আমি,আঁই
14,আমি,আমি
15,আঁক,আঁকা
16,আঁঠু,আঁঠু
17,আঁঠু,আঁডু
18,আকাশ,আকাশ
19,আছে,আছে
20,আজি,আজি
21,আঠ,আট
22,আঠ,আষ্ট
23,আদা,আদা
24,আম,আম
25,ইতিহাস,ইতিহাস
26,উট,উট
27,উত্তৰ,উত্তর
28,উপত্যকা,উপত্যকা
29,উপন্যাস,উপন্যাস
30,ঋতু,ঋতু
31,আক,এক
32,এক,এক
33,আক,একলা
34,এক,একলা
35,একতা,একতা
36,ঔষধ,ঔষধ
37,কচু,কচু
38,কচু,কচুয়া
39,কথা,কথা
40,কবি,কবি
41,কম্বল,কম্বল
42,কাণ,কর্ণ
43,কাণ,কান
44,কলা,কলা
45,কালি,কলা
46,কলা,কালি
47,কালি,কালি
48,কহা,কহা
49,কাহ,কহা
50,কাঁচ,কাঁচ
51,কাচ,কাঁচ
52,কাছ,কাছ
53,কাছু,কাছ
54,কটা,কাটা
55,কাট,কাটা
56,কাটা,কাটা
57,কাঠ,কাঠ
58,কাতি,কাতি
59,কিন্তু,কিন্তু
60,কুকুৰা,কুঁকড়া
61,কুকুৰ,কুকুর
62,কুটুম,কুটুম
63,কৃষ্ণ,কৃষ্ণ
64,কেন্দ্ৰ,কেন্দ্ৰ
65,কল,কেলা
66,কোটি,কোটি
67,কোদাল,কোদাল
68,কোন,কোন
69,কি,ক্যা
70,ক্ৰিয়া,ক্রিয়া
71,খাট,খাট
72,খানা,খাদ্য
73,গম,গম
74,গলা,গলা
75,গিলা,গলা
76,গেলা,গলা
77,গাঁউ,গাঁও
78,গাঁও,গাঁও
79,গু,গু
80,গুহা,গুহা
81,গুলী,গোলন্দাজ
82,গোল,গোলন্দাজ
83,গোসাঁই,গোসাঁই
84,গোসাঞি,গোসাঁই
85,গোহাঁই,গোসাঁই
86,ঘড়ী,ঘড়ি
87,ঘাম,ঘাম
88,ঘমা,ঘামা
89,ঘামা,ঘামা
90,ঘোঁৰা,ঘোড়া
91,চলা,চলা
92,চন্দ্ৰ,চাঁদ
93,চাঁদ,চাঁদ
94,চান,চাঁদ
95,চান্দ,চাঁদ
96,চন্দ্ৰ,চান
97,চাঁদ,চান
98,চান,চান
99,চান্দ,চান
100,চকা,চাকা
101,চকৰ,চাকা
102,চাক,চাকা
103,চাকা,চাকা
104,চাকি,চাকা
105,চিন্তা,চিন্তা
106,চ’ত,চৈত
107,ছবি,ছবি
108,ছয়,ছয়
109,ছাগলী,ছাগলী
110,জন্তু,জন্তু
111,জল,জল
112,জনা,জানা
113,জানা,জানা
114,জেঠ,জেঠ
115,জ্ঞান,জ্ঞান
116,জিকা,ঝিঙা
117,টকা,টাং
118,টাকা,টাং
119,ঠেং,টাং
120,টকা,টাকা
121,টাকা,টাকা
122,ঠেং,টাকা
123,টকা,টেহা
124,টাকা,টেহা
125,ঠেং,টেহা
126,টকা,ঠেং
127,টাকা,ঠেং
128,ঠেং,ঠেং
129,ডাঁহ,ডাঁশ
130,দীঘ,ডাঙর
131,দীঘল,ডাঙর
132,দীঘা,ডাঙর
133,ডিম,ডিম
134,ডিমা,ডিম
135,ঢোল,ঢোল
136,তাই,তাই
137,তাম,তামা
138,তিতা,তিতা
139,তিমি,তিমি
140,তুমি,তুমি
141,তেল,তেল
142,দহ,দশ
143,দাঁত,দাঁত
144,দাউদাউ,দাউদাউ
145,দাড়ি,দাড়ি
146,দাম,দাম
147,দিন,দিন
148,দুখ,দুঃখ
149,দুখ,দুখ
150,দুই,দুই
151,দুগ্ধ,দুগ্ধ
152,দুধ,দুধ
153,দুৱাৰ,দ্বার
154,দ্বীপ,দ্বীপ
155,ধনিয়া,ধনিয়া
156,ধন্যবাদ,ধন্যবাদ
157,ধৰ্ম,ধর্ম
158,ধোঁৱা,ধুমা
159,ধোঁৱা,ধোঁয়া
160,নখ,নখ
161,নগৰ,নগর
162,নতুন,নতুন
163,নদী,নদী
164,নাই,নাই
165,নাও,নাও
166,নাম,নাম
167,নীল,নীল
168,নিয়ৰ,নীহারিকা
169,পদুম,পদ্ম
170,পশু,পশু
171,পাঁচ,পাঁচ
172,পখিলা,পাখ
173,পখিলা,পাখা
174,পাখি,পাখি
175,পাণ,পাণ
176,পাতা,পাতা
177,পানী,পানি
178,পানী,পানীয়
179,পায়স,পায়স
180,পিতা,পিতা
181,পিন্ধ,পিন্ধা
182,পিন্ধা,পিন্ধা
183,পুত,পুত
184,পুৰুষ,পুরুষ
185,পুষ্প,পুষ্প
186,পুথি,পুস্তক
187,ফেঁচা,পেঁচা
188,পো,পো
189,পুলি,পোলা
190,পোনা,পোলা
191,পোৱালী,পোলা
192,পুহ,পোষ
193,প্ৰাচীন,প্রাচীন
194,ফণী,ফণী
195,ফল,ফল
196,ফুল,ফুল
197,বঙালী,বঙ্গ
198,বঙালী,বাংলা
199,বঙালী,বাঙালি
200,বঙালী,বাঙ্গালী
201,বস্তু,বস্তু
202,বহুত,বহুত
203,বা,বা
204,বঙহ,বাঁশ
205,বলিয়া,বাউল
206,বাউল,বাউল
207,বাঘ,বাঘ
208,বাঘ,ব্যাঘ্র
209,বাজ,বাজ
210,বাজে,বাজ
211,বাট,বাট
212,বান,বান
213,বায়ু,বায়ু
214,বাল,বাল
215,বিছা,বিছা
216,বৃশ্চিক,বিছা
217,বিজ্ঞান,বিজ্ঞান
218,বিলাই,বিলাই
219,বিলৈ,বিলাই
220,বিষ,বিষ
221,বিহ,বিষ
222,বুদ্ধি,বুদ্ধি
223,বুধবাৰ,বুধবার
224,বেঁকা,বেঁকা
225,বেল,বেল
226,বৈনী,বোন
227,ভনী,বোন
228,ব্যৱহাৰ,ব্যবহার
229,ব্যাকৰণ,ব্যাকরণ
230,মৈহ,ভইষ
231,মৈহ,মহিষ
232,ভয়,ভয়
233,ভাই,ভাই
234,ভজা,ভাজা
235,ভাজা,ভাজা
236,ভকত,ভাত
237,ভাত,ভাত
238,ভাৰত,ভারত
239,ভাল,ভাল
240,ভালুক,ভালুক
241,ভাষা,ভাষা
242,মই,মই
243,মাকৈ,মকাই
244,মাকৈ,মাহই
245,মঙলবাৰ,মঙ্গলবার
246,ময়ূৰ,ময়ূর
247,মৈৰা,ময়ূর
248,মঙহ,মাংস
249,মাংস,মাংস
250,মাখি,মাক্‌খি
251,মাছ,মাছ
252,মাজ,মাঝ
253,মাত,মাত
254,মাতা,মাতা
255,মিছা,মিছা
256,মিঠা,মিঠা
257,মিঠা,মিডা
258,মিঠা,মিষ্টি
259,মুহ,মু
260,মুখ,মুখ
261,মুঠ,মুঠা
262,মুঠা,মুঠা
263,মুঠি,মুঠা
264,মুঠ,মুঠি
265,মুঠা,মুঠি
266,মুঠি,মুঠি
267,মুঠ,মুঠো
268,মুঠা,মুঠো
269,মুঠি,মুঠো
270,মূত,মূত্র
271,মূলা,মূল
272,মৃত্যু,মৃত্যু
273,মেঘ,মেঘ
274,মাই,মেয়ে
275,মৈ,মৈ
276,যুদ্ধ,যুদ্ধ
277,যোনি,যোনি
278,ৰঙা,রং
279,ৰাং,রং
280,ৰঙা,রঙ
281,ৰাং,রঙ
282,ৰঙা,রাং
283,ৰাং,রাং
284,লহুন,রউন
285,লহুন,রসুন
286,ৰচনা,রচনা
287,ৰবিবাৰ,রবিবার
288,ৰাষ্ট্ৰ,রাষ্ট্র
289,লোণ,লবণ
290,লাউ,লাউ
291,লাও,লাউ
292,লাখ,লাখ
293,লাজ,লাজ
294,লিপি,লিপি
295,শনিবাৰ,শনিবার
296,শব্দ,শব্দ
297,শাওন,শাওন
298,শিকোৱা,শিক্ষা
299,শিক্ষা,শিক্ষা
300,সেকা,শিক্ষা
301,শিল,শিল
302,শুকান,শুখা
303,শূন্য,শূন্য
304,শিকা,শেখা
305,শেলাই,শৈবাল
306,শ্রী,শ্রী
307,শ্রী,শ্রীবৃক্ষ
308,সকলো,সকল
309,সকলো,হক্কল
310,সকলো,হগল
311,সন্ধিয়া,সন্ধ্যা
312,সন্ধিয়া,সাঁঝ
313,সময়,সময়
314,সমান,সমান
315,সমান,সমানে
316,সমান,হমান
317,সাপ,সর্প
318,সাপ,সাপ
319,সহা,সহা
320,সাঁকো,সাঁকো
321,সাঁচ,সাঁচা
322,সাঁচা,সাঁচা
323,সাগৰ,সাগর
324,সাগৰ,হাওর
325,সাত,সাত
326,সিংহ,সিংহ
327,সোমবাৰ,সোমবার
328,স্বাধীনতা,স্বাধীনতা
329,সঁচা,হাচা
330,হাট,হাট
331,হাটী,হাট
332,হাত,হাত
333,হামি,হামি
334,হাল,হাল
