,loan_word,original_word
0,অংক,অংক
1,অঙ্ক,অংক
2,অংশু,আঁহ
3,অক্ষ,অক্ষ
4,অগ্নি,অগ্নি
5,অগ্নি,আগুনি
6,আগুন,অগ্নি
7,আগুন,আগুনি
8,অনুবাদ,অনুবাদ
9,অনুমতি,অনুমতি
10,অবতার,অৱতাৰ
11,অশোক,অশোক
12,অস্থি,অস্থি
13,আঁই,আমি
14,আমি,আমি
15,আঁকা,আঁক
16,আঁঠু,আঁঠু
17,আঁডু,আঁঠু
18,আকাশ,আকাশ
19,আছে,আছে
20,আজি,আজি
21,আট,আঠ
22,আষ্ট,আঠ
23,আদা,আদা
24,আম,আম
25,ইতিহাস,ইতিহাস
26,উট,উট
27,উত্তর,উত্তৰ
28,উপত্যকা,উপত্যকা
29,উপন্যাস,উপন্যাস
30,ঋতু,ঋতু
31,এক,আক
32,এক,এক
33,একলা,আক
34,একলা,এক
35,একতা,একতা
36,ঔষধ,ঔষধ
37,কচু,কচু
38,কচুয়া,কচু
39,কথা,কথা
40,কবি,কবি
41,কম্বল,কম্বল
42,কর্ণ,কাণ
43,কান,কাণ
44,কলা,কলা
45,কলা,কালি
46,কালি,কলা
47,কালি,কালি
48,কহা,কহা
49,কহা,কাহ
50,কাঁচ,কাঁচ
51,কাঁচ,কাচ
52,কাছ,কাছ
53,কাছ,কাছু
54,কাটা,কটা
55,কাটা,কাট
56,কাটা,কাটা
57,কাঠ,কাঠ
58,কাতি,কাতি
59,কিন্তু,কিন্তু
60,কুঁকড়া,কুকুৰা
61,কুকুর,কুকুৰ
62,কুটুম,কুটুম
63,কৃষ্ণ,কৃষ্ণ
64,কেন্দ্ৰ,কেন্দ্ৰ
65,কেলা,কল
66,কোটি,কোটি
67,কোদাল,কোদাল
68,কোন,কোন
69,ক্যা,কি
70,ক্রিয়া,ক্ৰিয়া
71,খাট,খাট
72,খাদ্য,খানা
73,গম,গম
74,গলা,গলা
75,গলা,গিলা
76,গলা,গেলা
77,গাঁও,গাঁউ
78,গাঁও,গাঁও
79,গু,গু
80,গুহা,গুহা
81,গোলন্দাজ,গুলী
82,গোলন্দাজ,গোল
83,গোসাঁই,গোসাঁই
84,গোসাঁই,গোসাঞি
85,গোসাঁই,গোহাঁই
86,ঘড়ি,ঘড়ী
87,ঘাম,ঘাম
88,ঘামা,ঘমা
89,ঘামা,ঘামা
90,ঘোড়া,ঘোঁৰা
91,চলা,চলা
92,চাঁদ,চন্দ্ৰ
93,চাঁদ,চাঁদ
