word,synonym
অঁকোল,আঁকড়
অংগুস্তানা,মেজরাব
অংগুস্তানা,চামাটি
অংশগ্রাহী,অংশীদার
অংশগ্রাহী,শরিক
অংশু,অংশুক
অংশু,অংশুপট্ট
অকথা,কুকথা
অকথা,অকথা-কুকথা
অকর,নিষ্কর
অকরণীয়,অকর্তব্য
অকর্কশ,মসৃণ
অকর্কশ,অকঠোর
অকর্কশ,শ্রুতিমধুর
অকর্ণ,কর্ণহীন
অকর্ণ,কানহীন
অকর্ণ,বধির
অকর্মণ্য,অকর্মা
অকর্মণ্য,অকেজো
অকলঙ্ক,দাগশূন্য
অকলঙ্ক,দাগহীন
অকলঙ্ক,নির্মল
অকলঙ্ক,পবিত্র
অকল্ক,অমল
অকল্ক,নির্মল
অকল্ক,নিষ্পাপ
অকল্ক,নিরহঙ্কার
অকল্যাণ,অমঙ্গল
অকল্যাণ,অকল্যাণকর
অকল্যাণ,অমঙ্গলজনক
অকষ্টবদ্ধ,উভয়সঙ্কট
অকাম,অকাম্য
অকাম,নিষ্কাম
অকার্যকরী,অকার্যকর
অকৃতাদর,অনাদৃত
অকৃতাদর,অনভ্যর্থিত
অকৃতাদর,অনাদরকারী
অকৃতার্থ,অকৃতকার্য
অকৃত্রিম,খাঁটি
অকৃত্রিম,বিশুদ্ধ
অকৃত্রিম,প্রাকৃতিক
অকৃত্রিম,অকপট
অক্রেয়,অক্রেতব্য
অক্ষ,পাশা
অক্ষ,অক্ষক্রীড়া
অক্ষ,অক্ষরেখা
অক্ষ,মেরুরেখা
অক্ষ,অক্ষাংশ
অক্ষ,অক্ষি
অক্ষ,রুদ্রাক্ষ
অক্ষর,বর্ণ
অক্ষরেখা,মেরুরেখা
অক্ষরেখা,অক্ষবৃত্ত
অখণ্ডনীয়,অবিভাজ্য
অখণ্ডনীয়,অকাট্য
অখণ্ড্য,অবিভাজ্য
অখণ্ড্য,অকাট্য
অগতি,দুর্গতি
অগভীর,ভাসা-ভাসা
অগম,অগন্তব্য
অগম,অগম্য
অগম,অগাধ
অগম,অথৈ
অগস্ত্য,অগস্ত্যমুনি
অগস্ত্য,ক্যানোপাস
অগাধ,অথৈ
অগুরু,আগর
অগুরু,শিশু গাছ
অগুরু,শিংশপাবৃক্ষ
অগ্নি,আগুন
অগ্নি,তেজ
অগ্নি,জঠরাগ্নি
অগ্নি,অগ্নিকোণ
অগ্রজিহ্বা,আলজিহ্বা
অগ্রজিহ্বা,উপজিহ্বা
অগ্রহণীয়,অগ্রহণযোগ্য
অগ্রীয়,আগাম
অগ্রীয়,দাদন
অঙ্ক,সংখ্যা
অঙ্ক,আঁক
অঙ্কদেশ,কোল
অঙ্কদেশ,ক্রোড়
অঙ্কদেশ,অঙ্কীয়দেশ
অঙ্কবিদ,অঙ্কবেত্তা
