,Word,Is loan?
101,印度尼西亞,X
895,阿爾弗列德,
183,喹啉,
49,免治,
161,咪唑,
128,吖嗪,
835,辛普森,X
566,派司,
629,癟三,
134,吉普,X
90,卡布奇諾,X
160,哈佬,
342,巴拉圭,X
216,坦桑尼亞,X
515,梵婀玲,
427,托利,
780,蘇丹,X
405,恰恰,X
675,紐芬蘭,X
714,艾奇遜,
488,曼克頓,
36,便士,X
479,明尼阿波利斯,
464,放克,X
272,好市圍,
143,吲唑,
925,馬克杯,X
711,色拉,X
866,金氏,
839,迪拜,X
628,當機,
402,德魯伊,
794,西敏,
341,巴拉克,
526,歐巴馬,
498,果占,
470,斯芬克斯,
641,盎司,X
767,蓋茨,
329,巧克力,X
668,米釐,
823,賽因斯,
34,來福槍,
951,麥當勞,X
771,薩威稜帖,
347,巴爾幹,
164,哈嘍,X
284,威靈頓,
429,托拉斯,
886,阿德萊德,X
579,湯力水,
645,盧旺達,
747,菲力,X
647,盧瑟,
445,拷貝,
547,法克,X
418,愛麗斯,X
502,柴可夫斯基,X
259,奎寧,X
808,貓本,
393,彼拉提斯,
827,賽蓮,
145,吡喃,
913,霍巴特,X
364,布朗尼,X
938,魂克,
339,巴布爾,
225,塔崩,
492,木斯里,
732,茄哩啡,
229,塞特,
443,按乃近,
857,邱吉爾,X
265,奧林匹克,X
37,保齡,X
757,華法林,
228,塔斯馬尼亞,
168,哈羅,X
86,卡塔爾,X
604,特朗普,X
82,卡司,X
39,傑克,X
665,米兔,X
403,忌廉芝士,
48,克林頓,X
352,布丁,X
13,亞士匹靈,X
70,加德滿都,
263,奧巴馬,X
947,麥克筆,
442,拓都,
112,可待因,
476,方棚,
855,那不勒斯,X
483,智利,X
