,Word,Is loan?,,
0,babul,X,,
7,detergent,,,
12,tricycle,,,
27,chef,X,,
34,capriole,,,
36,domaine,X,,
38,chaud-froid,X,,
46,mouche,X,,
64,tierceron,X,,
69,coudiere,,,
70,Pelland,,,
77,Rene,X,,
82,simar,,,
93,saucisson,X,,
108,roman à clef,X,,
143,Charleroi,X,,
156,crème fraîche,X,,
163,jaspé,X,,
165,souvenir,,,
166,deviant,,,
173,javanais,X,,
179,négligée,X,,
182,pièce montée,X,,
183,punt,,,
190,éclair,X,,
193,succès fou,X,,
196,Laos,,,
198,Lamotte,X,,
211,terne,,,
222,rapporteur,X,,
223,sapeur,X,,
239,pierrotage,X,,
241,parvenu,X,,
243,point d'appui,X,,
261,prepose,,,
263,de Lesseps,X,,
271,Charron,X,,
273,fromage,,,
283,Tourcoing,,,
286,paupiette,X,,
287,bateau,X,,
288,pain aux raisins,X,,
298,Perusse,X,,
320,areole,,,
321,restaurateur,X,,
333,abandonment,,,
335,rocambole,X,,
339,crinoline,,,
359,cafetière,X,,
361,ramp,,,
377,emery,,,
381,chantefable,X,,
389,commissariat,X,,
402,decalcomanie,X,,
432,Romaine,,,
434,bavaroise,X,,
437,emigre,X,,
441,cham,X,,
452,clapper,,,
453,Watremez,,,
454,cataclysm,,,
463,sanitary,,,
471,cheville,X,,
474,faluche,X,,
475,Linne,,,
487,Traverse,,,
491,proletaire,X,,
493,agglutination,,,
504,jet,,,
505,Chaource,X,,
506,née,X,,
507,bastille,X,,
511,Foix,X,,
514,dégagé,X,,
524,au contraire,X,,
536,tarte flambée,X,,
538,mirepoix,X,,
544,Bône,,,
546,denature,,,
548,dragonné,X,,
560,mistelle,,,
564,Bourguignon,X,,
565,torrent,,,
574,observant,,,
583,Charpentier,X,,
595,ruelle,X,,
607,intrigante,,,
609,Binedama,,,
611,Meknes,,,
613,livre,,,
615,saignée,X,,
616,brochure,X,,
617,Arpajon,X,,
629,fer-de-lance,X,,
630,disinter,,,
633,félibre,,,
634,moiré,X,,
643,centrifuge,,,
648,monokini,,,
653,deplace,,,
655,Cognac,X,,
657,fiber,,,
679,externat,,,
683,misère,,,
688,cereal,,,
689,balayeuse,X,,
703,duramenisation,,,
706,Girardot,,,
714,avertissement nucléaire,X,,
715,Grall,,,
723,corps-a-corps,,,
729,battement,,,
731,Polypheme,,,
749,Icard,,,
757,furtive,,,
763,cendrée,X,,
773,Robillard,,,
786,maniac,,,
788,abatjour,X,,
802,jeremiad,,,
806,fait accompli,X,,
814,Art Nouveau,X,,
818,intrication,,,
848,extrinsic,,,
850,gibbon,,,
877,Lefort,X,,
879,currant,,,
896,strass,,,
900,Desaulniers,X,,
907,Debrosse,X,,
915,petroglyph,,,
929,raclette,X,,
943,embarrass,X,,
947,bigot,,,
971,pomme frite,X,,
972,Dupuit,,,
978,existentialism,,,
984,Lemans,X,,
992,endocrinology,,,
998,fouetté,X,,
1017,pièce d'occasion,X,,
1023,tarte Tatin,,,
1029,solenoid,,,
1045,aileron,,,
1049,badaud,X,,
1053,dolerite,,,
1070,pastis,,,
1072,nouveau riche,X,,
1081,Chantal,X,,
1101,Abenaki,,,
1102,lapalissade,X,,
1104,confidant,X,,
1130,demoiselle,X,,
1133,Nivôse,X,,
1141,melongene,X,,
1142,Trudel,,,
1148,Faneuil,,,
1150,elegante,,,
1153,feminism,,,
1163,Haury,,,
1165,compte rendu,X,,
1169,Béjaïa,,,
1175,horizontal,,,
1179,erudit,,,
1182,Marechal,,,
1188,Germinal,,,
1194,homolog,,,
1196,beau sabreur,X,,
1214,decapitate,,,
1218,avertissement,X,,
1219,Cadillac,,,
1224,isolation,,,
1232,gourmandise,X,,
1238,Vernet,,,
1241,grot,,,
1242,mamelière,X,,
1250,emollient,X,,
1252,glacé,X,,
1253,département,,,
1254,prospectus,,,
1259,passéist,X,,
1263,limitrophe,,,
1264,exergue,,,
1280,espagnolette,,,
1296,fauvette,,,
1304,mouton enragé,X,,
1305,Pelot,X,,
1307,fadaise,X,,
1308,lieu,X,,
1315,Theberge,,,
1316,savoir-faire,X,,
1319,cambré,X,,
1323,amaranth,,,
1325,de Havilland,,,
1326,calembour,X,,
1330,greffier,X,,
1336,Poincaré,,,
1337,talisman,,,
1339,corticine,,,
1351,Piccard,,,
1352,yé-yé,,,
1354,coquet,X,,
1356,flasque,,,
1357,Levallois,X,,
1360,Naples,,,
1361,talapoin,,,
1371,bouleversement,X,,
1376,anatase,,,
1381,ballottement,X,,
1384,en garde,X,,
1387,foulage,X,,
1391,macédoine,X,,
1395,bride,,,
1408,croisade,X,,
1429,jujube,,,
1434,enmanché,X,,
1435,piedouche,X,,
1467,paillard,X,,
1485,angelot,X,,
1489,baldaquin,,,
1494,crème anglaise,X,,
1501,tourbillon,,,
1518,pourpointing,,,
1525,berdache,,,
1535,bombe,,,
1537,blet,,,
1538,Montlhéry,X,,
1543,coulis,X,,
1546,bras d'honneur,X,,
1549,saponule,,,
1551,Simoneau,X,,
1566,trahison des clercs,X,,
1572,piloti,,,
