,Word,Is loan?
0,babul,x
7,detergent,
12,tricycle,
27,chef,
34,capriole,
36,domaine,
38,chaud-froid,x
46,mouche,x
64,tierceron,x
69,coudiere,x
70,Pelland,
77,Rene,x
82,simar,
93,saucisson,
108,roman à clef,x
143,Charleroi,
156,crème fraîche,x
163,jaspé,x
165,souvenir,x
166,deviant,
173,javanais,x
179,négligée,
182,pièce montée,
183,punt,
190,éclair,x
193,succès fou,x
196,Laos,
198,Lamotte,x
211,terne,
222,rapporteur,x
223,sapeur,x
239,pierrotage,x
241,parvenu,x
243,point d'appui,x
261,prepose,
263,de Lesseps,x
271,Charron,
273,fromage,
283,Tourcoing,
286,paupiette,x
287,bateau,x
288,pain aux raisins,x
298,Perusse,
320,areole,
321,restaurateur,x
333,abandonment,
335,rocambole,
339,crinoline,
359,cafetière,x
361,ramp,
377,emery,
381,chantefable,x
389,commissariat,x
402,decalcomanie,
432,Romaine,
434,bavaroise,
437,emigre,
441,cham,
452,clapper,
453,Watremez,
454,cataclysm,
463,sanitary,
471,cheville,x
474,faluche,x
475,Linne,
487,Traverse,
491,proletaire,
493,agglutination,
504,jet,
505,Chaource,x
506,née,x
507,bastille,x
511,Foix,x
514,dégagé,
524,au contraire,x
536,tarte flambée,
538,mirepoix,x
544,Bône,
546,denature,
548,dragonné,x
560,mistelle,
564,Bourguignon,
565,torrent,
574,observant,
583,Charpentier,
595,ruelle,x
607,intrigante,
609,Binedama,
611,Meknes,
613,livre,
615,saignée,x
616,brochure,
617,Arpajon,
629,fer-de-lance,x
630,disinter,
633,félibre,x
634,moiré,x
643,centrifuge,
648,monokini,
653,deplace,
655,Cognac,
657,fiber,
679,externat,
683,misère,x
688,cereal,
689,balayeuse,x
703,duramenisation,
706,Girardot,
714,avertissement nucléaire,x
715,Grall,
723,corps-a-corps,
729,battement,
731,Polypheme,
749,Icard,
757,furtive,
763,cendrée,x
773,Robillard,
786,maniac,
788,abatjour,x
802,jeremiad,
806,fait accompli,x
814,Art Nouveau,
818,intrication,
848,extrinsic,
850,gibbon,
877,Lefort,x
879,currant,x
896,strass,
900,Desaulniers,
907,Debrosse,
915,petroglyph,
929,raclette,
943,embarrass,
947,bigot,
971,pomme frite,x
972,Dupuit,x
978,existentialism,
984,Lemans,
992,endocrinology,
998,fouetté,x
1017,pièce d'occasion,x
1023,tarte Tatin,
1029,solenoid,
1045,aileron,
1049,badaud,
1053,dolerite,x
1070,pastis,x
1072,nouveau riche,x
1081,Chantal,
1101,Abenaki,
1102,lapalissade,x
1104,confidant,
1130,demoiselle,
1133,Nivôse,x
1141,melongene,
1142,Trudel,
1148,Faneuil,
1150,elegante,x
1153,feminism,
1163,Haury,
1165,compte rendu,
1169,Béjaïa,x
1175,horizontal,
1179,erudit,x
1182,Marechal,
1188,Germinal,
1194,homolog,
1196,beau sabreur,x
1214,decapitate,
1218,avertissement,
1219,Cadillac,
1224,isolation,
1232,gourmandise,
1238,Vernet,
1241,grot,
1242,mamelière,x
1250,emollient,
1252,glacé,x
1253,département,x
1254,prospectus,
1259,passéist,x
1263,limitrophe,
1264,exergue,
1280,espagnolette,x
1296,fauvette,x
1304,mouton enragé,x
1305,Pelot,
1307,fadaise,x
1308,lieu,x
1315,Theberge,
1316,savoir-faire,x
1319,cambré,x
1323,amaranth,
1325,de Havilland,
1326,calembour,x
1330,greffier,
1336,Poincaré,x
1337,talisman,
1339,corticine,
1351,Piccard,x
1352,yé-yé,
1354,coquet,x
1356,flasque,
1357,Levallois,x
1360,Naples,x
1361,talapoin,
1371,bouleversement,
1376,anatase,
1381,ballottement,
1384,en garde,x
1387,foulage,
1391,macédoine,x
1395,bride,
1408,croisade,
1429,jujube,
1434,enmanché,
1435,piedouche,x
1467,paillard,x
1485,angelot,
1489,baldaquin,
1494,crème anglaise,x
1501,tourbillon,
1518,pourpointing,x
1525,berdache,
1535,bombe,
1537,blet,
1538,Montlhéry,
1543,coulis,x
1546,bras d'honneur,x
1549,saponule,
1551,Simoneau,
1566,trahison des clercs,x
1572,piloti,
1574,parquet,x
1590,saucisse,
1634,Mâcon,
1642,Dilly,
1658,Bois,
1668,tutoyer,
1669,Verne,
1679,cineast,
1682,Bouchard,
1685,attack,
1686,bijection,
1693,Sorel,
1702,amende honorable,x
1705,virion,
1708,remontant,
1712,bomb,
1718,Outaouais,
1719,charade,x
1739,faute de mieux,x
1754,integrable,
1757,bonbon,
1764,mal du siècle,x
1769,d'Amour,x
1777,lisse,
1779,dependant,
1782,barbet,
1795,sagacity,
1806,beau geste,x
1807,dortoir,x
1813,telecabin,
1825,lunule,x
1828,Monestime,
1846,tinamou,
1854,pourpointerie,x
1885,pyroxene,
1889,acetylene,
1906,Harle,
1925,Sabat,
1929,grogram,
1930,pochette,x
1932,architecture,
1935,chalumeau,x
1941,trahison,
1946,Guion,x
1954,Callovian,
1963,Auger,
1966,chronique scandaleuse,x
1982,Freemantle,
1989,ammunition,
1994,papillon,
1995,raconteuse,x
1998,parmesan,
2002,enfilade,x
