,Word,Is loan?
3,अंदर,
9,अगर,
28,अब्र,x
58,आफ़त,x
59,आफ़ताब,x
63,आबदस्त,x
76,आसान,
92,इफ़्तिताह,x
107,कद्दू,
125,क़ब्ज़ा,x
136,क़ानूनी,x
138,क़ाबिल,x
151,क़ैद,x
152,क़ैदख़ाना,x
154,कागद,x
190,ख़त,x
197,ख़मीर,x
203,ख़रीदना,x
217,ख़ानदान,x
221,ख़ामी,x
223,ख़ामोशी,x
266,गवाही,x
268,ग़ज़ब,x
277,ग़ुस्सा,
294,गुफ़्तगू,x
306,गुस्ताख़ी,x
308,गोर,
317,चरागाह,
321,चाय,
323,चायदान,
344,जनाज़ा,x
361,ज़ंजीर,x
363,ज़ख़ीरा,x
367,ज़बानी,x
368,ज़ब्त,x
374,ज़र,x
379,ज़र्द,x
389,ज़ार-ज़ार,x
390,ज़िंदगानी,x
397,ज़िम्मेदार,x
414,जायज़,x
422,जुदा,x
425,जुमा,x
431,तंगी,x
448,तपेदिक़,x
449,तबदील,x
468,तराशा,x
485,ताज,x
510,तोती,
516,दंगा,x
527,दरगाह,x
543,दर्रा,x
549,दहलीज़,x
559,दिक़्क़त,x
575,दुश्मनी,x
580,देह,
586,दौलतमंद,x
587,नक़ल,x
595,नजूमी,x
608,नवाज़,x
611,नसीहत,x
612,नस्तालीक़,x
627,नायाब,x
633,निवाला,x
653,परगना,x
663,परेशान,
666,पलीता,
672,पहलू,x
680,पीरू,x
684,पुल,
699,फ़तह,x
700,फ़रमान,x
703,फ़रिश्ता,x
717,फ़ारसी,x
719,फ़ाश,x
721,फ़िक्र,x
723,फ़िरंगी,x
724,फ़ीसद,x
726,फ़ेहरिस्त,x
727,फ़ैसला,x
744,बदतरीन,
751,बनाम,
755,बराबर,
782,बारीक,
799,बुत-ख़ाना,x
803,बुलबुल,x
815,बेरूख़ी,x
816,बेलचा,
828,मग़ज़,x
840,मददगार,x
850,मरीज़,x
853,मर्द,x
901,मुअल्लिमी,x
905,मुख़ालिफ़त,x
914,मुरदा,x
927,मुहाक़,x
945,मौला,x
968,रक़्स,x
983,रिआया,x
993,रुख़सार,x
1016,लब,x
1020,लाजवर्द,x
1032,वग़ैरह,x
1034,वतन,x
1075,शहीद,x
1076,शागिर्द,x
1087,शिकंजा,
1096,शीरी,
1097,शीशा,x
1112,संदल,x
1116,सख़्त,x
1122,सनसनीख़ेज़,x
1127,सब्ज़ी,
1133,सरदार,
1149,सही,
1160,सालाना,
1176,सीना,
1200,स्याही,x
1206,हज़ारहा,x
1209,हम,
1214,हयात,
1220,हलवा,
1236,हिलाल,
1243,हैरत,x
1244,हैरान,
