,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,label,label_bin,DNNlogits_modelpredicted,m-bert_cosim,xlm_cosim
0,0,0,2180,नौकर,ناهار,nɔːkər,nɒhɒr,Servant,Lunch,0.6666666666666666,0.2,0.0833333333333333,0.0833333333333333,1.3,0.0833333333333333,5,hard_negative,0,-6.632645,0.6511574387550354,0.6981165409088135
1,1,1,2185,प्रभाव,نتیجه,prəb̤aːv,ntjd͡ʒh,Effect,Result,1.0,1.0,0.3194444444444444,0.3680555555555556,4.083333333333333,0.3368055555555555,6,synonym,0,-12.517828,0.3888711333274841,0.7224069833755493
2,2,2,3050,माही,ماب,maːɦiː,mɒb,lover,map,0.8333333333333334,0.5,0.296875,0.3229166666666666,3.1875,0.3229166666666666,4,hard_negative,0,-4.8939857,0.6764014959335327,0.5346505045890808
3,3,3,818,बरामद,رهائی,bəraːməd,rhɒjʔj,found,رهائی,0.875,0.7142857142857143,0.3154761904761905,0.36904761904761896,4.607142857142857,0.3392857142857143,5,random,0,-4.171056,0.4783863127231598,0.6503657698631287
4,4,4,2571,बराबर,بارآور,bəraːbər,bɒrɒvr,Equal,Fertile,0.625,0.1428571428571428,0.1726190476190476,0.1904761904761904,1.5892857142857142,0.1875,6,hard_negative,0,-8.876501,0.47257345914840704,0.4479205310344696
5,5,5,6193,उत्सुकता,اشتیاق,utsuktaː,ɒʃtjɒɣ,Curiosity,Desire,1.0,0.4285714285714285,0.2916666666666666,0.3214285714285714,3.9821428571428568,0.30654761904761896,8,synonym,0,-4.396325,0.4668593108654022,0.7822526693344116
6,6,6,1179,शीशा,خاله,ʃiːʃaː,xɒlh,glass,Aunt,1.0,0.75,0.203125,0.21875,3.3125,0.203125,4,random,0,-5.1008973,0.6263769268989563,0.7755529880523682
7,7,7,2628,बाकिरा,بشکاری,baːkiraː,bʃkɒrj,bakira,Bashkari,0.625,0.3333333333333333,0.1215277777777777,0.1388888888888889,2.3541666666666665,0.1215277777777777,6,hard_negative,0,-8.134058,0.4981251358985901,0.7662726640701294
8,8,8,1538,तख़्ता,دهخدا,təxtaː,dhxdɒ,spline,دهخدا,0.8333333333333334,0.2,0.0833333333333333,0.0916666666666666,1.425,0.0833333333333333,6,hard_negative,0,-4.8585367,0.4579455852508545,0.7854487299919128
9,9,9,742,पेच,پیچ,pet͡ʃ,pjt͡ʃ,Screw,screw,0.2,0.3333333333333333,0.0416666666666666,0.0555555555555555,0.9583333333333334,0.0416666666666666,3,loan,1,0.69994986,0.6955648064613342,0.6478354930877686
10,10,10,1349,ज़ार-ज़ार,چاره‌ساز,zaːrə-zaːr,t͡ʃɒrh‌sɒz,tsar-tsar,Remedial,1.0,0.4285714285714285,0.119047619047619,0.1369047619047619,1.9821428571428568,0.119047619047619,9,hard_negative,0,-10.918442,0.4513790309429169,0.7015916109085083
11,11,11,1261,सिरका,سرکه,sirkaː,srkh,vinegar,Vinegar,0.5,0.4,0.2291666666666666,0.2583333333333333,2.575,0.25,5,loan,1,1.5054076,0.6071185469627379,0.641862690448761
12,12,12,261,झट से,عجولانه,d͡ʒ̤əʈə se,ʔd͡ʒvlɒnh,quickly,Hastily,0.8,0.7142857142857143,0.2678571428571428,0.2976190476190476,4.125,0.2827380952380952,7,synonym,0,-14.1238985,0.3186934590339661,0.5891396999359131
13,13,13,4258,हुज़ूर,نادار,ɦuzuːr,nɒdɒr,Sir,نادار,0.8333333333333334,0.2,0.1041666666666666,0.1083333333333333,1.425,0.1041666666666666,6,hard_negative,0,-13.547602,0.4212876260280609,0.6946033835411072
14,14,14,3741,शिद्दत,چیدمان,ʃiddət,t͡ʃjdmɒn,passion,Sort,0.75,0.6666666666666666,0.1006944444444444,0.1111111111111111,1.9166666666666667,0.1006944444444444,6,hard_negative,0,-5.9405823,0.5147274136543274,0.7752090096473694
15,15,15,2486,दोषपूर्ण,کوتاه,doʂpuːrɳə,kvtɒh,defective,Short,1.0,0.625,0.4375,0.4947916666666667,3.9375,0.484375,8,synonym,0,-9.101489,0.3313581645488739,0.3059118688106537
16,16,16,2324,चिड़चिड़ा,تحریک پذیر,t͡ʃiɽt͡ʃiɽaː,thrjk pzjr,Irritable,Irritable,0.9166666666666666,0.6666666666666666,0.3333333333333333,0.3888888888888889,4.388888888888889,0.3634259259259259,10,synonym,0,-20.02422,0.2674778699874878,0.4635126292705536
17,17,17,2119,खुलासा,فاش کردن,kʰulaːsaː,fɒʃ krdn,reveal,To reveal,1.0,0.7142857142857143,0.3214285714285714,0.36904761904761896,4.410714285714286,0.3363095238095238,8,synonym,0,-22.56614,0.3726110756397247,0.667080283164978
18,18,18,4490,हठी,تزلزل ناپذیر,ɦəʈʰiː,tzlzl nɒpzjr,stubborn,stable,1.0,0.7272727272727273,0.6249999999999999,0.6931818181818182,5.306818181818182,0.6875,12,synonym,0,-27.820335,0.404050886631012,0.7263063192367554
19,19,19,3414,रूमाल,پیام‌آور,ruːmaːl,pjɒm‌ɒvr,Handkerchief,Messenger,0.875,0.2857142857142857,0.3511904761904762,0.4047619047619047,3.375,0.3779761904761905,8,hard_negative,0,-13.526781,0.5118799209594727,0.7145871520042419
20,20,20,3355,राज़ी,راوی,raːziː,rɒvj,agree,The narrator,0.8333333333333334,0.5,0.09375,0.1145833333333333,1.40625,0.09375,5,hard_negative,0,0.22818714,0.5584937334060669,0.5726450085639954
21,21,21,907,सक्रिय,سخت کوش,səkrij,sxt kvʃ,Active,hardworker,0.8571428571428571,0.8333333333333334,0.2083333333333333,0.25,4.583333333333333,0.2083333333333333,7,synonym,0,-8.945135,0.5249676704406738,0.5472832918167114
22,22,22,987,अभिमान,تکبر,ab̤imaːn,tkbr,Pride,Arrogance,1.0,1.0,0.4201388888888889,0.4791666666666667,4.875,0.4548611111111111,6,synonym,0,-14.149509,0.5227696895599365,0.7556729316711426
23,23,23,4597,सजावटी,آراسته,səd͡ʒaːvʈiː,ɒrɒsth,decorative,Adorned,1.0,0.5714285714285714,0.2678571428571428,0.3035714285714285,3.196428571428572,0.2797619047619047,6,synonym,0,-6.8981495,0.473666250705719,0.7041892409324646
24,24,24,1725,तुग़लक़,تقلا,tuɣləq,tɣlɒ,Tughlaq,Scramble,0.5,0.3333333333333333,0.3194444444444445,0.3541666666666667,2.625,0.3541666666666667,7,hard_negative,0,-1.08915,0.5181576013565063,0.4555804431438446
25,25,25,2392,मूल्य कम करना,فاسد,muːljə kəmə kərnaː,fɒsd,To bring down the value,Corrupt,1.0,0.9285714285714286,0.6755952380952381,0.755952380952381,5.892857142857142,0.7544642857142857,13,synonym,0,-38.3925,0.2399508059024811,0.6014911532402039
26,26,26,5926,बदली का,ابستر,bədliː kaː,ɒbstr,Of clouds,ابستر,1.0,0.7142857142857143,0.3779761904761905,0.4345238095238096,4.035714285714286,0.4077380952380953,7,synonym,0,-15.293352,0.4062139093875885,0.5804452300071716
27,27,27,1536,तख़्ता,تاخت,təxtaː,tɒxt,spline,تاخت,0.5,0.2,0.2041666666666667,0.225,1.7,0.225,6,hard_negative,0,-6.597394,0.6104909181594849,0.6291794180870056
28,28,28,4725,कठिनाई,پازل,kəʈʰinaːiː,pɒzl,Difficulty,Puzzle,1.0,0.7142857142857143,0.4672619047619047,0.5119047619047619,4.142857142857143,0.5119047619047619,6,synonym,0,-16.80979,0.4011976420879364,0.574629008769989
29,29,29,1658,प्राप्त,تسخیر,praːptə,tsxjr,get,Conquest,1.0,1.0,0.3263888888888889,0.3888888888888888,4.583333333333333,0.34375,7,synonym,0,-13.447446,0.4088240563869476,0.6493696570396423
30,30,30,1871,दस्ता,دبستان,dəstaː,dbstɒn,Shaft,elementary School,0.5,0.3333333333333333,0.2222222222222222,0.2430555555555555,2.8541666666666665,0.2361111111111111,6,hard_negative,0,-6.5844913,0.5045796036720276,0.650149941444397
31,31,31,2332,पेश,باد,peʃ,bɒd,Present,Wind,1.0,0.0,0.1111111111111111,0.1111111111111111,1.25,0.1111111111111111,3,hard_negative,0,-7.7279177,0.5896535515785217,0.7687947154045105
32,32,32,205,आबदस्त,بدمست,aːbdəstə,bdmst,settled,Badass,0.5,0.4285714285714285,0.2976190476190476,0.3333333333333333,3.0535714285714284,0.3273809523809524,6,hard_negative,0,-9.677299,0.5175224542617798,0.6798630356788635
33,33,33,5101,बहुत खूब,پرتو افکن,bəɦutə kʰuːb,prtv ɒfkn,very nice,Radiation,0.8333333333333334,0.6666666666666666,0.2893518518518518,0.3333333333333333,4.194444444444445,0.3009259259259259,8,synonym,0,-18.655563,0.3043812215328217,0.590709924697876
34,34,34,2668,बारूत,باجرات,baːruːt,bɒd͡ʒrɒt,gunpowder,Bagrat,0.75,0.1666666666666666,0.2013888888888888,0.2152777777777778,1.7916666666666667,0.2152777777777778,6,hard_negative,0,-5.5239763,0.6041352152824402,0.6988164186477661
35,35,35,4983,सावधान,عاقل,saːvd̤aːn,ʔɒɣl,Attention,sane,1.0,0.8333333333333334,0.4201388888888889,0.4583333333333333,4.416666666666667,0.4513888888888888,6,synonym,0,-8.065602,0.6034762263298035,0.7755957841873169
36,36,36,4063,सुलह,تادیه,suləɦ,tɒdjh,reconciliation,Payment,1.0,0.4,0.0999999999999999,0.1083333333333333,1.925,0.0999999999999999,5,hard_negative,0,-11.877419,0.5642575621604919,0.8372437953948975
37,37,37,3188,संदेह करना,متزلزل شدن,səndeɦə kərnaː,mtzlzl ʃdn,doubt,To be shaken,0.8571428571428571,0.75,0.34375,0.3923611111111111,4.302083333333333,0.3697916666666667,10,synonym,0,-20.854952,0.5143669247627258,0.4813900291919708
38,38,38,4196,हादसा,خانه‌پا,ɦaːdsaː,xɒnh‌pɒ,accident,خانه‌پا,1.0,0.6666666666666666,0.2569444444444444,0.2777777777777777,3.020833333333333,0.2743055555555555,7,hard_negative,0,-6.4181300000000014,0.5371886491775513,0.7057448029518127
39,39,39,3956,सादा,سپردن,saːdaː,sprdn,plain,سپردن,0.6666666666666666,0.6,0.3125,0.3666666666666667,4.25,0.3333333333333333,5,hard_negative,0,-10.269276,0.4987930953502655,0.6051660180091858
40,40,40,1166,चेहरा,احیا,t͡ʃeɦraː,ɒhjɒ,face,Resuscitation,1.0,0.2,0.2875,0.325,2.925,0.3041666666666667,5,hard_negative,0,-10.036833,0.4256107807159424,0.4929331839084625
41,41,41,2343,दबाना,ناسزا,dəbaːnaː,nɒszɒ,Press,ناسزا,1.0,0.6666666666666666,0.2569444444444445,0.2777777777777777,3.0625,0.2743055555555555,5,synonym,0,-10.409334,0.5767291188240051,0.7549578547477722
42,42,42,869,ख़ूँख़ार,خودمختاری,xũːxaːr,xvdmxtɒrj,fierce,Autonomy,0.6666666666666666,0.5555555555555556,0.4560185185185184,0.5,4.208333333333333,0.4953703703703704,9,hard_negative,0,-14.426689,0.3525573015213013,0.6533284783363342
43,43,43,5767,चौंका देने वाला,کشنده,t͡ʃɔːŋkaː dene vaːlaː,kʃndh,shocking,Killer,0.9047619047619048,0.6923076923076923,0.592948717948718,0.6602564102564101,4.932692307692308,0.655448717948718,15,synonym,0,-16.486137,0.4982533752918243,0.6773815155029297
44,44,44,1248,सालाना,خرچ,saːlaːnaː,xrt͡ʃ,annually,Expenses,1.0,0.8333333333333334,0.5416666666666667,0.6111111111111109,4.895833333333333,0.59375,6,random,0,-11.422758,0.4031845629215241,0.5670056939125061
45,45,45,1326,हिकमत,حکمت,ɦikmət,hkmt,wisdom,Wisdom,0.5,0.3333333333333333,0.3055555555555556,0.3402777777777778,2.458333333333333,0.3402777777777778,5,loan,1,2.354906,0.5652137398719788,0.663362979888916
46,46,46,3798,संग,سرپیچی,səŋɡə,srpjt͡ʃj,With,Defiance,0.875,0.6666666666666666,0.2881944444444445,0.3333333333333333,3.8333333333333335,0.3055555555555556,6,hard_negative,0,-10.201886,0.4349370002746582,0.4479920268058777
47,47,47,573,दमिश्क़,نسل,dəmiʃqə,nsl,Damascus,Generation,1.0,0.8571428571428571,0.5744047619047621,0.6428571428571427,5.178571428571429,0.6339285714285713,7,random,0,-7.3879733,0.3351349532604217,0.5294365882873535
48,48,48,1147,शराब,بدر,ʃəraːb,bdr,alcohol,Badr,0.8333333333333334,0.8,0.4666666666666667,0.525,5.175,0.5083333333333333,4,random,0,-7.17939,0.5114055275917053,0.4737086892127991
49,49,49,3993,लापरवाह,سستی,laːprəvaːɦ,sstj,Careless,frailty,1.0,0.875,0.5104166666666666,0.578125,4.859375,0.5703124999999999,7,synonym,0,-10.428307,0.5248811244964601,0.7409111857414246
50,50,50,2214,अर्थ,خرده پا,artʰə,xrdh pɒ,Meaning,Crumb,0.8571428571428571,0.5,0.3888888888888889,0.4305555555555555,4.0625,0.4236111111111111,7,synonym,0,-14.552595000000002,0.3036342263221741,0.4781809449195862
51,51,51,2719,अभिमानी,مجلل,ab̤imaːniː,md͡ʒll,Arrogant,Luxurious,0.9,0.8571428571428571,0.5029761904761905,0.5595238095238095,5.160714285714286,0.5476190476190477,7,synonym,0,-11.828763,0.5042541027069092,0.6626986265182495
52,52,52,355,चरख़ा,تندرست,t͡ʃərxaː,tndrst,spinning wheel,تندرست,0.75,0.8333333333333334,0.3229166666666666,0.3611111111111111,4.479166666666667,0.3368055555555556,6,random,0,-12.736292,0.34664762020111084,0.6433458924293518
53,53,53,648,नज़रिया,نظریه,nəzrijaː,nzrjh,point of view,Theory,0.5,0.4285714285714285,0.2857142857142857,0.3214285714285714,2.8035714285714284,0.3154761904761904,7,loan,1,3.5327716,0.33242112398147583,0.547500491142273
54,54,54,5802,अस्थिर,موقت,astʰir,mvɣt,Unstable,Temporary,1.0,1.0,0.3583333333333333,0.4166666666666666,4.7,0.375,6,synonym,0,-12.896472,0.5994055867195129,0.62578284740448
55,55,55,499,तबाही,تباهی,təbaːɦiː,tbɒhj,Destruction,Destruction,0.75,0.3333333333333333,0.1979166666666667,0.2222222222222222,1.9791666666666667,0.2152777777777778,5,loan,1,3.5993223,0.5896576046943665,0.5599122643470764
56,56,56,50,छोड़ना,رد کردن,t͡ʃʰoɽnaː,rd krdn,Relieve,reject,0.8888888888888888,0.8333333333333334,0.3090277777777778,0.3541666666666667,4.6875,0.3368055555555555,7,synonym,0,-15.188951500000002,0.6222620606422424,0.46228188276290894
57,57,57,3290,यूनान,مامان,juːnaːn,mɒmɒn,Greece,mom,0.8571428571428571,0.4,0.1291666666666666,0.1333333333333333,1.925,0.1291666666666666,5,hard_negative,0,-12.254775,0.43565014004707336,0.7544850707054138
58,58,58,210,कीमिया,کیمیا,kiːmijaː,kjmjɒ,alchemy,Alchemy,0.625,0.3333333333333333,0.1909722222222222,0.2152777777777778,1.9375,0.2083333333333333,6,loan,1,1.4374806,0.3911580443382263,0.6610273718833923
59,59,59,5794,क्षणिक,انی,kʂəɳik,ɒnj,momentary,انی,1.0,0.6666666666666666,0.4965277777777778,0.5555555555555556,4.333333333333333,0.545138888888889,6,synonym,0,-8.928219,0.4765904843807221,0.24850212037563324
60,60,60,1288,अभिमानी,با شکوه,ab̤imaːniː,bɒ ʃkvh,Arrogant,glorious,0.9,0.7142857142857143,0.3333333333333333,0.36904761904761896,4.982142857142857,0.3482142857142857,7,synonym,0,-16.222025,0.439265251159668,0.6599650979042053
61,61,61,2431,फ़ायदा,فایده,faːjdaː,fɒjdh,advantage,Faydeh,0.5714285714285714,0.2,0.075,0.0833333333333333,1.425,0.075,6,hard_negative,0,2.3297868,0.6071261763572693,0.632247805595398
62,62,62,5996,प्रधानता,دستاورد,prəd̤aːntaː,dstɒvrd,primacy,Achievement,0.9090909090909092,0.75,0.2786458333333333,0.3281249999999999,3.890625,0.2916666666666666,8,synonym,0,-11.32856,0.5036966800689697,0.7963734865188599
63,63,63,1940,दिलरुबा,بی‌محابا,dilrubaː,bj‌mhɒbɒ,Dilruba,بی‌محابا,1.0,0.4285714285714285,0.1279761904761904,0.1547619047619047,1.7142857142857142,0.1279761904761904,8,hard_negative,0,-9.8941765,0.3387456238269806,0.7490934729576111
64,64,64,79,आशिक़ी,عاشقی,aːʃiqiː,ʔɒʃɣj,Aashiqui,being in love,0.8571428571428571,0.6,0.25,0.2916666666666666,4.125,0.25,6,loan,1,-2.9023948,0.4694589078426361,0.7334083914756775
65,65,65,5445,स्वार्थी,پایه,svaːrtʰiː,pɒjh,Selfish,the base,1.0,0.5,0.4166666666666667,0.4722222222222221,4.3125,0.4479166666666667,8,synonym,0,-12.572065,0.4424430131912232,0.7300883531570435
66,66,66,3337,छल से,کج,t͡ʃʰələ se,kd͡ʒ,Deceitfully,کج,1.0,0.8333333333333334,0.6736111111111112,0.7430555555555557,5.645833333333332,0.7395833333333334,5,synonym,0,-7.9381967000000015,0.4498336017131805,0.6920497417449951
67,67,67,149,स्पष्टवादी,صادقانه,spəʂʈəvaːdiː,sɒdɣɒnh,candid,Honestly,0.9166666666666666,0.6,0.35625,0.3916666666666667,3.55,0.3854166666666667,10,synonym,0,-15.262821,0.4750999808311462,0.7275199890136719
68,68,68,661,किशवर,پرشور,kiʃvər,prʃvr,Kishwar,پرشور,0.5,0.5,0.2222222222222222,0.2638888888888889,2.5416666666666665,0.2395833333333333,5,hard_negative,0,-7.8778505,0.5128335356712341,0.6928373575210571
69,69,69,216,अचानक,بی ادب,at͡ʃaːnək,bj ɒdb,Suddenly,impolite,1.0,0.8333333333333334,0.3194444444444445,0.3472222222222222,4.791666666666667,0.3368055555555556,6,synonym,0,-12.570711,0.4040564596652985,0.6253941059112549
70,70,70,2418,द्रऋह,تقلبی,drər̩ɦ,tɣlbj,fluid,fake,1.0,0.6,0.1875,0.2416666666666666,4.0,0.1875,5,synonym,0,-9.877768,0.4218030869960785,0.7150486707687378
71,71,71,835,बाकिरा,باکره,baːkiraː,bɒkrh,bakira,Virgin,0.625,0.3333333333333333,0.2118055555555555,0.2361111111111111,2.395833333333333,0.2291666666666666,6,loan,1,5.412903,0.7221093773841858,0.7318698763847351
72,72,72,3200,मेहनत,ممانعت,meɦnət,mmɒnʔt,Hard work,ممانعت,0.5,0.5,0.125,0.1458333333333333,2.770833333333333,0.125,6,hard_negative,0,-5.859744,0.5345818996429443,0.7071526050567627
73,73,73,3340,रसीद,حاجات,rəsiːd,hɒd͡ʒɒt,Receipt,needs,1.0,0.2,0.1625,0.1833333333333333,1.775,0.1625,5,hard_negative,0,-13.742268,0.4618574976921082,0.7142904996871948
74,74,74,1299,ज़रा,چارپا,zəraː,t͡ʃɒrpɒ,please,چارپا,0.8571428571428571,0.4,0.2708333333333333,0.2916666666666667,2.5,0.2916666666666667,5,hard_negative,0,-14.111598999999998,0.4574574530124664,0.6341171264648438
75,75,75,705,ख़त,خفت,xət,xft,letter,faint,0.3333333333333333,0.3333333333333333,0.1041666666666666,0.125,2.583333333333333,0.1041666666666666,3,hard_negative,0,0.6085381999999999,0.5686069130897522,0.7241854667663574
76,76,76,1254,ज़ंजीर,تانکر,zəɲd͡ʒiːr,tɒnkr,chain,Tanker,0.8888888888888888,0.1666666666666666,0.2465277777777777,0.2708333333333333,2.2916666666666665,0.2638888888888889,6,hard_negative,0,-7.433445,0.4765826463699341,0.6639320850372314
77,77,77,3899,सर्द,چاپ زدن,sərdə,t͡ʃɒp zdn,cold,Print,0.8888888888888888,0.6666666666666666,0.2708333333333333,0.3124999999999999,3.458333333333333,0.2881944444444444,7,hard_negative,0,-15.190931,0.2967194616794586,0.6470392346382141
78,78,78,743,सहमत,مهربون,səɦmət,mhrbvn,Agree,kind,1.0,0.8333333333333334,0.1909722222222222,0.2291666666666667,4.145833333333333,0.1909722222222222,6,synonym,0,-12.195783,0.5527757406234741,0.6969161033630371
79,79,79,4847,फ़िजूल ख़र्च,خرج کردن,fid͡ʒuːlə xərt͡ʃə,xrd͡ʒ krdn,wasteful expenditure,spend,0.7058823529411765,0.6363636363636364,0.4166666666666667,0.4734848484848484,4.238636363636363,0.4526515151515152,11,synonym,0,-17.756138,0.38319039344787603,0.33767086267471313
