,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,label,label_bin,DNNlogits_modelpredicted,m-bert_cosim,xlm_cosim
0,0,0,5990,उपलब्धि,تسخیر,upləbd̤i,tsxjr,Availability,Conquest,1.0,1.0,0.3898809523809524,0.4404761904761905,4.928571428571429,0.4196428571428571,7,synonym,0,-15.812695,0.4281376898288727,0.6891248822212219
1,1,1,1200,कृतज्ञता,لطف,kr̩td͡ʒɲətaː,ltf,Thankfulness,favor,0.9166666666666666,0.875,0.6041666666666666,0.6822916666666666,5.25,0.6666666666666667,8,synonym,0,-12.346361,0.4904924631118774,0.6748810410499573
2,2,2,159,क़ब्ज़ा,قبضه,qəbzaː,ɣbzh,Possession,Capture,0.6666666666666666,0.4,0.2541666666666667,0.2833333333333333,2.925,0.275,7,loan,1,2.2077951,0.5218505263328552,0.6794958710670471
3,3,3,1623,को जब्त,دستگیر کردن,ko d͡ʒəbtə,dstɡjr krdn,Seize,arrest,1.0,0.8,0.4041666666666667,0.4666666666666667,4.675,0.4416666666666667,10,synonym,0,-21.280628,0.3749362826347351,0.5181617736816406
4,4,4,5474,लालची,منظور داشتن,laːlt͡ʃiː,mnzvr dɒʃtn,Greedy,MEan,0.9090909090909092,0.8,0.5375,0.5958333333333334,5.15,0.5895833333333333,11,synonym,0,-24.119926,0.30444738268852234,0.5646665096282959
5,5,5,34,अरमान,ارمان,armaːn,ɒrmɒn,desires,Goals,0.5,0.0,0.0416666666666666,0.0416666666666666,0.5,0.0416666666666666,5,loan,1,-0.9403553,0.6094462871551514,0.6199432015419006
6,6,6,648,नज़रिया,نظریه,nəzrijaː,nzrjh,point of view,Theory,0.5,0.4285714285714285,0.2857142857142857,0.3214285714285714,2.8035714285714284,0.3154761904761904,7,loan,1,3.5327716,0.3324409127235413,0.547500491142273
7,7,7,5007,चौकस,گویا,t͡ʃɔːkəs,ɡvjɒ,attentive,perhaps,1.0,0.6,0.3666666666666667,0.4,5.025,0.3833333333333333,4,synonym,0,-5.3155584000000005,0.5027265548706055,0.4813164174556732
8,8,8,2565,दूषित,تنزل دادن,duːʂit,tnzl dɒdn,contaminated,Degrade,1.0,0.5,0.4453124999999999,0.4843749999999999,4.25,0.4765624999999999,9,synonym,0,-21.398972,0.4613617062568665,0.7721594572067261
9,9,9,137,ओहदा,جلد,oɦdaː,d͡ʒld,position,Cover,1.0,0.5,0.359375,0.40625,4.59375,0.3854166666666666,4,random,0,-10.395201,0.3367135524749756,0.7049029469490051
10,10,10,850,बालिश,ورنه,baːliʃ,vrnh,Childish,ورنه,1.0,0.6,0.3,0.3583333333333333,3.9,0.3208333333333333,5,random,0,-6.838999,0.5758644342422485,0.4352276623249054
11,11,11,82,आसान,آسان,aːsaːn,ɒsɒn,easy,Easy,0.6666666666666666,0.0,0.0625,0.0625,0.75,0.0625,4,loan,1,-2.363207,0.6206756234169006,0.5956552028656006
12,12,12,2606,कष्ट,افسردگی,kəʂʈə,ɒfsrdɡj,Suffering,Depression,1.0,0.7142857142857143,0.3869047619047618,0.4464285714285715,4.375,0.4255952380952381,7,synonym,0,-19.618027,0.4252713620662689,0.5757519602775574
13,13,13,112,इसरार,اصرار,israːr,ɒsrɒr,israr,Insistence,0.5,0.0,0.0583333333333333,0.0583333333333333,0.7,0.0583333333333333,5,loan,1,-1.4353063999999998,0.4450173079967499,0.6348285675048828
14,14,14,3473,अंधकार,ابهام,nd̤əkaːr,ɒbhɒm,Darkness,ابهام,1.0,0.8333333333333334,0.3333333333333333,0.3819444444444445,4.291666666666667,0.3506944444444444,6,synonym,0,-10.186892,0.5149352550506592,0.5987659096717834
15,15,15,2386,फ़रिश्ता,به‌راستی,fəriʃtaː,bh‌rɒstj,angel,Truly,0.875,0.2857142857142857,0.1101190476190476,0.125,1.875,0.1101190476190476,8,hard_negative,0,-15.258971,0.4125429093837738,0.6321489810943604
16,16,16,3501,लाला,چهارپا,laːlaː,t͡ʃhɒrpɒ,Lala,Quadruped,1.0,0.3333333333333333,0.3958333333333333,0.4444444444444444,3.4791666666666665,0.4270833333333333,6,hard_negative,0,-9.0179825,0.3842350542545319,0.618318498134613
17,17,17,1654,तश्तरी,چتری,təʃtəriː,t͡ʃtrj,saucer,Umbrella,0.5,0.7142857142857143,0.4166666666666666,0.4642857142857143,3.696428571428572,0.4583333333333333,6,hard_negative,0,-7.1611238,0.5995008945465088,0.604276716709137
18,18,18,356,चरबी,چربی,t͡ʃərbiː,t͡ʃrbj,Fat,Fat,0.375,0.4,0.2041666666666667,0.2333333333333333,2.025,0.225,4,loan,1,3.6498299,0.635197639465332,0.8001712560653687
19,19,19,663,नवाज़,نواز,nəvaːz,nvɒz,Nawaz,Nawaz,0.5,0.2,0.2041666666666667,0.225,1.75,0.225,5,loan,1,6.4455833,0.5557796359062195,0.4679437279701233
20,20,20,571,चौंका देने वाला,ترسناک,t͡ʃɔːŋkaː dene vaːlaː,trsnɒk,shocking,Scary,0.9047619047619048,0.7692307692307693,0.5512820512820512,0.6153846153846154,4.75,0.6057692307692307,15,synonym,0,-20.574879,0.4298852980136871,0.6150292754173279
21,21,21,1787,सेंसरशिप,سانسور,sensrəʃip,sɒnsvr,censorship,Censorship,0.6666666666666666,0.5555555555555556,0.3587962962962963,0.4212962962962963,3.4027777777777777,0.40046296296296297,8,synonym,0,-5.361926,0.5388419628143309,0.6576258540153503
22,22,22,1509,निर्दयी,سخت است,nirdəjiː,sxt ɒst,Ruthless,it's difficult,1.0,0.7142857142857143,0.2976190476190476,0.3392857142857143,4.571428571428571,0.3214285714285714,7,synonym,0,-13.66469,0.3829245567321777,0.38597702980041504
23,23,23,1809,अव्यवस्था,درهم ریخته,avjəvstʰaː,drhm rjxth,Disorder,Cluttered,1.0,0.7777777777777778,0.2800925925925925,0.3333333333333332,4.583333333333333,0.2962962962962963,10,synonym,0,-17.83036,0.2886973321437836,0.6017947196960449
24,24,24,87,आत्मसमर्पण,تسلیم شدن,aːtməsmərpəɳ,tsljm ʃdn,surrender,Surrender,0.8333333333333334,0.7272727272727273,0.356060606060606,0.4090909090909091,3.9659090909090913,0.3844696969696969,10,synonym,0,-19.971584,0.3908498287200928,0.15730160474777222
25,25,25,800,बख़्शिश,پناهگاه,bəxʃiʃ,pnɒhɡɒh,Bakshish,Shelter,1.0,0.5714285714285714,0.24404761904761896,0.2619047619047619,2.75,0.255952380952381,7,random,0,-13.476166,0.354448527097702,0.7647252678871155
26,26,26,226,ख़तना,ختنه,xətnaː,xtnh,circumcision,Circumcision,0.5,0.4,0.2291666666666666,0.2583333333333333,2.575,0.25,5,loan,1,2.3787717999999995,0.556224524974823,0.6713548898696899
27,27,27,5022,सतर्क,مراقب باشید,sətrkə,mrɒɣb bɒʃjd,alert,be careful,1.0,0.8,0.4666666666666667,0.5333333333333333,4.55,0.5062500000000001,11,synonym,0,-23.708145,0.5510544180870056,0.5758631229400635
28,28,28,2188,नौकरी,ظاهری,nɔːkriː,zɒhrj,job,Appearance,0.8571428571428571,0.6,0.1083333333333333,0.1166666666666666,2.325,0.1083333333333333,5,hard_negative,0,-7.380679,0.4288415312767029,0.7900328040122986
29,29,29,668,नस्ल,نسل,nəslə,nsl,breed,Generation,0.4,0.4,0.3583333333333333,0.4,2.9,0.4,4,loan,1,4.876793,0.426222026348114,0.5761774778366089
30,30,30,1227,सलीक़ा,سلیقه,səliːqaː,sljɣh,sliqa,سلیقه,0.75,0.5,0.2326388888888889,0.2638888888888889,2.9166666666666665,0.25,6,loan,1,2.8937025000000003,0.5037811398506165,0.6823106408119202
31,31,31,374,चूज़ा,نقلی,t͡ʃuːzaː,nɣlj,chick,Transport,1.0,1.0,0.2083333333333333,0.2291666666666666,4.5625,0.2083333333333333,5,random,0,-7.023439,0.3353061378002167,0.6499418616294861
32,32,32,2826,शिक्षित,با سواد,ʃikʂit,bɒ svɒd,Educated,Literate,1.0,0.5,0.1736111111111111,0.1875,2.0416666666666665,0.1736111111111111,7,synonym,0,-14.268272,0.4330600500106812,0.4637991786003113
33,33,33,210,कीमिया,کیمیا,kiːmijaː,kjmjɒ,alchemy,Alchemy,0.625,0.3333333333333333,0.1909722222222222,0.2152777777777778,1.9375,0.2083333333333333,6,loan,1,1.4374806,0.3911554217338562,0.6610273718833923
34,34,34,1125,वाक़ई,واقعی,vaːqəi,vɒɣʔj,really,Real,0.8333333333333334,0.4,0.1166666666666666,0.1333333333333333,2.0,0.1166666666666666,5,loan,1,-0.16592729,0.387174129486084,0.6964268088340759
35,35,35,2364,स्क्रॉल,افسرده,skrɔl,ɒfsrdh,scroll,Depressed,0.8333333333333334,0.6666666666666666,0.2986111111111111,0.3402777777777778,3.75,0.3159722222222222,7,synonym,0,-9.994096,0.426721453666687,0.6318108439445496
36,36,36,5528,महान,درخشنده,məɦaːn,drxʃndh,great,Brilliant,1.0,0.8571428571428571,0.3928571428571428,0.4523809523809524,5.089285714285714,0.4255952380952381,7,synonym,0,-18.839172,0.5373915433883667,0.38933536410331726
37,37,37,2285,पापा,چاپچی,paːpaː,t͡ʃɒpt͡ʃj,Father,چاپچی,0.8888888888888888,0.6,0.2875,0.3166666666666667,2.95,0.3041666666666666,5,hard_negative,0,-6.863402400000001,0.4694134593009949,0.7945868968963623
38,38,38,5463,अनैतिक,تحقیر شده,anæːtik,thɣjr ʃdh,immoral,Humiliated,1.0,0.875,0.3854166666666666,0.4374999999999999,5.421875,0.4166666666666666,9,synonym,0,-23.095287,0.2738008201122284,0.5661430954933167
39,39,39,4294,अद्भुत,شیطان,adb̤ut,ʃjtɒn,Wonderful,Satan,1.0,0.8,0.2041666666666666,0.225,4.05,0.2041666666666666,6,synonym,0,-11.494276,0.3932497799396515,0.7327878475189209
40,40,40,4226,रद्दी माल,چیز جزیی,rəddiː maːl,t͡ʃjz d͡ʒzjj,scrap,A small thing,1.0,0.75,0.2734375,0.3125,3.8125,0.2864583333333333,9,synonym,0,-13.827288,0.1561371386051178,0.27220597863197327
41,41,41,281,हेस्टी,مختصر,ɦesʈiː,mxtsr,Hasty,Summary,1.0,0.6,0.1791666666666666,0.2166666666666666,3.825,0.1791666666666666,6,synonym,0,-11.557762,0.31118473410606384,0.5253814458847046
42,42,42,1186,शेख़ी,مرگ,ʃexiː,mrɡ,rant,Death,1.0,0.75,0.390625,0.4583333333333333,4.96875,0.4166666666666666,5,random,0,-10.771993,0.38605570793151855,0.6759822964668274
43,43,43,1289,हंगामा,عرق,ɦəŋɡaːmaː,ʔrɣ,Ruckus,Sweat,1.0,0.7142857142857143,0.5803571428571429,0.6547619047619049,5.303571428571429,0.6398809523809524,6,random,0,-5.308481,0.5058477520942688,0.43177536129951477
44,44,44,978,मुक़दमा,مقدمه,muqdəmaː,mɣdmh,trial,Introduction,0.625,0.4285714285714285,0.3095238095238096,0.3452380952380952,3.125,0.3392857142857143,7,loan,1,2.153833,0.494555652141571,0.6329503059387207
45,45,45,1029,यमन,جاری,jəmən,d͡ʒɒrj,Yemen,Current,1.0,0.8,0.35,0.4,4.425,0.3666666666666666,4,random,0,-11.483643,0.4504972100257874,0.7013331055641174
46,46,46,295,गज़,گز,ɡəz,ɡz,Gaz,گز,0.3333333333333333,0.3333333333333333,0.2986111111111111,0.3333333333333333,2.4166666666666665,0.3333333333333333,3,loan,1,4.2140830000000005,0.6889428496360779,0.3581027686595917
47,47,47,2605,कष्ट,دلسردی,kəʂʈə,dlsrdj,Suffering,Discouragement,1.0,0.6666666666666666,0.2708333333333333,0.3194444444444444,3.375,0.2986111111111111,6,synonym,0,-17.585835999999997,0.3572224974632263,0.656270444393158
