,Unnamed: 0,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,label,label_bin,DNNlogits_modelpredicted
0,5990,उपलब्धि,تسخیر,upləbd̤i,tsxjr,Availability,Conquest,1.0,1.0,0.3898809523809524,0.4404761904761905,4.928571428571429,0.4196428571428571,7,synonym,0,-15.812695
1,1200,कृतज्ञता,لطف,kr̩td͡ʒɲətaː,ltf,Thankfulness,favor,0.9166666666666666,0.875,0.6041666666666666,0.6822916666666666,5.25,0.6666666666666667,8,synonym,0,-12.346361
2,159,क़ब्ज़ा,قبضه,qəbzaː,ɣbzh,Possession,Capture,0.6666666666666666,0.4,0.2541666666666667,0.2833333333333333,2.925,0.275,7,loan,1,2.2077951
3,1623,को जब्त,دستگیر کردن,ko d͡ʒəbtə,dstɡjr krdn,Seize,arrest,1.0,0.8,0.4041666666666667,0.4666666666666667,4.675,0.4416666666666667,10,synonym,0,-21.280628
4,5474,लालची,منظور داشتن,laːlt͡ʃiː,mnzvr dɒʃtn,Greedy,MEan,0.9090909090909092,0.8,0.5375,0.5958333333333334,5.15,0.5895833333333333,11,synonym,0,-24.119926
5,34,अरमान,ارمان,armaːn,ɒrmɒn,desires,Goals,0.5,0.0,0.0416666666666666,0.0416666666666666,0.5,0.0416666666666666,5,loan,1,-0.9403553
6,648,नज़रिया,نظریه,nəzrijaː,nzrjh,point of view,Theory,0.5,0.4285714285714285,0.2857142857142857,0.3214285714285714,2.8035714285714284,0.3154761904761904,7,loan,1,3.5327716
7,5007,चौकस,گویا,t͡ʃɔːkəs,ɡvjɒ,attentive,perhaps,1.0,0.6,0.3666666666666667,0.4,5.025,0.3833333333333333,4,synonym,0,-5.3155584
8,2565,दूषित,تنزل دادن,duːʂit,tnzl dɒdn,contaminated,Degrade,1.0,0.5,0.4453124999999999,0.4843749999999999,4.25,0.4765624999999999,9,synonym,0,-21.398972
9,137,ओहदा,جلد,oɦdaː,d͡ʒld,position,Cover,1.0,0.5,0.359375,0.40625,4.59375,0.3854166666666666,4,random,0,-10.395201
10,850,बालिश,ورنه,baːliʃ,vrnh,Childish,ورنه,1.0,0.6,0.3,0.3583333333333333,3.9,0.3208333333333333,5,random,0,-6.838999
11,82,आसान,آسان,aːsaːn,ɒsɒn,easy,Easy,0.6666666666666666,0.0,0.0625,0.0625,0.75,0.0625,4,loan,1,-2.363207
12,2606,कष्ट,افسردگی,kəʂʈə,ɒfsrdɡj,Suffering,Depression,1.0,0.7142857142857143,0.3869047619047618,0.4464285714285715,4.375,0.4255952380952381,7,synonym,0,-19.618027
13,112,इसरार,اصرار,israːr,ɒsrɒr,israr,Insistence,0.5,0.0,0.0583333333333333,0.0583333333333333,0.7,0.0583333333333333,5,loan,1,-1.4353064
14,3473,अंधकार,ابهام,nd̤əkaːr,ɒbhɒm,Darkness,ابهام,1.0,0.8333333333333334,0.3333333333333333,0.3819444444444445,4.291666666666667,0.3506944444444444,6,synonym,0,-10.186892
15,2386,फ़रिश्ता,به‌راستی,fəriʃtaː,bh‌rɒstj,angel,Truly,0.875,0.2857142857142857,0.1101190476190476,0.125,1.875,0.1101190476190476,8,hard_negative,0,-15.258971
