,Unnamed: 0,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,label,label_bin,DNNlogits_modelpredicted
0,931,मशग़ूल,مشغول,məʃɣuːl,mʃɣvl,busy,Busy,0.4285714285714285,0.3333333333333333,0.2083333333333333,0.2361111111111111,2.625,0.2256944444444444,6,loan,1,4.2387795
1,542,तालाब,تالاب,taːlaːb,tɒlɒb,Pond,Wetlands,0.5714285714285714,0.0,0.05,0.05,0.6,0.05,5,loan,1,2.6401992
2,1195,संगमरमर,سنگ مرمر,səŋɡmərmər,sŋ mrmr,marble,Marble,0.4,0.4,0.3583333333333333,0.4,2.9,0.4,8,loan,1,5.2660003
3,1288,स्याही,سیاهی,sjaːɦiː,sjɒhj,Ink,Black,0.7142857142857143,0.2,0.0583333333333333,0.0666666666666666,0.925,0.0583333333333333,6,loan,1,1.4580574
4,141,कबाबचीनी,کبابه چینی,kəbaːbt͡ʃiːniː,kbɒbh t͡ʃjnj,Kebabchini,Chinese kebab,0.6428571428571429,0.4444444444444444,0.162037037037037,0.1851851851851852,2.4166666666666665,0.162037037037037,10,loan,1,5.8724422
5,2173,नेकी,ناکس,nekiː,nɒks,virtuous,Knox,0.6,0.25,0.1197916666666666,0.1354166666666666,2.4375,0.1197916666666666,4,hard_negative,0,-5.3086796
6,792,बंदर,بندر,bəndər,bndr,Monkey,Port,0.3333333333333333,0.3333333333333333,0.2986111111111111,0.3333333333333333,2.4166666666666665,0.3333333333333333,4,loan,1,5.0570645
7,2312,पुख़्ता,باخته,puxtaː,bɒxth,solid,Lost,0.6666666666666666,0.2,0.0833333333333333,0.0916666666666666,1.475,0.0833333333333333,7,hard_negative,0,-6.9017267
8,480,तंदूर,گروه,tənduːr,ɡrvh,tandoor,group,1.0,0.8333333333333334,0.4305555555555556,0.5069444444444444,4.0,0.4652777777777777,5,random,0,-4.749422
9,1765,सज़ा देना,سرزنش کردن,səzaː denaː,srznʃ krdn,to punish,Blame,0.7272727272727273,0.6666666666666666,0.2662037037037036,0.3194444444444444,4.305555555555555,0.2777777777777778,9,synonym,0,-9.063304
10,5117,बीम करने,Refulgent,biːmə kərne,refulgent,to beam,Refulgent,0.9090909090909092,0.5555555555555556,0.2546296296296296,0.2962962962962963,3.430555555555556,0.2708333333333333,9,synonym,0,-12.393222
11,2904,मरहूम,اعلام,mərɦuːm,ɒʔlɒm,dead,to announce,0.8571428571428571,0.1666666666666666,0.28125,0.3194444444444445,2.958333333333333,0.2986111111111111,5,hard_negative,0,-11.96415
12,496,तपेदिक़,تپ دیق,təpediq,tp djɣ,consumptive,تپ دیق,0.5714285714285714,0.4285714285714285,0.2857142857142857,0.3214285714285714,2.6607142857142856,0.3154761904761905,7,loan,1,4.238633
13,511,तरफ़दार,شکست,tərfədaːr,ʃkst,sided,Failure,1.0,0.75,0.5052083333333334,0.5833333333333333,4.703125,0.5729166666666667,7,random,0,-8.823184
14,950,मादर,مادر,maːdər,mɒdr,mother,Mother,0.5,0.2,0.2041666666666667,0.225,1.75,0.225,4,loan,1,5.41053
15,833,बा-,با,baː-,bɒ,Ba-,With,0.75,0.0,0.0625,0.0625,0.75,0.0625,3,loan,1,4.111349
16,897,मजनू,شال,məd͡ʒnuː,ʃɒl,Majnu,Shawl,1.0,0.8,0.475,0.5166666666666666,4.625,0.5125,4,random,0,-12.851978
17,3,अंदर,اندر,ndər,ɒndr,Inside,Inside out,0.5,0.5,0.1979166666666666,0.2291666666666666,3.625,0.1979166666666666,4,loan,1,2.610424
18,16,अज़ीज़,عزیز,aziːz,ʔzjz,Aziz,Dear,0.6,0.5,0.09375,0.1145833333333333,1.8125,0.09375,6,loan,1,2.9148798
19,243,ख़सरा,خسره,xəsraː,xsrh,measles,lost it,0.5,0.4,0.2291666666666666,0.2583333333333333,2.575,0.25,5,loan,1,1.9703674
20,1248,ज़ंग,زرگر,zəŋɡə,zrɡr,rust,زرگر,0.6,0.6,0.2875,0.3583333333333333,3.375,0.3083333333333333,4,hard_negative,0,-5.580351
21,1270,सुराख़,سوراخ,suraːx,svrɒx,eyelet,Hole,0.5,0.2,0.0875,0.1,1.9,0.0875,6,loan,1,3.422668
22,683,नायाब,نایاب,naːjaːb,nɒjɒb,unsurpassed,Rare,0.5714285714285714,0.0,0.05,0.05,0.6,0.05,5,loan,1,3.340695
23,1173,शिकार,شکار,ʃikaːr,ʃkɒr,Hunt,Hunt,0.5,0.2,0.2041666666666667,0.225,1.75,0.225,5,loan,1,5.894253
24,346,गुस्ताख़,گستاخ,ɡustaːx,ɡstɒx,impudent,rude,0.4285714285714285,0.1666666666666666,0.1701388888888889,0.1875,1.4583333333333333,0.1875,8,loan,1,5.9547844
25,321,गिरफ़्तार,گرفتار,ɡirftaːr,ɡrftɒr,arrested,Caught,0.375,0.1428571428571428,0.1458333333333333,0.1607142857142857,1.25,0.1607142857142857,9,loan,1,4.690382
26,964,माही,ماهی,maːɦiː,mɒhj,lover,Fish,0.8333333333333334,0.25,0.0729166666666666,0.0833333333333333,1.15625,0.0729166666666666,4,loan,1,3.9065049
27,61,आदमी,آدمی,aːdmiː,ɒdmj,man,Human,0.6666666666666666,0.25,0.0625,0.0729166666666666,1.09375,0.0625,4,loan,1,1.5794493
28,319,ग़ोता,غوطه,ɣotaː,ɣvth,dive,Immersion,0.6,0.5,0.140625,0.1666666666666666,3.40625,0.140625,5,loan,1,2.513333
29,605,मिश्रण,مخلوط کنید,miʃrəɳ,mxlvt knjd,mix,mix,0.9,0.7777777777777778,0.3981481481481481,0.4490740740740741,4.277777777777778,0.4282407407407407,10,synonym,0,-20.23542
30,1204,सदी,سده,sədiː,sdh,century,سده,0.6,0.5,0.2864583333333333,0.3229166666666667,3.21875,0.3125,3,loan,1,3.4190302
31,572,दम,دم,dəm,dm,power,دم,0.3333333333333333,0.3333333333333333,0.2986111111111111,0.3333333333333333,2.4166666666666665,0.3333333333333333,2,loan,1,4.7222557
32,612,दिक़्क़त,شهری,diqqət,ʃhrj,trouble,Urban,1.0,0.8333333333333334,0.4305555555555556,0.4861111111111111,4.791666666666667,0.4618055555555556,8,random,0,-4.9361553
33,1329,हिम्मत,کاروان,ɦimmət,kɒrvɒn,Courage,Caravan,1.0,0.6666666666666666,0.173611111111111,0.1944444444444444,2.9166666666666665,0.173611111111111,6,random,0,-7.791422
34,830,बहाउल्लाह,بهاءالله,bəɦaːullaːɦ,bhɒʔɒllh,baha'u'llah,بهاءالله,0.7272727272727273,0.3333333333333333,0.2013888888888889,0.2268518518518518,2.763888888888889,0.2129629629629629,9,loan,1,-9.647298
35,558,अपमान,بی احترامی,apmaːn,bj ɒhtrɒmj,Insult,Disrespect,1.0,0.7777777777777778,0.4699074074074073,0.5277777777777778,4.152777777777778,0.5208333333333334,10,synonym,0,-15.840999
36,3669,मनोरंजक,بازیگوش,mənorəɲd͡ʒək,bɒzjɡvʃ,amusing,Playful,1.0,0.7,0.36875,0.4166666666666666,4.0,0.3979166666666666,7,synonym,0,-18.179869
37,397,जवाब,جواب,d͡ʒəvaːb,d͡ʒvɒb,Answer,Answer,0.375,0.2,0.2041666666666667,0.225,1.75,0.225,4,loan,1,5.658094
38,46,अहल ईमान,اهل ایمان,aɦlə iːmaːn,ɒhl ɒjmɒn,ahl iman,Believers,0.6363636363636364,0.125,0.0625,0.0677083333333333,0.859375,0.0625,8,loan,1,4.5300546
39,228,ख़फ़ा,حساب,xəfaː,hsɒb,angry,Account,1.0,0.75,0.2916666666666666,0.3333333333333333,4.8125,0.2916666666666666,5,random,0,-4.82321
40,3409,निरर्थक,استریل,nirrtʰək,ɒstrjl,pointless,Sterile,0.875,0.8571428571428571,0.3184523809523809,0.375,4.357142857142857,0.3303571428571428,7,synonym,0,-11.5961075
41,1295,हज़्म,حذم,ɦəzmə,hzm,digest,beware,0.6,0.4,0.3666666666666667,0.4083333333333334,2.95,0.4083333333333334,5,loan,1,4.0346956
42,248,ख़ातिर,خاطر,xaːtir,xɒtr,for the sake of,Mind,0.5,0.2,0.2041666666666667,0.225,1.75,0.225,6,loan,1,3.626827
43,1139,शख़्सियत,شخصیت,ʃəxsijət,ʃxsjt,personality,Character,0.375,0.375,0.3359375,0.375,2.71875,0.375,8,loan,1,2.4535773
44,1222,सर्दी,سردی,sərdiː,srdj,Cold,Cold,0.5,0.4,0.2041666666666667,0.2333333333333333,2.025,0.225,5,loan,1,3.2781985
45,1142,शब बख़ैर,شب بخیر,ʃəbə bəxæːr,ʃb bxjr,Shab bhair,Good Night,0.4545454545454545,0.4444444444444444,0.3217592592592593,0.3611111111111111,2.8472222222222223,0.3564814814814815,7,loan,1,4.1433387
46,351,गोरिस्तान,گورستان,ɡoristaːn,ɡvrstɒn,Goristan,گورستان,0.4444444444444444,0.25,0.1666666666666666,0.1875,2.09375,0.1796875,9,loan,1,5.5983143
47,6152,तेज़ी,نارضایتی,teziː,nɒrzɒjtj,swiftness,Dissatisfaction,0.875,0.625,0.4895833333333333,0.5520833333333333,4.46875,0.546875,8,synonym,0,-19.323872
48,740,पुरज़ा,خونخوار,purzaː,xvnxvɒr,parts,Bloodthirsty,1.0,0.7142857142857143,0.380952380952381,0.4464285714285714,4.392857142857143,0.4196428571428571,7,random,0,-3.9656029
49,2566,दूषित,کثیف,duːʂit,ksjf,contaminated,Dirty,1.0,0.8,0.2833333333333333,0.325,2.95,0.3041666666666667,5,synonym,0,-9.294963
50,4288,राक्षस,شیطان,raːkʂəs,ʃjtɒn,Demon,Satan,1.0,0.6666666666666666,0.2881944444444445,0.3194444444444444,3.6041666666666665,0.3055555555555555,6,synonym,0,-7.9296627
51,426,ज़लज़ला,زلزله,zəlzəlaː,zlzlh,Zalzala,Earthquake,0.5,0.4285714285714285,0.2916666666666667,0.3273809523809524,2.875,0.3214285714285714,7,loan,1,4.5710125
52,788,फ़ौलाद,زوردار,fɔːlaːd,zvrdɒr,steel,Strong,1.0,0.6666666666666666,0.2881944444444445,0.3402777777777778,3.9166666666666665,0.3020833333333333,6,random,0,-8.2878275
53,551,तुग़लक़,تغلق,tuɣləq,tɣlɣ,Tughlaq,shut down,0.5,0.3333333333333333,0.3194444444444445,0.3541666666666667,2.708333333333333,0.3541666666666667,7,loan,1,0.5588518
54,504,तमन्ना,تمنا,təmnnaː,tmnɒ,Desire,تمنا,0.5714285714285714,0.3333333333333333,0.3229166666666667,0.3541666666666667,2.6666666666666665,0.3541666666666667,6,loan,1,2.8048766
55,2032,नज्द,ناخدا,nəd͡ʒdə,nɒxdɒ,najd,Captain,0.7142857142857143,0.0,0.1041666666666666,0.1083333333333333,1.175,0.1041666666666666,5,hard_negative,0,-12.982337
56,45,असली,اصلی,asliː,ɒslj,Real,Main,0.6,0.25,0.0520833333333333,0.0625,0.96875,0.0520833333333333,4,loan,1,0.78036386
57,1051,रवैया,رویه,rəvæːjaː,rvjh,attitude,procedure,0.625,0.5,0.3402777777777778,0.3819444444444444,3.3541666666666665,0.375,5,loan,1,2.683061
58,215,कुश्ती,کوچ,kuʃtiː,kvt͡ʃ,Wrestling,Koç,0.6666666666666666,0.8,0.425,0.475,3.55,0.4666666666666666,6,random,0,-2.7313664
59,4802,प्रसारित,به اطلاع رساندن,prəsaːrit,bh ɒtlɒʔ rsɒndn,broadcast,inform,0.9333333333333332,0.3846153846153846,0.4102564102564103,0.4519230769230769,3.451923076923077,0.4439102564102564,15,synonym,0,-25.645382
60,5113,बीम करने,پرتو افکن,biːmə kərne,prtv ɒfkn,to beam,Radiation,0.8181818181818182,0.7777777777777778,0.3055555555555556,0.3611111111111111,4.263888888888889,0.3171296296296296,8,synonym,0,-11.663275
61,139,कनीज़,کنیز,kəniːz,knjz,kinese,Slave,0.5,0.4,0.2041666666666667,0.2333333333333333,2.025,0.225,5,loan,1,4.9618344
62,772,फ़ाख़्ता,فاخته,faːxtaː,fɒxth,lath,Cuckoo,0.5714285714285714,0.2,0.075,0.0833333333333333,1.425,0.075,8,loan,1,2.8153026
63,5196,आगे,غیر قابل دسترس,aːɡe,ɣjr ɣɒbl dstrs,Ahead,Inaccessible,1.0,0.8333333333333334,0.701388888888889,0.7847222222222222,5.96875,0.78125,14,synonym,0,-36.29763
64,1274,सुलह,نعره,suləɦ,nʔrh,reconciliation,نعره,1.0,0.6,0.3208333333333333,0.3666666666666667,3.725,0.3416666666666667,4,random,0,-4.5575275
65,692,मिलनसार,مهربان,milnəsaːr,mhrbɒn,friendly,kind,0.8888888888888888,0.625,0.3177083333333333,0.3697916666666667,3.15625,0.3515625,7,synonym,0,-4.348097
66,81,आसमान,آسمان,aːsmaːn,ɒsmɒn,Sky,the sky,0.5714285714285714,0.0,0.05,0.05,0.6,0.05,5,loan,1,1.1628411
67,77,आवाज़,تر و تازه,aːvaːz,tr v tɒzh,sound,Fresh,0.7777777777777778,0.5714285714285714,0.4523809523809524,0.5119047619047619,4.25,0.4910714285714285,9,random,0,-18.661625
