,Unnamed: 0,Unnamed: 0.1,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,label,label_bin,DNNlogits_modelpredicted,m-bert_cosim,xlm_cosim
0,0,931,मशग़ूल,مشغول,məʃɣuːl,mʃɣvl,busy,Busy,0.4285714285714285,0.3333333333333333,0.2083333333333333,0.2361111111111111,2.625,0.2256944444444444,6,loan,1,4.2387795,0.308487206697464,0.3579275608062744
1,1,542,तालाब,تالاب,taːlaːb,tɒlɒb,Pond,Wetlands,0.5714285714285714,0.0,0.05,0.05,0.6,0.05,5,loan,1,2.6401992,0.6944129467010498,0.7665865421295166
2,2,1195,संगमरमर,سنگ مرمر,səŋɡmərmər,sŋ mrmr,marble,Marble,0.4,0.4,0.3583333333333333,0.4,2.9,0.4,8,loan,1,5.2660003,0.30126500129699707,0.5220842957496643
3,3,1288,स्याही,سیاهی,sjaːɦiː,sjɒhj,Ink,Black,0.7142857142857143,0.2,0.0583333333333333,0.0666666666666666,0.925,0.0583333333333333,6,loan,1,1.4580574,0.6116067171096802,0.6217458248138428
4,4,141,कबाबचीनी,کبابه چینی,kəbaːbt͡ʃiːniː,kbɒbh t͡ʃjnj,Kebabchini,Chinese kebab,0.6428571428571429,0.4444444444444444,0.162037037037037,0.1851851851851852,2.4166666666666665,0.162037037037037,10,loan,1,5.8724422,0.5304166674613953,0.4233003854751587
5,5,2173,नेकी,ناکس,nekiː,nɒks,virtuous,Knox,0.6,0.25,0.1197916666666666,0.1354166666666666,2.4375,0.1197916666666666,4,hard_negative,0,-5.3086796,0.6004533767700195,0.5519098043441772
6,6,792,बंदर,بندر,bəndər,bndr,Monkey,Port,0.3333333333333333,0.3333333333333333,0.2986111111111111,0.3333333333333333,2.4166666666666665,0.3333333333333333,4,loan,1,5.0570645,0.5457600355148315,0.7326915860176086
7,7,2312,पुख़्ता,باخته,puxtaː,bɒxth,solid,Lost,0.6666666666666666,0.2,0.0833333333333333,0.0916666666666666,1.475,0.0833333333333333,7,hard_negative,0,-6.901726700000001,0.5480850338935852,0.5479401350021362
8,8,480,तंदूर,گروه,tənduːr,ɡrvh,tandoor,group,1.0,0.8333333333333334,0.4305555555555556,0.5069444444444444,4.0,0.4652777777777777,5,random,0,-4.749422,0.41400817036628723,0.7284303307533264
9,9,1765,सज़ा देना,سرزنش کردن,səzaː denaː,srznʃ krdn,to punish,Blame,0.7272727272727273,0.6666666666666666,0.2662037037037036,0.3194444444444444,4.305555555555555,0.2777777777777778,9,synonym,0,-9.063303999999999,0.4862838089466095,0.33727332949638367
10,10,5117,बीम करने,Refulgent,biːmə kərne,refulgent,to beam,Refulgent,0.9090909090909092,0.5555555555555556,0.2546296296296296,0.2962962962962963,3.4305555555555562,0.2708333333333333,9,synonym,0,-12.393222,0.3469926714897156,0.4726322591304779
11,11,2904,मरहूम,اعلام,mərɦuːm,ɒʔlɒm,dead,to announce,0.8571428571428571,0.1666666666666666,0.28125,0.3194444444444445,2.958333333333333,0.2986111111111111,5,hard_negative,0,-11.96415,0.2690441906452179,0.5896538496017456
12,12,496,तपेदिक़,تپ دیق,təpediq,tp djɣ,consumptive,تپ دیق,0.5714285714285714,0.4285714285714285,0.2857142857142857,0.3214285714285714,2.6607142857142856,0.3154761904761905,7,loan,1,4.238633,0.5908527970314026,0.857746422290802
13,13,511,तरफ़दार,شکست,tərfədaːr,ʃkst,sided,Failure,1.0,0.75,0.5052083333333334,0.5833333333333333,4.703125,0.5729166666666667,7,random,0,-8.823184,0.417880117893219,0.5496243238449097
14,14,950,मादर,مادر,maːdər,mɒdr,mother,Mother,0.5,0.2,0.2041666666666667,0.225,1.75,0.225,4,loan,1,5.4105300000000005,0.44063326716423035,0.6343677639961243
15,15,833,बा-,با,baː-,bɒ,Ba-,With,0.75,0.0,0.0625,0.0625,0.75,0.0625,3,loan,1,4.111349,0.5341597199440002,0.3598381280899048
16,16,897,मजनू,شال,məd͡ʒnuː,ʃɒl,Majnu,Shawl,1.0,0.8,0.475,0.5166666666666666,4.625,0.5125,4,random,0,-12.851977999999999,0.514005720615387,0.6482987403869629
17,17,3,अंदर,اندر,ndər,ɒndr,Inside,Inside out,0.5,0.5,0.1979166666666666,0.2291666666666666,3.625,0.1979166666666666,4,loan,1,2.610424,0.5651665329933167,0.673958957195282
18,18,16,अज़ीज़,عزیز,aziːz,ʔzjz,Aziz,Dear,0.6,0.5,0.09375,0.1145833333333333,1.8125,0.09375,6,loan,1,2.9148798,0.5115879774093628,0.816721498966217
19,19,243,ख़सरा,خسره,xəsraː,xsrh,measles,lost it,0.5,0.4,0.2291666666666666,0.2583333333333333,2.575,0.25,5,loan,1,1.9703674,0.5182629227638245,0.589352011680603
20,20,1248,ज़ंग,زرگر,zəŋɡə,zrɡr,rust,زرگر,0.6,0.6,0.2875,0.3583333333333333,3.375,0.3083333333333333,4,hard_negative,0,-5.580351,0.555264949798584,0.7289687991142273
21,21,1270,सुराख़,سوراخ,suraːx,svrɒx,eyelet,Hole,0.5,0.2,0.0875,0.1,1.9,0.0875,6,loan,1,3.422668,0.6023018956184387,0.8325096368789673
22,22,683,नायाब,نایاب,naːjaːb,nɒjɒb,unsurpassed,Rare,0.5714285714285714,0.0,0.05,0.05,0.6,0.05,5,loan,1,3.3406949999999997,0.6702861189842224,0.6850430965423584
23,23,1173,शिकार,شکار,ʃikaːr,ʃkɒr,Hunt,Hunt,0.5,0.2,0.2041666666666667,0.225,1.75,0.225,5,loan,1,5.894253,0.7230894565582275,0.9155666828155518
24,24,346,गुस्ताख़,گستاخ,ɡustaːx,ɡstɒx,impudent,rude,0.4285714285714285,0.1666666666666666,0.1701388888888889,0.1875,1.4583333333333333,0.1875,8,loan,1,5.9547844,0.5629279613494873,0.6790098547935486
25,25,321,गिरफ़्तार,گرفتار,ɡirftaːr,ɡrftɒr,arrested,Caught,0.375,0.1428571428571428,0.1458333333333333,0.1607142857142857,1.25,0.1607142857142857,9,loan,1,4.690382,0.5485754609107971,0.6367364525794983
26,26,964,माही,ماهی,maːɦiː,mɒhj,lover,Fish,0.8333333333333334,0.25,0.0729166666666666,0.0833333333333333,1.15625,0.0729166666666666,4,loan,1,3.9065049,0.5295429229736328,0.5215602517127991
27,27,61,आदमी,آدمی,aːdmiː,ɒdmj,man,Human,0.6666666666666666,0.25,0.0625,0.0729166666666666,1.09375,0.0625,4,loan,1,1.5794493,0.6783257126808167,0.6701875329017639
28,28,319,ग़ोता,غوطه,ɣotaː,ɣvth,dive,Immersion,0.6,0.5,0.140625,0.1666666666666666,3.40625,0.140625,5,loan,1,2.5133330000000003,0.58648681640625,0.31326472759246826
29,29,605,मिश्रण,مخلوط کنید,miʃrəɳ,mxlvt knjd,mix,mix,0.9,0.7777777777777778,0.3981481481481481,0.4490740740740741,4.277777777777779,0.4282407407407407,10,synonym,0,-20.23542,0.4263630211353302,0.5899491310119629
30,30,1204,सदी,سده,sədiː,sdh,century,سده,0.6,0.5,0.2864583333333333,0.3229166666666667,3.21875,0.3125,3,loan,1,3.4190302000000004,0.536961555480957,0.677898108959198
31,31,572,दम,دم,dəm,dm,power,دم,0.3333333333333333,0.3333333333333333,0.2986111111111111,0.3333333333333333,2.4166666666666665,0.3333333333333333,2,loan,1,4.7222557,0.6592614054679871,0.66226726770401
32,32,612,दिक़्क़त,شهری,diqqət,ʃhrj,trouble,Urban,1.0,0.8333333333333334,0.4305555555555556,0.4861111111111111,4.791666666666667,0.4618055555555556,8,random,0,-4.9361553,0.24124769866466522,0.3816364109516144
33,33,1329,हिम्मत,کاروان,ɦimmət,kɒrvɒn,Courage,Caravan,1.0,0.6666666666666666,0.173611111111111,0.1944444444444444,2.9166666666666665,0.173611111111111,6,random,0,-7.791422,0.42095181345939636,0.8175137639045715
34,34,830,बहाउल्लाह,بهاءالله,bəɦaːullaːɦ,bhɒʔɒllh,baha'u'llah,بهاءالله,0.7272727272727273,0.3333333333333333,0.2013888888888889,0.2268518518518518,2.763888888888889,0.2129629629629629,9,loan,1,-9.647298,0.49410971999168396,0.5648669600486755
35,35,558,अपमान,بی احترامی,apmaːn,bj ɒhtrɒmj,Insult,Disrespect,1.0,0.7777777777777778,0.4699074074074073,0.5277777777777778,4.152777777777779,0.5208333333333334,10,synonym,0,-15.840998999999998,0.5370585918426514,0.2913297712802887
36,36,3669,मनोरंजक,بازیگوش,mənorəɲd͡ʒək,bɒzjɡvʃ,amusing,Playful,1.0,0.7,0.36875,0.4166666666666666,4.0,0.3979166666666666,7,synonym,0,-18.179869,0.39632195234298706,0.7413212060928345
37,37,397,जवाब,جواب,d͡ʒəvaːb,d͡ʒvɒb,Answer,Answer,0.375,0.2,0.2041666666666667,0.225,1.75,0.225,4,loan,1,5.658094,0.5135974287986755,0.5647436380386353
38,38,46,अहल ईमान,اهل ایمان,aɦlə iːmaːn,ɒhl ɒjmɒn,ahl iman,Believers,0.6363636363636364,0.125,0.0625,0.0677083333333333,0.859375,0.0625,8,loan,1,4.5300546,0.4011518359184265,0.6571723818778992
39,39,228,ख़फ़ा,حساب,xəfaː,hsɒb,angry,Account,1.0,0.75,0.2916666666666666,0.3333333333333333,4.8125,0.2916666666666666,5,random,0,-4.8232099999999996,0.32680073380470276,0.7534174919128418
40,40,3409,निरर्थक,استریل,nirrtʰək,ɒstrjl,pointless,Sterile,0.875,0.8571428571428571,0.3184523809523809,0.375,4.357142857142857,0.3303571428571428,7,synonym,0,-11.5961075,0.38669565320014954,0.37618696689605713
41,41,1295,हज़्म,حذم,ɦəzmə,hzm,digest,beware,0.6,0.4,0.3666666666666667,0.4083333333333334,2.95,0.4083333333333334,5,loan,1,4.0346956,0.525852382183075,0.7649723291397095
42,42,248,ख़ातिर,خاطر,xaːtir,xɒtr,for the sake of,Mind,0.5,0.2,0.2041666666666667,0.225,1.75,0.225,6,loan,1,3.6268269999999996,0.4724300801753998,0.4422324299812317
43,43,1139,शख़्सियत,شخصیت,ʃəxsijət,ʃxsjt,personality,Character,0.375,0.375,0.3359375,0.375,2.71875,0.375,8,loan,1,2.4535772999999996,0.3367275297641754,0.7490825653076172
44,44,1222,सर्दी,سردی,sərdiː,srdj,Cold,Cold,0.5,0.4,0.2041666666666667,0.2333333333333333,2.025,0.225,5,loan,1,3.2781985000000002,0.5682051181793213,0.6885471343994141
45,45,1142,शब बख़ैर,شب بخیر,ʃəbə bəxæːr,ʃb bxjr,Shab bhair,Good Night,0.4545454545454545,0.4444444444444444,0.3217592592592593,0.3611111111111111,2.8472222222222223,0.3564814814814815,7,loan,1,4.1433387,0.3583935797214508,0.6303003430366516
46,46,351,गोरिस्तान,گورستان,ɡoristaːn,ɡvrstɒn,Goristan,گورستان,0.4444444444444444,0.25,0.1666666666666666,0.1875,2.09375,0.1796875,9,loan,1,5.598314299999999,0.6806526184082031,0.7062216401100159
47,47,6152,तेज़ी,نارضایتی,teziː,nɒrzɒjtj,swiftness,Dissatisfaction,0.875,0.625,0.4895833333333333,0.5520833333333333,4.46875,0.546875,8,synonym,0,-19.323872,0.4626675248146057,0.6967031359672546
48,48,740,पुरज़ा,خونخوار,purzaː,xvnxvɒr,parts,Bloodthirsty,1.0,0.7142857142857143,0.38095238095238104,0.4464285714285714,4.392857142857143,0.4196428571428571,7,random,0,-3.9656029000000004,0.39848870038986206,0.7630335092544556
49,49,2566,दूषित,کثیف,duːʂit,ksjf,contaminated,Dirty,1.0,0.8,0.2833333333333333,0.325,2.95,0.3041666666666667,5,synonym,0,-9.294963000000001,0.46494054794311523,0.697196900844574
50,50,4288,राक्षस,شیطان,raːkʂəs,ʃjtɒn,Demon,Satan,1.0,0.6666666666666666,0.2881944444444445,0.3194444444444444,3.6041666666666665,0.3055555555555555,6,synonym,0,-7.929662700000001,0.48482948541641235,0.744206964969635
51,51,426,ज़लज़ला,زلزله,zəlzəlaː,zlzlh,Zalzala,Earthquake,0.5,0.4285714285714285,0.2916666666666667,0.3273809523809524,2.875,0.3214285714285714,7,loan,1,4.5710125,0.40481382608413696,0.661737859249115
52,52,788,फ़ौलाद,زوردار,fɔːlaːd,zvrdɒr,steel,Strong,1.0,0.6666666666666666,0.2881944444444445,0.3402777777777778,3.9166666666666665,0.3020833333333333,6,random,0,-8.287827499999999,0.46552738547325134,0.7710679173469543
53,53,551,तुग़लक़,تغلق,tuɣləq,tɣlɣ,Tughlaq,shut down,0.5,0.3333333333333333,0.3194444444444445,0.3541666666666667,2.708333333333333,0.3541666666666667,7,loan,1,0.5588518,0.5100562572479248,0.5636376738548279
54,54,504,तमन्ना,تمنا,təmnnaː,tmnɒ,Desire,تمنا,0.5714285714285714,0.3333333333333333,0.3229166666666667,0.3541666666666667,2.6666666666666665,0.3541666666666667,6,loan,1,2.8048766,0.5588019490242004,0.6278097033500671
55,55,2032,नज्द,ناخدا,nəd͡ʒdə,nɒxdɒ,najd,Captain,0.7142857142857143,0.0,0.1041666666666666,0.1083333333333333,1.175,0.1041666666666666,5,hard_negative,0,-12.982337,0.575759768486023,0.7322053909301758
