,Unnamed: 0,Unnamed: 0.1,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,label,label_bin,DNNlogits_modelpredicted,m-bert_cosim,xlm_cosim
0,0,644,अनिश्चित,مبهم,aniʃt͡ʃit,mbhm,uncertain,Ambiguous,1.0,1.0,0.4910714285714285,0.5476190476190476,4.821428571428571,0.5327380952380952,8,synonym,0,-12.112803999999999,0.43984827399253845,0.4887462556362152
1,1,750,पैदाइश,پیدایش,pæːdaːiʃ,pjdɒjʃ,birth,Genesis,0.625,0.3333333333333333,0.0694444444444444,0.0833333333333333,1.2916666666666667,0.0694444444444444,6,loan,1,3.9351968999999998,0.3058916926383972,0.6680305004119873
2,2,288,ख़्वाजा,خواجه,xvaːd͡ʒaː,xvɒd͡ʒh,Khwaja,خواجه,0.4444444444444444,0.2,0.075,0.0833333333333333,1.425,0.075,7,loan,1,4.503063,0.5132135152816772,0.7827536463737488
3,3,543,क़ानून,دامان,qaːnuːn,dɒmɒn,law,Daman,0.8571428571428571,0.4,0.1166666666666666,0.125,1.3,0.1166666666666666,6,hard_negative,0,-10.92742,0.5058299899101257,0.7685245871543884
4,4,1285,सौदा,سودا,sɔːdaː,svdɒ,deal,Business,0.6666666666666666,0.25,0.1197916666666666,0.1354166666666666,2.5,0.1197916666666666,4,loan,1,3.2332451,0.6073228120803833,0.8378666639328003
5,5,204,किफ़ायत,کفایت,kifaːjət,kfɒjt,economy,Sufficiency,0.5,0.2857142857142857,0.2738095238095238,0.3035714285714285,2.2857142857142856,0.3035714285714285,7,loan,1,4.417333999999999,0.514223039150238,0.5530110597610474
6,6,514,हाय,سختی,ɦaːj,sxtj,Hi,Hardship,0.75,0.75,0.3697916666666666,0.40625,4.8125,0.390625,4,synonym,0,-11.69082,0.5006923079490662,0.4479592740535736
7,7,320,गिरफ़्त,گرفت,ɡirftə,ɡrft,arrested,Took,0.3333333333333333,0.3333333333333333,0.2986111111111111,0.3333333333333333,2.4166666666666665,0.3333333333333333,7,loan,1,2.6829882,0.38736191391944885,0.20193994045257568
8,8,4279,शैतान,عظیم,ʃæːtaːn,ʔzjm,Satan,enormous,1.0,0.8,0.3041666666666666,0.3416666666666667,3.675,0.325,5,synonym,0,-9.812741,0.44383400678634644,0.3803817331790924
9,9,5075,अजीब,کنجکاو,ad͡ʒiːb,knd͡ʒkɒv,Strange,Curious,0.625,0.5,0.3958333333333334,0.4444444444444445,4.1875,0.4305555555555556,6,synonym,0,-12.001191,0.3745952844619751,0.760469377040863
10,10,926,अथक,خستگی ناپذیر,atʰək,xstɡj nɒpzjr,tireless,Tireless,0.9166666666666666,0.8181818181818182,0.6268939393939393,0.696969696969697,5.488636363636363,0.6931818181818182,12,synonym,0,-21.851029999999998,0.37701037526130676,0.49229755997657776
11,11,4914,आंख को पकड़ने,مهم,aːŋkʰə ko pəkɽəne,mhm,eye catching,Important,1.0,0.9230769230769232,0.7147435897435896,0.8012820512820513,5.961538461538463,0.7996794871794872,13,synonym,0,-25.856289,0.34557583928108215,-0.04099169746041298
12,12,814,बबर,رواج,bəbər,rvɒd͡ʒ,Babar,رواج,1.0,0.6,0.3208333333333333,0.3833333333333333,3.9,0.3416666666666667,4,random,0,-5.4775567,0.44865912199020386,0.803217887878418
13,13,1027,यख़,جوان,jəx,d͡ʒvɒn,yakh,Young,1.0,0.75,0.40625,0.4375,5.0,0.4270833333333333,4,random,0,-10.292766,0.49365392327308655,0.7008181810379028
14,14,35,अरस्तू,مأیوس,arstuː,mɒʔjvs,Aristotle,dissapointed,1.0,0.6666666666666666,0.3819444444444444,0.4374999999999999,4.895833333333333,0.3993055555555555,6,random,0,-13.800198000000002,0.4782056212425232,0.7490065693855286
