,language_pair,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,DNN_logits,MBERT_cos_sim,XLM_cos_sim,loan_unicode_Latin,loan_unicode_Greek,loan_unicode_Cyrillic,loan_unicode_Arabic,loan_unicode_Devanagari,loan_unicode_Bengali,loan_unicode_Gurmukhi,loan_unicode_Tamil,loan_unicode_Telugu,loan_unicode_Malayalam,loan_unicode_Myanmar,loan_unicode_Chinese,original_unicode_Latin,original_unicode_Greek,original_unicode_Cyrillic,original_unicode_Arabic,original_unicode_Devanagari,original_unicode_Bengali,original_unicode_Gurmukhi,original_unicode_Tamil,original_unicode_Telugu,original_unicode_Malayalam,original_unicode_Myanmar,original_unicode_Chinese
0,All languages,-0.29309359206788593,-0.2518674195099546,0.8131206556024286,1.8337169397328146,-0.4253443026645273,-1.7952774051755702,-1.1292837215601135,6.300015881752871,0.19110993633178444,0.44326332643728383,0.0,0.0,0.41139925835568775,-0.13831858943616793,-0.12963094270349043,0.0,0.0,-0.04649082340079793,0.0,0.0,0.0,0.0,0.32813914237739045,0.0,0.0,-0.13831858943616793,0.0,0.0,0.0,-0.17678801212394576,0.0,0.0,0.0,0.0
1,Hindi-Persian,-0.9164168658185743,-0.30557065129059596,4.535979421953106e-05,-0.11198867905444554,-0.42428581565869217,0.02817865145396666,0.7358342506541129,7.454381771751863,0.0289116939929319,0.1442137286978984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,English-French,0.04540094615748808,-0.05843612957162386,0.23389982220373212,1.2394128276924938,-0.2225686760382299,-0.6514760010633814,-2.3167622053310395,4.319075989179238,0.40679009972221536,0.9987942941579443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Finnish-Swedish,0.10841959011182195,-0.24296108988981555,0.20328405163070754,1.1358840506318881,0.06089416116715295,-0.7338396665674377,-1.7307579734071192,6.261576853126938,0.20036807033050133,0.31375226319896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Kazakh-Russian,-0.2830133253108327,1.1321492486392115,0.31494257084056154,0.10333998553717234,-1.8222283870914022,0.5976094137573946,-3.0158365927806785,7.731526610260519,-0.08241677064501687,0.15419624335799792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Azerbaijani-Arabic,-0.19395935094134006,-1.1813648910718453,-0.12520484943909463,-0.10392597331901783,0.1771858247572382,0.45344709316012993,1.6793481330412936,6.909520975281108,-0.5339248992926208,-0.12516933169199432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Chinese-English,-0.20750353313606681,-0.5221286257454916,-0.3281407210948404,1.0222042213083509,-0.23122696230028464,0.004500012432067331,0.11143944095824074,4.042858681572804,0.11186142109092177,0.2679349823578629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,German-French,-0.15481514591293383,-0.08006651625731148,0.0387989234873586,1.1063451160052764,-0.5848859561025699,-0.04159605314871189,-2.350055800517687,4.35461304376598,0.20225485846122182,0.12373549185916848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,English-German,0.18212061847522096,-0.416629677215716,0.5922702791986388,0.43376060944813444,0.25798551507244505,-0.0385339608584363,-3.2334530924638063,4.478185743357955,0.5424233285211024,0.5801528509518414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Romanian-Hungarian,-0.507575708452259,-0.606302991827333,0.24630754290707227,0.45166048449968155,0.12742281585649148,0.08597019659027014,-0.34141767815727414,5.852023713417818,0.45047282133038696,0.3934792811022777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Polish-French,-0.43655687067874366,-0.3609115492364328,0.7346905251433847,0.6818898275833868,-0.9767777705838318,0.09715263606636526,-0.9815517993300974,5.625968846465676,0.014073884601810156,0.09377296188632935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Indonesian-Dutch,-0.0754787843222915,0.3346462451427773,0.37965951096287726,1.1002809091202552,-1.577298645723584,0.8730743203533181,-2.3616767192886763,7.266831601401831,0.12334951073781332,0.5104089867784238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Romanian-French,-0.3186521878871246,-0.5348402170033217,-0.37818336929336793,0.3636690789383975,0.567722262936746,-0.20957176307020817,-2.0397274621102373,5.084873512304736,0.12561992659974913,0.021024735966407814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
