,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,DNN_logits,MBERT_cos_sim,XLM_cos_sim,loan_unicode_Latin,loan_unicode_Greek,loan_unicode_Cyrillic,loan_unicode_Arabic,loan_unicode_Devanagari,loan_unicode_Bengali,loan_unicode_Gurmukhi,loan_unicode_Tamil,loan_unicode_Telugu,loan_unicode_Malayalam,loan_unicode_Myanmar,loan_unicode_Chinese,original_unicode_Latin,original_unicode_Greek,original_unicode_Cyrillic,original_unicode_Arabic,original_unicode_Devanagari,original_unicode_Bengali,original_unicode_Gurmukhi,original_unicode_Tamil,original_unicode_Telugu,original_unicode_Malayalam,original_unicode_Myanmar,original_unicode_Chinese,label
0,,ख़ानदान,خندان,xaːndaːn,xndɒn,family,Smiling,0.5,0.1666666666666666,0.1701388888888889,0.1875,1.4583333333333333,0.1875,7,2.7798908,0.8913974165916443,0.6720381379127502,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
1,,दुकान,دوکان,dukaːn,dvkɒn,shop,The shop,0.5,0.2,0.0875,0.1,1.9,0.0875,5,0.61779016,0.850223183631897,0.6441253423690796,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
2,,साल,زال,saːl,zɒl,Year,still,0.75,0.0,0.0555555555555555,0.0555555555555555,0.5833333333333334,0.0555555555555555,3,-0.96755403,0.8998995423316956,0.8139974474906921,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
3,,जायदाद,چایدان,d͡ʒaːjdaːd,t͡ʃɒjdɒn,Property,Chaidan,0.7,0.1666666666666666,0.0624999999999999,0.0624999999999999,0.9583333333333334,0.0624999999999999,6,1.533195,0.8248793482780457,0.6768795251846313,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
4,,अमीर,آمار,amiːr,ɒmɒr,Rich,statistics,0.6,0.0,0.0729166666666666,0.0729166666666666,0.875,0.0729166666666666,4,0.011532971000000001,0.8750866651535034,0.5713480710983276,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
5,,हैवान,لیوان,ɦæːvaːn,ljvɒn,Heaven,Glass,0.7142857142857143,0.2,0.0958333333333333,0.1083333333333333,1.4,0.0958333333333333,5,-0.49709165,0.9285669326782228,0.7647650837898254,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
6,,माफ़ी,ماهی,maːfiː,mɒhj,apology,Fish,0.8333333333333334,0.5,0.0989583333333333,0.1145833333333333,1.875,0.0989583333333333,5,1.9036043000000002,0.8217182755470276,0.7087204456329346,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
7,,आबला,املا,aːblaː,ɒmlɒ,abla,Spell,0.8333333333333334,0.25,0.0833333333333333,0.0833333333333333,1.375,0.0833333333333333,4,0.28676257,0.8875439763069153,0.6667351722717285,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
8,,दीवानगी,زنانه,diːvaːnɡiː,znɒnh,craze,feminine,0.9,0.5714285714285714,0.34523809523809523,0.3809523809523809,3.7142857142857135,0.375,7,2.1199195,0.8521913290023804,0.679146409034729,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,random
9,,रमज़ान,همدان,rəmzaːn,hmdɒn,Ramadan,Hamedan,0.7142857142857143,0.1666666666666666,0.2013888888888889,0.2361111111111111,2.020833333333333,0.2291666666666666,6,2.072725,0.8644245266914368,0.660926878452301,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
