,all_language_evaluate,train_evaluate_pair,language_pair,class,precision,recall,f1_score,support,acc
0,True,False,,0,0.96,0.98,0.97,17301.0,
1,True,False,,1,0.8,0.72,0.76,2386.0,0.94
2,False,False,Hindi-Persian,0,0.96,0.98,0.97,1107.0,
3,False,False,Hindi-Persian,1,0.77,0.68,0.72,124.0,0.95
4,False,False,English-French,0,0.97,0.98,0.98,2910.0,
5,False,False,English-French,1,0.86,0.85,0.86,507.0,0.96
6,False,False,Finnish-Swedish,0,0.96,0.98,0.97,1147.0,
7,False,False,Finnish-Swedish,1,0.73,0.58,0.65,124.0,0.94
8,False,False,Kazakh-Russian,0,0.97,0.98,0.97,1350.0,
9,False,False,Kazakh-Russian,1,0.83,0.76,0.79,180.0,0.95
10,False,False,Azerbaijani-Arabic,0,0.95,0.97,0.96,1083.0,
11,False,False,Azerbaijani-Arabic,1,0.62,0.51,0.56,111.0,0.93
12,False,False,Chinese-English,0,0.94,0.97,0.95,816.0,
13,False,False,Chinese-English,1,0.65,0.46,0.54,95.0,0.92
14,False,False,German-French,0,0.95,0.99,0.97,1199.0,
15,False,False,German-French,1,0.84,0.59,0.69,136.0,0.95
16,False,False,English-German,0,0.97,0.97,0.97,1913.0,
17,False,False,English-German,1,0.81,0.8,0.8,294.0,0.95
18,False,False,Romanian-Hungarian,0,0.94,0.98,0.96,1205.0,
19,False,False,Romanian-Hungarian,1,0.78,0.48,0.6,145.0,0.93
20,False,False,Polish-French,0,0.95,0.97,0.96,1470.0,
21,False,False,Polish-French,1,0.77,0.65,0.71,205.0,0.93
22,False,False,Indonesian-Dutch,0,0.97,0.97,0.97,1636.0,
23,False,False,Indonesian-Dutch,1,0.84,0.83,0.84,266.0,0.95
24,False,False,Romanian-French,0,0.96,0.97,0.97,1465.0,
25,False,False,Romanian-French,1,0.78,0.73,0.76,199.0,0.94
26,False,True,Hindi-Persian,0,0.97,0.98,0.97,1107.0,
27,False,True,Hindi-Persian,1,0.79,0.72,0.75,124.0,0.95
28,False,True,English-French,0,0.98,0.98,0.98,2910.0,
29,False,True,English-French,1,0.91,0.87,0.89,507.0,0.97
30,False,True,Finnish-Swedish,0,0.96,0.98,0.97,1147.0,
31,False,True,Finnish-Swedish,1,0.77,0.58,0.66,124.0,0.94
32,False,True,Kazakh-Russian,0,0.98,0.98,0.98,1350.0,
33,False,True,Kazakh-Russian,1,0.87,0.88,0.88,180.0,0.97
34,False,True,Azerbaijani-Arabic,0,0.96,0.98,0.97,1083.0,
35,False,True,Azerbaijani-Arabic,1,0.72,0.64,0.68,111.0,0.94
36,False,True,Chinese-English,0,0.93,0.98,0.96,816.0,
37,False,True,Chinese-English,1,0.68,0.41,0.51,95.0,0.92
38,False,True,German-French,0,0.97,0.99,0.98,1199.0,
39,False,True,German-French,1,0.89,0.73,0.8,136.0,0.96
40,False,True,English-German,0,0.97,0.98,0.98,1913.0,
41,False,True,English-German,1,0.88,0.81,0.84,294.0,0.96
42,False,True,Romanian-Hungarian,0,0.95,0.97,0.96,1205.0,
43,False,True,Romanian-Hungarian,1,0.71,0.54,0.62,145.0,0.93
44,False,True,Polish-French,0,0.96,0.97,0.97,1470.0,
45,False,True,Polish-French,1,0.78,0.73,0.75,205.0,0.94
46,False,True,Indonesian-Dutch,0,0.97,0.97,0.97,1636.0,
47,False,True,Indonesian-Dutch,1,0.84,0.84,0.84,266.0,0.96
48,False,True,Romanian-French,0,0.97,0.97,0.97,1465.0,
49,False,True,Romanian-French,1,0.78,0.76,0.77,199.0,0.95
