,language_pair,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,DNN_logits,MBERT_cos_sim,XLM_cos_sim,loan_unicode_Latin,loan_unicode_Greek,loan_unicode_Cyrillic,loan_unicode_Arabic,loan_unicode_Devanagari,loan_unicode_Bengali,loan_unicode_Gurmukhi,loan_unicode_Tamil,loan_unicode_Telugu,loan_unicode_Malayalam,loan_unicode_Myanmar,loan_unicode_Chinese,original_unicode_Latin,original_unicode_Greek,original_unicode_Cyrillic,original_unicode_Arabic,original_unicode_Devanagari,original_unicode_Bengali,original_unicode_Gurmukhi,original_unicode_Tamil,original_unicode_Telugu,original_unicode_Malayalam,original_unicode_Myanmar,original_unicode_Chinese
0,All_languages,-0.1102358375132606,-0.0899515702496605,1.016421092020173,0.6971094143396954,-0.1848533369391605,-1.368514250494707,-0.5477810873880906,3.5093468273308295,0.0904501341556298,0.19990270462200566,0.0,0.0,0.18890989223874652,-0.057055573675710736,-0.08011546465847591,0.0,0.0,-0.012988569892242674,0.0,0.0,0.0,0.0,0.16295994987330686,0.0,0.0,-0.057055573675710736,0.0,0.0,0.0,-0.09556975812852309,0.0,0.0,0.0,0.0
1,Hindi-Persian,-0.40921000034445676,-0.0601780182455669,-0.2345227935213794,0.1495372506061028,-0.14644852790822638,-0.07103886533042081,0.36360701562132736,4.2493171397312794,-0.0011233443541787125,0.022150249360457952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,English-French,0.045965069524898094,-0.016677283735585746,0.3985858923353309,1.0861528526252249,-0.1801774236195295,-1.0782984325493503,-1.1811795263059333,2.5540497684118284,0.22091535020189101,0.4996340091057845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Finnish-Swedish,0.0855182587882446,-0.06886211688765176,0.020771116400691625,1.279636473403838,-0.04274905213996938,-1.06547172098223,-0.7255789031595228,3.5804096785221784,0.06478018835196231,0.08288125939059965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Kazakh-Russian,-0.09870686236993187,0.7277992618641314,0.23918530681910966,-0.3576295208897369,-0.8515989646068469,0.5396644271193405,-1.895327139982819,4.686711276320725,-0.06745080319316599,0.11303169780415434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Azerbaijani-Arabic,-0.0732631634076304,-0.6896063294088681,-0.3081181855672218,-0.10361218198387123,0.09010178661405599,0.5748863784566104,1.0209891247652731,4.176689506710778,-0.2927050372300444,-0.04067261745783113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Chinese-English,-0.045017801656870304,-0.10410442094357686,-0.5610032760451849,0.4038279588933422,0.0024528128666601035,0.22854589640377965,-0.019203251843773916,1.9596744989815926,0.03529242125365473,0.0687141807882401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,German-French,-0.0808792098884723,-0.06352424930727096,-0.2713111297314583,1.1666795641752867,-0.1518496507920084,-0.5042994910653563,-1.0938855130494296,2.573200790054599,0.0817221981522196,0.057790078833527714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,English-German,0.11462889297348289,-0.22549151977175397,0.5465241487368679,0.1606195473801315,0.11016766962092395,-0.2148875267551631,-1.6515419380561243,2.5876642705589976,0.26602488147857883,0.278059031957429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Romanian-Hungarian,-0.1563796320187194,-0.24780612411103187,0.2562747279909572,-0.0785982964752634,0.17674508556777546,-0.01428257301357383,-0.21627359394607382,3.4424207991611775,0.17257434682703188,0.16193653656875054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
