,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,DNN_logits,MBERT_cos_sim,XLM_cos_sim,loan_unicode_Latin,loan_unicode_Greek,loan_unicode_Cyrillic,loan_unicode_Arabic,loan_unicode_Devanagari,loan_unicode_Bengali,loan_unicode_Gurmukhi,loan_unicode_Tamil,loan_unicode_Telugu,loan_unicode_Malayalam,loan_unicode_Myanmar,loan_unicode_Chinese,original_unicode_Latin,original_unicode_Greek,original_unicode_Cyrillic,original_unicode_Arabic,original_unicode_Devanagari,original_unicode_Bengali,original_unicode_Gurmukhi,original_unicode_Tamil,original_unicode_Telugu,original_unicode_Malayalam,original_unicode_Myanmar,original_unicode_Chinese,label
23,पीरू,پیل مرغ,piːruː,pjl mrɣ,Piru,Chicken pole,0.8571428571428571,0.6666666666666666,0.3715277777777777,0.4166666666666667,4.208333333333333,0.4027777777777777,7,-11.194757000000001,0.9193673000000001,0.6279026,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
124,ख़ानदान,خاندان,xaːndaːn,xɒndɒn,family,Family,0.5,0.0,0.0416666666666666,0.0416666666666666,0.5,0.0416666666666666,7,-0.43339628,0.7051774000000001,0.70177335,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
182,ज़ंजीर,زنجیر,zəɲd͡ʒiːr,znd͡ʒjr,chain,Chain,0.4444444444444444,0.3333333333333333,0.1944444444444444,0.2222222222222222,1.9583333333333333,0.2118055555555555,6,-0.11231829,0.881657,0.60860425,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
282,आसान,آسان,aːsaːn,ɒsɒn,Ease,Easy,0.6666666666666666,0.0,0.0625,0.0625,0.75,0.0625,4,-3.0883217,0.89404684,0.595963,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
300,मुअल्लिमी,معلمی,muallimiː,mʔlmj,Muallimi,Teacher,0.6666666666666666,0.5,0.3854166666666667,0.4322916666666667,3.625,0.421875,9,-1.7094611000000002,0.87426144,0.44966024,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
370,स्याही,سیاهی,sjaːɦiː,sjɒhj,Ink,Black,0.7142857142857143,0.2,0.0583333333333333,0.0666666666666666,0.925,0.0583333333333333,6,-1.7314072,0.91801476,0.62163377,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
401,लाजवर्द,لاجورد,laːd͡ʒvərdə,lɒd͡ʒvrd,Shameless,لاجورد,0.3636363636363636,0.25,0.2395833333333333,0.265625,2.0,0.265625,7,-0.7920699000000001,0.6667598000000001,0.64781016,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
402,तपेदिक़,تپ دیق,təpediq,tp djɣ,consumptive,تپ دیق,0.5714285714285714,0.4285714285714285,0.2857142857142857,0.3214285714285714,2.6607142857142856,0.3154761904761905,7,-3.372557,0.8907068000000001,0.85771424,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
437,आफ़त,آفت,aːfət,ɒft,disaster,آفت,0.6,0.25,0.2552083333333333,0.28125,2.1875,0.28125,4,-4.5576763,0.83702844,0.5614296,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
462,मददगार,مددگار,məddəɡaːr,mddɡɒr,helpful,Helpful,0.4444444444444444,0.25,0.2395833333333333,0.265625,2.0,0.265625,6,-0.8076482,0.91851246,0.55497676,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
