,language_pair,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode_Latin,loan_unicode_Greek,loan_unicode_Cyrillic,loan_unicode_Arabic,loan_unicode_Devanagari,loan_unicode_Bengali,loan_unicode_Gurmukhi,loan_unicode_Tamil,loan_unicode_Telugu,loan_unicode_Malayalam,loan_unicode_Myanmar,loan_unicode_Chinese,original_unicode_Latin,original_unicode_Greek,original_unicode_Cyrillic,original_unicode_Arabic,original_unicode_Devanagari,original_unicode_Bengali,original_unicode_Gurmukhi,original_unicode_Tamil,original_unicode_Telugu,original_unicode_Malayalam,original_unicode_Myanmar,original_unicode_Chinese
0,All languages,-0.5127575747004012,-0.38257883517619407,-4.384842931537949,3.5809726085434495,-1.0973440918265986,2.1823646723698022,-2.462525087047623,0.0,0.0,0.37382954759410697,-0.16387983182153176,-0.06751827183666306,0.0,0.0,-0.04725009895753963,0.0,0.0,0.0,0.0,0.3788612918100754,0.0,0.0,-0.16387983182153176,0.0,0.0,0.0,-0.20132211893264876,0.0,0.0,0.0,0.0
1,Hindi-Persian,-1.643208449937217,-0.13595820402370712,-2.1028882085392615,0.04796410784027778,-0.8612795394223701,2.691440178375203,-0.08590945305929572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,English-French,0.015318280091564732,-0.08241480662605079,0.1050963139592777,1.5461362161465342,-0.5479153075731681,-0.4979356407873384,-5.37966238919418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Finnish-Swedish,-0.15355830321048802,-0.3430947530446661,0.5819459433936041,1.6585308214040972,-0.3205301722384022,-0.7328718629057863,-3.6505855144546175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Kazakh-Russian,-0.0034606156219823036,1.991722644410871,0.6995065969818351,0.6845719159715425,-4.915535720780766,1.5748490801591628,-6.7727661455895225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Azerbaijani-Arabic,-1.0426509278161997,-1.2987014604999312,-1.1555132519928324,-1.7140670772009672,0.5199603570877495,2.606065564409341,0.8959024178834242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Chinese-English,-0.16783666146343867,-1.0439762684862341,-3.9888244766229777,4.526785365750232,-0.5669733786779272,0.5880076303652934,-0.25208914063734955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,German-French,-0.2567836009861138,-0.2999137665351789,0.26400636449568476,1.7727757226684917,-2.1155602175465793,0.33553507192311943,-3.758452249535384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,English-German,0.22786707941050088,-0.6566444029442207,-0.25860284775444264,0.43987875945245997,0.12723128673935724,1.0032487992425612,-6.309705192313562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Romanian-Hungarian,-1.0101532812426681,-0.7741724534797118,-1.0531358613035158,1.3044918467060074,-0.9518716975768262,1.1064758285614287,-0.7471517432618303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Polish-French,-0.43812596047180014,-0.5688986314630013,1.5329101899178899,4.177193918026854,-3.2378979334148887,-2.3807472842112616,-1.6417403308446765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Indonesian-Dutch,0.13199228434237728,0.6452069434497018,-1.3213640361632333,1.1272775630286835,-5.331187180606039,4.443735713484707,-3.326228967650385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Romanian-French,-0.6497819935560266,-1.0856965886775716,-0.8326221311911609,0.9749323163736902,-0.6317436363622203,0.7305494979743252,-3.222362385973734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
