,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode_Latin,loan_unicode_Greek,loan_unicode_Cyrillic,loan_unicode_Arabic,loan_unicode_Devanagari,loan_unicode_Bengali,loan_unicode_Gurmukhi,loan_unicode_Tamil,loan_unicode_Telugu,loan_unicode_Malayalam,loan_unicode_Myanmar,loan_unicode_Chinese,original_unicode_Latin,original_unicode_Greek,original_unicode_Cyrillic,original_unicode_Arabic,original_unicode_Devanagari,original_unicode_Bengali,original_unicode_Gurmukhi,original_unicode_Tamil,original_unicode_Telugu,original_unicode_Malayalam,original_unicode_Myanmar,original_unicode_Chinese,label
0,All languages,बजाय,باجی,bəd͡ʒaːj,bɒd͡ʒj,rather than,sister,0.375,0.2,0.2041666666666667,0.225,1.7,0.225,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
1,All languages,गोर,کار,ɡor,kɒr,Gore,Work,0.6666666666666666,0.0,0.0277777777777777,0.0277777777777777,0.25,0.0277777777777777,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
2,All languages,चाय,چاقی,t͡ʃaːj,t͡ʃɒɣj,tea,Obesity,0.3333333333333333,0.25,0.2552083333333333,0.28125,2.1875,0.28125,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
3,All languages,शाल,شامل,ʃaːl,ʃɒml,Shawl,involved in,0.5,0.25,0.2552083333333333,0.28125,2.1875,0.28125,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
4,All languages,दरवेश,جوش,dərveʃ,d͡ʒvʃ,dervish,جوش,0.5,0.6666666666666666,0.4583333333333334,0.5208333333333334,3.8333333333333335,0.5208333333333334,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
5,All languages,क़सम,رسم,qəsəm,rsm,swear,fee,0.6,0.6,0.4125,0.4833333333333334,3.975,0.4541666666666666,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,random
6,All languages,साल,زال,saːl,zɒl,Year,still,0.75,0.0,0.0555555555555555,0.0555555555555555,0.5833333333333334,0.0555555555555555,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
7,All languages,शेर,تار,ʃer,tɒr,lion,the wire,0.6666666666666666,0.0,0.0833333333333333,0.0833333333333333,1.0833333333333333,0.0833333333333333,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
8,All languages,जेब,قاب,d͡ʒeb,ɣɒb,pocket,the frame,0.8,0.0,0.1180555555555555,0.125,1.5416666666666667,0.1180555555555555,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
9,All languages,तह,تار,təɦ,tɒr,Fold,the wire,0.6666666666666666,0.0,0.1041666666666666,0.1388888888888889,1.125,0.1041666666666666,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
10,All languages,फ़ौज,فرج,fɔːd͡ʒ,frd͡ʒ,army,vulva,0.3333333333333333,0.3333333333333333,0.1180555555555555,0.1666666666666666,2.333333333333333,0.1180555555555555,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
11,All languages,हवा,آوا,ɦəvaː,ɒvɒ,The wind,آوا,0.8,0.25,0.2864583333333333,0.3125,2.5,0.3125,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
12,All languages,रूस,حاد,ruːs,hɒd,Russia,sharp,1.0,0.0,0.1597222222222222,0.1944444444444444,1.875,0.1597222222222222,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
13,All languages,मीर,مار,miːr,mɒr,mir,Kill,0.5,0.0,0.0694444444444444,0.0694444444444444,0.8333333333333334,0.0694444444444444,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
14,All languages,माल,مایل,maːl,mɒjl,Goods,Miles,0.5,0.25,0.2552083333333333,0.28125,2.1875,0.28125,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
15,All languages,इमला,امل,imlaː,ɒml,Spelling,hopefull,0.6,0.25,0.265625,0.2916666666666667,2.3125,0.2916666666666667,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
16,All languages,शब,شیب,ʃəb,ʃjb,Corpse,Slope,0.3333333333333333,0.3333333333333333,0.0555555555555555,0.0694444444444444,1.125,0.0555555555555555,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
17,All languages,सुलह,سال,suləɦ,sɒl,reconciliation,Year,0.6,0.4,0.3833333333333334,0.425,3.2,0.425,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
18,All languages,तह,تا,təɦ,tɒ,Fold,until the,0.6666666666666666,0.3333333333333333,0.3402777777777778,0.375,2.833333333333333,0.375,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
19,All languages,मज़ा,ماز,məzaː,mɒz,fun,Maze,0.6,0.25,0.2552083333333333,0.28125,2.125,0.28125,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
20,All languages,तेज़,تز,tez,tz,fast,Thesis,0.3333333333333333,0.3333333333333333,0.2986111111111111,0.3333333333333333,2.4166666666666665,0.3333333333333333,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
21,All languages,हदफ़,دف,ɦədəf,df,Hadaf,Def,0.6,0.6,0.5375,0.6,4.35,0.6,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
22,All languages,वाह,بار,vaːɦ,bɒr,Wow,Bar,1.0,0.0,0.125,0.1666666666666666,1.5833333333333333,0.125,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
23,All languages,जोश,جخش,d͡ʒoʃ,d͡ʒxʃ,Passion,Jakhsh,0.2,0.3333333333333333,0.0972222222222222,0.1111111111111111,2.5416666666666665,0.0972222222222222,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
24,All languages,पुल,بال,pul,bɒl,bridge,Hair,0.6666666666666666,0.0,0.0555555555555555,0.0555555555555555,0.5833333333333334,0.0555555555555555,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
25,All languages,बस,باز,bəs,bɒz,bus,Open,0.6666666666666666,0.0,0.0555555555555555,0.0555555555555555,0.5,0.0555555555555555,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
26,All languages,मोम,امام,mom,ɒmɒm,wax,Imam,0.5,0.25,0.234375,0.2604166666666667,1.9375,0.2604166666666667,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
27,All languages,कोह,کاه,koɦ,kɒh,Koh,Straw,0.6666666666666666,0.0,0.0277777777777777,0.0277777777777777,0.25,0.0277777777777777,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
28,All languages,ख़ुश,خاش,xuʃ,xɒʃ,happy,خاش,0.3333333333333333,0.0,0.0416666666666666,0.0416666666666666,0.5,0.0416666666666666,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
29,All languages,tammy,tamis,ˈtæmi,tami,tammy,tamis,0.4,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hard_negative
30,All languages,cartel,cantal,kɑrˈtɛl,kɑ̃tal,cartel,cantal,0.4285714285714285,0.1666666666666666,0.1597222222222222,0.1875,1.4166666666666667,0.1875,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hard_negative
31,All languages,leger,blesser,ˈlɛʤər,blɛsəʀ,leger,hurt,0.5,0.3333333333333333,0.3298611111111111,0.375,2.7291666666666665,0.3611111111111111,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hard_negative
32,All languages,Sane,Sain,seɪn,sɛ̃,Sane,I got it,0.75,0.5,0.4739583333333333,0.5208333333333333,3.8125,0.5208333333333333,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,synonym
33,All languages,favori,favoris,favori*,favɔʀi,favorite,favorites,0.4285714285714285,0.0,0.0347222222222222,0.0486111111111111,0.3541666666666667,0.0347222222222222,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hard_negative
