,all_language_evaluate,train_evaluate_pair,language_pair,class,precision,recall,f1_score,support,acc
0,True,False,,0,0.95,0.97,0.96,17301.0,
1,True,False,,1,0.77,0.65,0.7,2386.0,0.93
2,False,False,Hindi-Persian,0,0.92,0.97,0.95,1107.0,
3,False,False,Hindi-Persian,1,0.51,0.24,0.33,124.0,0.9
4,False,False,English-French,0,0.98,0.99,0.98,2910.0,
5,False,False,English-French,1,0.91,0.88,0.89,507.0,0.97
6,False,False,Finnish-Swedish,0,0.96,0.95,0.96,1147.0,
7,False,False,Finnish-Swedish,1,0.58,0.65,0.61,124.0,0.92
8,False,False,Kazakh-Russian,0,0.99,0.99,0.99,1350.0,
9,False,False,Kazakh-Russian,1,0.89,0.94,0.92,180.0,0.98
10,False,False,Azerbaijani-Arabic,0,0.91,0.96,0.93,1083.0,
11,False,False,Azerbaijani-Arabic,1,0.1,0.05,0.06,111.0,0.88
12,False,False,Chinese-English,0,0.9,0.97,0.93,816.0,
13,False,False,Chinese-English,1,0.3,0.12,0.17,95.0,0.88
14,False,False,German-French,0,0.97,0.99,0.98,1199.0,
15,False,False,German-French,1,0.94,0.68,0.79,136.0,0.96
16,False,False,English-German,0,0.98,0.98,0.98,1913.0,
17,False,False,English-German,1,0.85,0.86,0.86,294.0,0.96
18,False,False,Romanian-Hungarian,0,0.92,0.97,0.95,1205.0,
19,False,False,Romanian-Hungarian,1,0.6,0.34,0.43,145.0,0.9
20,False,False,Polish-French,0,0.92,0.98,0.95,1470.0,
21,False,False,Polish-French,1,0.71,0.41,0.52,205.0,0.91
22,False,False,Indonesian-Dutch,0,0.95,0.95,0.95,1636.0,
23,False,False,Indonesian-Dutch,1,0.7,0.68,0.69,266.0,0.91
24,False,False,Romanian-French,0,0.96,0.97,0.97,1465.0,
25,False,False,Romanian-French,1,0.79,0.72,0.75,199.0,0.94
26,False,True,Hindi-Persian,0,0.95,0.97,0.96,1107.0,
27,False,True,Hindi-Persian,1,0.69,0.51,0.59,124.0,0.93
28,False,True,English-French,0,0.99,0.99,0.99,2910.0,
29,False,True,English-French,1,0.94,0.92,0.93,507.0,0.98
30,False,True,Finnish-Swedish,0,0.95,0.97,0.96,1147.0,
31,False,True,Finnish-Swedish,1,0.69,0.55,0.61,124.0,0.93
32,False,True,Kazakh-Russian,0,0.99,0.99,0.99,1350.0,
33,False,True,Kazakh-Russian,1,0.91,0.94,0.93,180.0,0.98
34,False,True,Azerbaijani-Arabic,0,0.92,0.99,0.95,1083.0,
35,False,True,Azerbaijani-Arabic,1,0.52,0.14,0.23,111.0,0.91
36,False,True,Chinese-English,0,0.9,1.0,0.94,816.0,
37,False,True,Chinese-English,1,0.0,0.0,0.0,95.0,0.89
38,False,True,German-French,0,0.98,0.99,0.98,1199.0,
39,False,True,German-French,1,0.87,0.84,0.85,136.0,0.97
40,False,True,English-German,0,0.98,0.99,0.99,1913.0,
41,False,True,English-German,1,0.93,0.88,0.9,294.0,0.98
42,False,True,Romanian-Hungarian,0,0.93,0.97,0.95,1205.0,
43,False,True,Romanian-Hungarian,1,0.64,0.37,0.47,145.0,0.91
44,False,True,Polish-French,0,0.94,0.97,0.95,1470.0,
45,False,True,Polish-French,1,0.69,0.57,0.62,205.0,0.92
46,False,True,Indonesian-Dutch,0,0.95,0.97,0.96,1636.0,
47,False,True,Indonesian-Dutch,1,0.78,0.69,0.73,266.0,0.93
48,False,True,Romanian-French,0,0.97,0.96,0.97,1465.0,
49,False,True,Romanian-French,1,0.74,0.79,0.77,199.0,0.94
