,all_language_evaluate,train_evaluate_pair,language_pair,class,precision,recall,f1_score,support,acc
0,True,False,All_languages,0,0.95,0.98,0.96,17301.0,
1,True,False,All_languages,1,0.8,0.64,0.71,2386.0,0.94
2,False,False,Hindi-Persian,0,0.92,0.98,0.95,1107.0,
3,False,False,Hindi-Persian,1,0.53,0.21,0.3,124.0,0.9
4,False,False,English-French,0,0.98,0.99,0.98,2910.0,
5,False,False,English-French,1,0.91,0.9,0.91,507.0,0.97
6,False,False,Finnish-Swedish,0,0.96,0.96,0.96,1147.0,
7,False,False,Finnish-Swedish,1,0.6,0.63,0.62,124.0,0.92
8,False,False,Kazakh-Russian,0,0.99,0.97,0.98,1350.0,
9,False,False,Kazakh-Russian,1,0.81,0.96,0.88,180.0,0.97
10,False,False,Azerbaijani-Arabic,0,0.91,0.99,0.95,1083.0,
11,False,False,Azerbaijani-Arabic,1,0.0,0.0,0.0,111.0,0.9
12,False,False,Chinese-English,0,0.9,0.99,0.94,816.0,
13,False,False,Chinese-English,1,0.31,0.05,0.09,95.0,0.89
14,False,False,German-French,0,0.96,1.0,0.98,1199.0,
15,False,False,German-French,1,0.95,0.67,0.78,136.0,0.96
16,False,False,English-German,0,0.98,0.98,0.98,1913.0,
17,False,False,English-German,1,0.87,0.88,0.88,294.0,0.97
18,False,False,Romanian-Hungarian,0,0.92,0.98,0.95,1205.0,
19,False,False,Romanian-Hungarian,1,0.62,0.29,0.39,145.0,0.9
20,False,False,Polish-French,0,0.92,0.98,0.95,1470.0,
21,False,False,Polish-French,1,0.73,0.36,0.48,205.0,0.91
22,False,False,Indonesian-Dutch,0,0.95,0.96,0.95,1636.0,
23,False,False,Indonesian-Dutch,1,0.72,0.68,0.7,266.0,0.92
24,False,False,Romanian-French,0,0.96,0.98,0.97,1465.0,
25,False,False,Romanian-French,1,0.82,0.71,0.76,199.0,0.95
26,False,True,Hindi-Persian,0,0.94,0.98,0.96,1107.0,
27,False,True,Hindi-Persian,1,0.7,0.47,0.56,124.0,0.93
28,False,True,English-French,0,0.98,0.99,0.99,2910.0,
29,False,True,English-French,1,0.94,0.91,0.93,507.0,0.98
30,False,True,Finnish-Swedish,0,0.95,0.97,0.96,1147.0,
31,False,True,Finnish-Swedish,1,0.68,0.5,0.58,124.0,0.93
32,False,True,Kazakh-Russian,0,0.99,0.99,0.99,1350.0,
33,False,True,Kazakh-Russian,1,0.93,0.94,0.94,180.0,0.98
34,False,True,Azerbaijani-Arabic,0,0.91,1.0,0.95,1083.0,
35,False,True,Azerbaijani-Arabic,1,0.0,0.0,0.0,111.0,0.91
36,False,True,Chinese-English,0,0.9,1.0,0.94,816.0,
37,False,True,Chinese-English,1,0.0,0.0,0.0,95.0,0.9
38,False,True,German-French,0,0.98,0.99,0.98,1199.0,
39,False,True,German-French,1,0.88,0.84,0.86,136.0,0.97
40,False,True,English-German,0,0.98,0.99,0.99,1913.0,
41,False,True,English-German,1,0.94,0.87,0.9,294.0,0.98
42,False,True,Romanian-Hungarian,0,0.89,1.0,0.94,1205.0,
43,False,True,Romanian-Hungarian,1,0.0,0.0,0.0,145.0,0.89
44,False,True,Polish-French,0,0.94,0.97,0.95,1470.0,
45,False,True,Polish-French,1,0.7,0.55,0.62,205.0,0.92
46,False,True,Indonesian-Dutch,0,0.95,0.97,0.96,1636.0,
47,False,True,Indonesian-Dutch,1,0.78,0.71,0.74,266.0,0.93
48,False,True,Romanian-French,0,0.97,0.96,0.97,1465.0,
49,False,True,Romanian-French,1,0.74,0.8,0.77,199.0,0.94
