,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,DNN_logits,MBERT_cos_sim,XLM_cos_sim,label
0,All_languages,बाज़ूबंद,بازوبند,baːzuːbəndə,bɒzvbnd,armband,Armband,-3.5344992,0.8763051629066467,0.6227849125862122,loan
1,All_languages,अफ़साना,افسانه,afsaːnaː,ɒfsɒnh,Afsana,Fiction,0.031143538999999998,0.7261738181114197,0.6756026148796082,loan
2,All_languages,ख़ामोश,خاموش,xaːmoʃ,xɒmvʃ,silent,be quite,-1.7001398999999997,0.8984519243240356,0.6658168435096741,loan
3,All_languages,तरबूज़,تربز,tərbuːz,trbz,Watermelon,poop,-0.87747043,0.8754294514656067,0.6341392397880554,loan
4,All_languages,आसमान,آسمان,aːsmaːn,ɒsmɒn,Sky,the sky,-1.0806943000000002,0.8477272391319275,0.7005227208137512,loan
5,All_languages,इक़रार,اقرار,iqraːr,ɒɣrɒr,Pledge,Confession,-4.9531384,0.5681226849555969,0.6318235397338867,loan
6,All_languages,तंबू,تنبو,təmbuː,tnbv,Tent,Tent,-1.9922212,0.8538159132003784,0.7901286482810974,loan
7,All_languages,आब,آب,aːb,ɒb,now,Water,-1.9275308999999998,0.8495697975158691,0.702793300151825,loan
8,All_languages,हादसा,حادثه,ɦaːdsaː,hɒdsh,accident,the accident,-0.82836175,0.86766117811203,0.6696993708610535,loan
9,All_languages,बालिश,بالش,baːliʃ,bɒlʃ,Childish,Pillow,0.18830705,0.8828535079956055,0.5966184735298157,loan
10,All_languages,लाला,لاله,laːlaː,lɒlh,Lala,لاله,-0.34112954,0.8968381881713867,0.6336832046508789,loan
11,All_languages,दस्तख़त,دستخط,dəstəxət,dstxt,Signature,Signature,-0.6592637,0.8140392899513245,0.6805640459060669,loan
12,All_languages,आइंदा,آینده,aːindaː,ɒjndh,in the future,the future,-3.6952398,0.8163830637931824,0.7080240845680237,loan
13,All_languages,सुराख़,سوراخ,suraːx,svrɒx,eyelet,Hole,-2.1433172000000003,0.902113437652588,0.7836636900901794,loan
