,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,DNN_logits,MBERT_cos_sim,XLM_cos_sim,loan_unicode_Latin,loan_unicode_Greek,loan_unicode_Cyrillic,loan_unicode_Arabic,loan_unicode_Devanagari,loan_unicode_Bengali,loan_unicode_Gurmukhi,loan_unicode_Tamil,loan_unicode_Telugu,loan_unicode_Malayalam,loan_unicode_Myanmar,loan_unicode_Chinese,original_unicode_Latin,original_unicode_Greek,original_unicode_Cyrillic,original_unicode_Arabic,original_unicode_Devanagari,original_unicode_Bengali,original_unicode_Gurmukhi,original_unicode_Tamil,original_unicode_Telugu,original_unicode_Malayalam,original_unicode_Myanmar,original_unicode_Chinese,label
88,तेज़,تز,tez,tz,fast,Thesis,0.3333333333333333,0.3333333333333333,0.2986111111111111,0.3333333333333333,2.4166666666666665,0.3333333333333333,4,-1.6809862000000002,0.90685314,0.39479634,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
321,Valor,Valeur,ˈvælər,valœʀ,Valor,Value,0.6666666666666666,0.0,0.05,0.0666666666666666,0.575,0.05,2,-2.8235304,0.8754426,0.7155921,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,synonym
368,cham,chyme,ʧæm,ʃim,cham,chyme,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3611111111111111,2.75,0.3611111111111111,2,-1.9819717000000001,0.8000258000000001,0.66871077,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hard_negative
528,fragile,fragile,ˈfræʤəl,fʀaʒil,fragile,fragile,0.7142857142857143,0.1666666666666666,0.2013888888888888,0.2291666666666666,1.7291666666666667,0.2152777777777778,0,-3.6666567000000003,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,synonym
671,Publish,Publier,ˈpəblɪʃ,pybljəʀ,Publish,Publish,0.7142857142857143,0.2857142857142857,0.1994047619047619,0.2202380952380952,2.017857142857143,0.2142857142857142,2,-3.5236254000000002,0.9063648000000001,0.6226239,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,synonym
685,conservatoire,conservatrice,conservatoire*,kɔ̃sɛʀvatʀiz,conservatoire,conservative,0.6428571428571429,0.3846153846153846,0.1891025641025641,0.2211538461538461,2.0,0.20352564102564105,2,-4.8085055,0.7499865,0.87996155,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hard_negative
954,Mortal,Mortel,ˈmɔrtəl,mɔʀtəl,Mortal,Mortal,0.2857142857142857,0.0,0.0277777777777777,0.0416666666666666,0.3125,0.0277777777777777,1,-2.7629879,0.8547841999999999,0.7916099,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,synonym
964,Diligent,Diligent,ˈdɪlɪʤənt,diliʒɑ̃,Diligent,Diligent,0.7777777777777778,0.4285714285714285,0.2291666666666666,0.2619047619047618,3.1428571428571432,0.2410714285714285,0,-2.1268477000000003,0.79051423,0.4705055,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,synonym
1003,Portion,Portion,ˈpɔrʃən,pɔʀsjɔ̃,Portion,Portion,0.8571428571428571,0.3333333333333333,0.1215277777777777,0.1527777777777777,2.1666666666666665,0.1215277777777777,0,-3.7367635000000003,0.83538043,0.89758086,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,synonym
1030,flatter,flatter,ˈflætər,flatəʀ,flatter,flatter,0.4285714285714285,0.0,0.0277777777777777,0.0416666666666666,0.3125,0.0277777777777777,0,-2.4885688,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,synonym
1072,roux,coup,ru,ku,roux,coup,0.5,0.5,0.15625,0.2083333333333333,2.6875,0.15625,2,-3.2847347,0.87978745,0.8315629000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hard_negative
1074,Insolent,Insolent,ˈɪnsələnt,ɛ̃sɔlɑ̃,Insolent,Insolent,0.7777777777777778,0.375,0.3776041666666666,0.4114583333333333,3.09375,0.4088541666666666,0,-1.7456623,0.8756062,0.6533436,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,synonym
1123,disciple,disciple,dɪˈsaɪpəl,dizipl,disciple,disciple,0.6666666666666666,0.25,0.2395833333333333,0.265625,1.90625,0.265625,0,-3.3048309999999996,0.8992895000000001,0.70201075,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,synonym
1138,Cordial,Cordial,ˈkɔrʤəl,kɔʀdjal,Cordial,Cordial,0.7142857142857143,0.2857142857142857,0.2946428571428571,0.3392857142857143,2.517857142857143,0.3273809523809524,0,-2.057835,0.9210812,0.7319258000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,synonym
1175,evident,évident,ˈɛvədənt,evidɑ̃,evident,obvious,0.75,0.2857142857142857,0.30654761904761896,0.3333333333333333,2.5,0.3303571428571428,1,-4.1870866,0.83464414,0.52845675,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,synonym
1235,providence,Providence,ˈprɑvədəns,pʀɔvidɑ̃s,providence,Providence,0.6,0.1111111111111111,0.1666666666666666,0.1898148148148148,1.4861111111111112,0.1759259259259259,1,-3.2509506,0.8206979,0.7789408,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,synonym
1330,plootu,Pluto,ploːtu,plʉːtuː,plootu,Pluto,0.28571428571428603,0.0,0.0375,0.0416666666666667,0.45,0.0375,4,-3.9228659,0.57806045,0.3541829,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hard_negative
1392,kaapata,kaputt,kɑːpɑtɑ,kɑːpɵt,capture,broken,0.28571428571428603,0.166666666666667,0.170138888888889,0.19444444444444395,1.4583333333333302,0.190972222222222,3,-3.672071,0.82780147,0.683991,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hard_negative
1397,Kompakti,Kompakt,kompɑkti,kɔmpɐkt,Compact,Compact,0.375,0.125,0.125,0.140625,1.03125,0.138020833333333,1,-3.4179687999999993,0.9670588999999999,0.92429084,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,synonym
1684,контейнер,конвейер,kontjejnjer,konvʲejer,container,conveyor,0.36363636363636404,0.36363636363636404,0.265151515151515,0.29166666666666696,2.25,0.289772727272727,2,1.6725136999999999,0.91922545,0.8307814,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,hard_negative
1824,берш,ер,bjerʃ,jer,берш,male,0.4,0.4,0.3625,0.4,2.9,0.4,2,-1.9643433000000001,0.74438196,0.6581323,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,hard_negative
1983,şərab,ش ر ب,ʃærɑb,ʃ r b,wine,drink,0.4,0.4,0.3541666666666667,0.4,2.9,0.4,5,-4.178844000000001,0.90589356,0.6213769,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
1984,şəkil,شُعْبَة,ʃækɪl,ʃُʕْbَt,picture,Section,0.8571428571428571,0.6,0.2958333333333333,0.325,4.025,0.3166666666666667,7,0.90488434,0.80863184,0.5991165,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,random
2082,bələd,ب ل د,bælæd,b l d,familiar,country,0.4,0.4,0.3583333333333333,0.4,2.9,0.4,5,-1.0271430000000001,0.8616202,0.7915475000000001,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
2237,西里爾,Rilie,ɕiliɻ̩,rilie*,Cyrillic,Riley,0.5,0.2,0.0708333333333333,0.1,1.0,0.0708333333333333,5,-6.553727,0.9255039,0.6743906,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hard_negative
2274,魁北克,Caraveo,kʰueipeikʰe,kɑˈrɑvioʊ,Quebec,Caraveo,0.8181818181818182,0.2222222222222222,0.2199074074074074,0.2546296296296296,2.5138888888888893,0.2314814814814814,7,-2.9889963,0.7428908000000001,0.72503495,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hard_negative
2375,Velo,Vallée,feːloː,vale,Velo,Vallée,0.8333333333333334,0.0,0.0625,0.0625,0.6875,0.0625,4,1.0316978,0.85384107,0.42594704,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hard_negative
2386,Comic,Comique,koːmiːk,kɔmik,Comic,Comical,0.4285714285714285,0.0,0.025,0.025,0.25,0.025,3,-2.5757952,0.7966793000000001,0.7932228,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,synonym
2599,Figge,Fick,fɪg,fɪk,Figs,Got,0.3333333333333333,0.3333333333333333,0.2986111111111111,0.3333333333333333,2.4166666666666665,0.3333333333333333,3,0.7436108,0.9400151,0.8285733000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hard_negative
2639,Ahlen,aalen,ˈɑlən,ɑːlən,awls,bask,0.4,0.0,0.0104166666666666,0.0104166666666666,0.125,0.0104166666666666,2,1.9014723000000002,0.8076420999999999,0.3906118,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hard_negative
2655,Alig,Kliff,ˈælɪg,klɪf,Alig,Cliff,0.6,0.5,0.3229166666666666,0.3541666666666667,4.09375,0.34375,3,-0.24505929999999998,0.8065602,0.47564548,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hard_negative
2679,echt,Ether,echt*,eːtɐ,real,Ether,0.6,0.75,0.328125,0.3645833333333333,3.625,0.3489583333333333,4,0.6613963,0.86761504,0.6449123999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hard_negative
2819,Amusement,Amüsement,əmˈjuzmənt,ɑːmyːseːmənt,Amusement,Amüsement,0.5833333333333334,0.2222222222222222,0.1180555555555555,0.1388888888888889,1.9166666666666667,0.1180555555555555,1,-4.076303500000001,0.82257783,0.70048356,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,synonym
3050,Hucke,Haack,hək,hak,Hucke,haack,0.3333333333333333,0.0,0.0416666666666666,0.0416666666666666,0.4166666666666667,0.0416666666666666,3,-2.3178822999999995,0.911386,0.8204017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hard_negative
3086,Fluent,Fließend,fluənt,fliːsənt,Fluent,Fluently,0.375,0.1428571428571428,0.1547619047619047,0.1666666666666666,1.3214285714285714,0.1666666666666666,4,-3.5343056000000006,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,synonym
3457,bard,barge,bart,baʀʒ,bard,barge,0.5,0.0,0.0833333333333333,0.1041666666666666,0.96875,0.0833333333333333,2,3.3300793,0.92366946,0.72483444,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hard_negative
3638,semiotyka,symbiotique,sɛmjɔtɨka,sɛ̃bjɔtik,semiotics,symbiotic,0.4444444444444444,0.2222222222222222,0.1180555555555555,0.1296296296296296,1.1944444444444444,0.1296296296296296,6,4.1072940000000004,0.8685353000000001,0.64998305,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hard_negative
3687,imitacja,invitation,imitat͡sja,ɛ̃vitasjɔ̃,imitation,invitation,0.7,0.25,0.0703125,0.0729166666666666,1.078125,0.0703125,6,4.2221155,0.47468764,0.619685,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hard_negative
3818,wersyfikacja,falsification,vɛrsɨfikat͡sja,falsifikasjɔ̃,versification,falsification,0.5714285714285714,0.0833333333333333,0.0486111111111111,0.0555555555555555,0.5625,0.0486111111111111,9,0.33253357,0.73040813,0.38895035,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hard_negative
3888,master,Passer,mastər,pɑssɛr,master,Passer,0.6666666666666666,0.1666666666666666,0.0451388888888888,0.0486111111111111,0.8333333333333334,0.0451388888888888,2,-1.9495118999999999,0.7886566999999999,0.5598816,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hard_negative
3927,perlop,pyroop,pərlop,pjroːp,perlop,pyroop,0.5,0.1666666666666666,0.1875,0.2083333333333333,1.8541666666666667,0.2013888888888889,2,-3.5726623999999996,0.8408073,0.6510551,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hard_negative
3941,pretensi,pretentie,prətənsi,preːtɛntiːeː,pretension,pretentiousness,0.5833333333333334,0.1111111111111111,0.1273148148148148,0.1388888888888889,1.1666666666666667,0.1388888888888889,2,-2.338202,0.8406996999999999,0.8385133,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,synonym
4002,basil,basis,basil,baːsɪs,basil,basis,0.5,0.2,0.0416666666666666,0.0416666666666666,0.7,0.0416666666666666,1,-0.2979381,0.80501264,0.54906905,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hard_negative
4019,fonetik,fonetisch,fonətik,foːneːtɪs,phonetics,phonetically,0.5555555555555556,0.1428571428571428,0.0625,0.0654761904761904,0.7321428571428571,0.0625,3,-2.4073536,0.86247545,0.6705241999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hard_negative
4105,ransum,Fransum,ransum,frɑnsʏm,ration,Fransum,0.4285714285714285,0.1428571428571428,0.1577380952380952,0.1726190476190476,1.3214285714285714,0.1696428571428571,1,-11.972595,0.6652427,0.8711341,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hard_negative
4137,baki,baai,baki,baːjiː,mouth,bay,0.5,0.25,0.0729166666666666,0.0729166666666666,1.6875,0.0729166666666666,1,-4.644415400000001,0.94898075,0.6316663,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hard_negative
4370,simpati,sympathie,simpati,sjmpaːtiːeː,sympathy,sympathy,0.4545454545454545,0.25,0.1328125,0.1510416666666666,1.328125,0.1458333333333333,3,-2.0583546000000004,0.76369375,0.33839109999999994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,synonym
4402,Rezonabil,Raisonnable,rezonabil,ʀɛzɔnabl,Reasonable,Within reason,0.4444444444444444,0.1111111111111111,0.1273148148148148,0.1481481481481481,0.9375,0.1388888888888889,6,1.4390638999999998,0.9278637766838074,0.6822462677955627,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,synonym
4444,planta,plate,planta,plat,planta,plate,0.3333333333333333,0.3333333333333333,0.3020833333333333,0.3333333333333333,2.4166666666666665,0.3333333333333333,2,-1.7666688999999998,0.6455637812614441,0.764115571975708,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hard_negative
