,all_language_evaluate,train_evaluate_pair,language_pair,class,precision,recall,f1_score,support,acc
0,True,False,,0,0.98,0.98,0.98,2389.0,
1,True,False,,1,0.98,0.98,0.98,2398.0,0.98
2,False,False,Hindi-Persian,0,0.99,0.97,0.98,124.0,
3,False,False,Hindi-Persian,1,0.97,0.99,0.98,125.0,0.98
4,False,False,English-French,0,0.99,0.97,0.98,507.0,
5,False,False,English-French,1,0.97,0.99,0.98,508.0,0.98
6,False,False,Finnish-Swedish,0,0.98,0.98,0.98,125.0,
7,False,False,Finnish-Swedish,1,0.98,0.98,0.98,125.0,0.98
8,False,False,Kazakh-Russian,0,1.0,0.98,0.99,183.0,
9,False,False,Kazakh-Russian,1,0.98,1.0,0.99,181.0,0.99
10,False,False,Azerbaijani-Arabic,0,0.98,0.98,0.98,112.0,
11,False,False,Azerbaijani-Arabic,1,0.98,0.98,0.98,112.0,0.98
12,False,False,Chinese-English,0,0.93,0.98,0.95,94.0,
13,False,False,Chinese-English,1,0.98,0.93,0.95,96.0,0.95
14,False,False,German-French,0,0.97,0.99,0.98,135.0,
15,False,False,German-French,1,0.99,0.97,0.98,137.0,0.98
16,False,False,English-German,0,0.99,0.98,0.98,293.0,
17,False,False,English-German,1,0.98,0.99,0.98,295.0,0.98
18,False,False,Romanian-Hungarian,0,0.94,0.99,0.96,146.0,
19,False,False,Romanian-Hungarian,1,0.99,0.93,0.96,146.0,0.96
20,False,False,Polish-French,0,0.97,0.97,0.97,204.0,
21,False,False,Polish-French,1,0.97,0.97,0.97,206.0,0.97
22,False,False,Indonesian-Dutch,0,0.99,0.99,0.99,267.0,
23,False,False,Indonesian-Dutch,1,0.99,0.99,0.99,267.0,0.99
24,False,False,Romanian-French,0,0.99,0.95,0.97,199.0,
25,False,False,Romanian-French,1,0.96,0.99,0.98,200.0,0.97
26,False,True,Hindi-Persian,0,0.99,0.98,0.98,124.0,
27,False,True,Hindi-Persian,1,0.98,0.99,0.98,125.0,0.98
28,False,True,English-French,0,0.99,0.98,0.98,507.0,
29,False,True,English-French,1,0.98,0.99,0.98,508.0,0.98
30,False,True,Finnish-Swedish,0,0.98,0.96,0.97,125.0,
31,False,True,Finnish-Swedish,1,0.96,0.98,0.97,125.0,0.97
32,False,True,Kazakh-Russian,0,0.99,0.99,0.99,183.0,
33,False,True,Kazakh-Russian,1,0.99,0.99,0.99,181.0,0.99
34,False,True,Azerbaijani-Arabic,0,0.98,0.99,0.99,112.0,
35,False,True,Azerbaijani-Arabic,1,0.99,0.98,0.99,112.0,0.99
36,False,True,Chinese-English,0,0.95,0.98,0.96,94.0,
37,False,True,Chinese-English,1,0.98,0.95,0.96,96.0,0.96
38,False,True,German-French,0,0.99,0.98,0.98,135.0,
39,False,True,German-French,1,0.98,0.99,0.98,137.0,0.98
40,False,True,English-German,0,0.98,0.98,0.98,293.0,
41,False,True,English-German,1,0.98,0.98,0.98,295.0,0.98
42,False,True,Romanian-Hungarian,0,0.96,0.97,0.97,146.0,
43,False,True,Romanian-Hungarian,1,0.97,0.96,0.97,146.0,0.97
44,False,True,Polish-French,0,0.98,0.96,0.97,204.0,
45,False,True,Polish-French,1,0.96,0.98,0.97,206.0,0.97
46,False,True,Indonesian-Dutch,0,0.98,0.99,0.99,267.0,
47,False,True,Indonesian-Dutch,1,0.99,0.98,0.98,267.0,0.99
48,False,True,Romanian-French,0,0.98,0.96,0.97,199.0,
49,False,True,Romanian-French,1,0.97,0.98,0.98,200.0,0.97
