,language_pair,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode_Latin,loan_unicode_Greek,loan_unicode_Cyrillic,loan_unicode_Arabic,loan_unicode_Devanagari,loan_unicode_Bengali,loan_unicode_Gurmukhi,loan_unicode_Tamil,loan_unicode_Telugu,loan_unicode_Malayalam,loan_unicode_Myanmar,loan_unicode_Chinese,original_unicode_Latin,original_unicode_Greek,original_unicode_Cyrillic,original_unicode_Arabic,original_unicode_Devanagari,original_unicode_Bengali,original_unicode_Gurmukhi,original_unicode_Tamil,original_unicode_Telugu,original_unicode_Malayalam,original_unicode_Myanmar,original_unicode_Chinese
0,All languages,-1.4300301314155672,-1.1291596087395275,-3.2552253240717555,2.1448755879085892,-0.43778438897880545,1.882881435811664,-2.347679753385603,0.0,0.0,0.5485725075449189,-0.198269423499975,-0.27343878859899795,0.0,0.0,0.01485118587084304,0.0,0.0,0.0,0.0,0.5992926469211729,0.0,0.0,-0.198269423499975,0.0,0.0,0.0,-0.3331754751242265,0.0,0.0,0.0,0.0
1,Hindi-Persian,-3.2278621018913816,-0.6696389859361267,-0.1389394875133002,-0.44584745171085255,-0.24010742148364114,0.7293535410688762,-0.31884915648982914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,English-French,-0.7055859158252806,-0.3451436634669773,-0.3851063584436286,1.431133090879794,-0.5614922345864455,0.004805139386148687,-4.5393394785311445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Finnish-Swedish,-0.8826988427508842,-0.7182124225839891,0.6026535676371274,0.7243871699554273,-0.02907424829375585,-0.4328990200036037,-3.605652670213915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Kazakh-Russian,-0.859478126931648,0.798744980964861,0.1891261302130956,0.0708656039935108,-2.558833589692521,0.6515687811903059,-4.469161755162913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Azerbaijani-Arabic,-1.9140154687093118,-1.9146580931893056,-0.37678956787533024,-1.1906486142913137,1.0511310664355593,1.0649646561206476,0.3097004940672641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Chinese-English,-0.6228471355846117,-1.8002862133905777,-2.20979257530817,2.762229470858585,-0.23576242970515263,0.12155081358929799,-0.20612882821392722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,German-French,-1.1093280142019268,-0.6962195436958942,0.260404669723756,0.9163741438265056,-1.378416570092061,0.438564593714959,-3.811563064236799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,English-German,-0.3488179727839694,-0.9765264180896173,0.1812125519757734,0.3620892566063154,-0.2000567979032249,0.5418934114553343,-5.13911468765535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Romanian-Hungarian,-1.715224397682012,-1.2787560607538018,-0.3149047424646176,0.7087443991288074,-0.628852944677033,0.4432806205468964,-0.7548861222951802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Polish-French,-1.2383737484052202,-1.2581776591493163,0.5645467021980153,1.9611483084017969,-2.296970179262283,-0.3327427048178178,-1.882685859383029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Indonesian-Dutch,-0.3131758699767342,0.08662355396134912,0.026261885600694115,1.3107952515048864,-4.134414125489762,1.7466112073649396,-3.6774923787624787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Romanian-French,-1.2466849448736557,-0.9687426825930758,-0.00339818720470673,-0.046276311311222694,-0.6001282974671291,0.40842613380544107,-3.4851036498360313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
