,all_language_evaluate,train_evaluate_pair,language_pair,class,precision,recall,f1_score,support,acc
0,True,False,,0,0.93,0.92,0.93,2389.0,
1,True,False,,1,0.92,0.93,0.93,2398.0,0.93
2,False,False,Hindi-Persian,0,0.89,0.89,0.89,124.0,
3,False,False,Hindi-Persian,1,0.89,0.9,0.89,125.0,0.89
4,False,False,English-French,0,0.96,0.95,0.95,507.0,
5,False,False,English-French,1,0.95,0.96,0.95,508.0,0.95
6,False,False,Finnish-Swedish,0,0.94,0.89,0.91,125.0,
7,False,False,Finnish-Swedish,1,0.89,0.94,0.92,125.0,0.92
8,False,False,Kazakh-Russian,0,0.98,0.99,0.98,183.0,
9,False,False,Kazakh-Russian,1,0.99,0.98,0.98,181.0,0.98
10,False,False,Azerbaijani-Arabic,0,0.82,0.84,0.83,112.0,
11,False,False,Azerbaijani-Arabic,1,0.83,0.81,0.82,112.0,0.83
12,False,False,Chinese-English,0,0.71,0.74,0.73,94.0,
13,False,False,Chinese-English,1,0.74,0.71,0.72,96.0,0.73
14,False,False,German-French,0,0.95,0.94,0.95,135.0,
15,False,False,German-French,1,0.94,0.96,0.95,137.0,0.95
16,False,False,English-German,0,0.98,0.95,0.96,293.0,
17,False,False,English-German,1,0.95,0.98,0.96,295.0,0.96
18,False,False,Romanian-Hungarian,0,0.9,0.92,0.91,146.0,
19,False,False,Romanian-Hungarian,1,0.92,0.9,0.91,146.0,0.91
20,False,False,Polish-French,0,0.88,0.96,0.92,204.0,
21,False,False,Polish-French,1,0.96,0.87,0.91,206.0,0.92
22,False,False,Indonesian-Dutch,0,0.95,0.9,0.93,267.0,
23,False,False,Indonesian-Dutch,1,0.91,0.95,0.93,267.0,0.93
24,False,False,Romanian-French,0,0.99,0.9,0.94,199.0,
25,False,False,Romanian-French,1,0.91,0.99,0.95,200.0,0.94
26,False,True,Hindi-Persian,0,0.94,0.92,0.93,124.0,
27,False,True,Hindi-Persian,1,0.92,0.94,0.93,125.0,0.93
28,False,True,English-French,0,0.97,0.97,0.97,507.0,
29,False,True,English-French,1,0.97,0.97,0.97,508.0,0.97
30,False,True,Finnish-Swedish,0,0.96,0.94,0.95,125.0,
31,False,True,Finnish-Swedish,1,0.94,0.96,0.95,125.0,0.95
32,False,True,Kazakh-Russian,0,0.98,0.99,0.99,183.0,
33,False,True,Kazakh-Russian,1,0.99,0.98,0.99,181.0,0.99
34,False,True,Azerbaijani-Arabic,0,0.94,0.91,0.92,112.0,
35,False,True,Azerbaijani-Arabic,1,0.91,0.94,0.93,112.0,0.92
36,False,True,Chinese-English,0,0.81,0.83,0.82,94.0,
37,False,True,Chinese-English,1,0.83,0.81,0.82,96.0,0.82
38,False,True,German-French,0,0.96,0.97,0.96,135.0,
39,False,True,German-French,1,0.97,0.96,0.96,137.0,0.96
40,False,True,English-German,0,0.98,0.98,0.98,293.0,
41,False,True,English-German,1,0.98,0.98,0.98,295.0,0.98
42,False,True,Romanian-Hungarian,0,0.9,0.91,0.9,146.0,
43,False,True,Romanian-Hungarian,1,0.91,0.9,0.9,146.0,0.9
44,False,True,Polish-French,0,0.93,0.94,0.93,204.0,
45,False,True,Polish-French,1,0.94,0.93,0.93,206.0,0.93
46,False,True,Indonesian-Dutch,0,0.95,0.93,0.94,267.0,
47,False,True,Indonesian-Dutch,1,0.93,0.96,0.94,267.0,0.94
48,False,True,Romanian-French,0,0.98,0.91,0.95,199.0,
49,False,True,Romanian-French,1,0.92,0.98,0.95,200.0,0.95
