,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode_Latin,loan_unicode_Greek,loan_unicode_Cyrillic,loan_unicode_Arabic,loan_unicode_Devanagari,loan_unicode_Bengali,loan_unicode_Gurmukhi,loan_unicode_Tamil,loan_unicode_Telugu,loan_unicode_Malayalam,loan_unicode_Myanmar,loan_unicode_Chinese,original_unicode_Latin,original_unicode_Greek,original_unicode_Cyrillic,original_unicode_Arabic,original_unicode_Devanagari,original_unicode_Bengali,original_unicode_Gurmukhi,original_unicode_Tamil,original_unicode_Telugu,original_unicode_Malayalam,original_unicode_Myanmar,original_unicode_Chinese,label
0,,तह,تا,təɦ,tɒ,Fold,until the,0.6666666666666666,0.3333333333333333,0.3402777777777778,0.375,2.833333333333333,0.375,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
1,,मीर,مار,miːr,mɒr,mir,Kill,0.5,0.0,0.0694444444444444,0.0694444444444444,0.8333333333333334,0.0694444444444444,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
2,,बेरूख़ी,باراک,beruːxiː,bɒrɒk,rudeness,Barack,0.75,0.1666666666666666,0.2048611111111111,0.2222222222222222,1.9583333333333333,0.2222222222222222,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
3,,फ़िक्र,فاخره,fikrə,fɒxrh,concern,luxury,0.6,0.2,0.0833333333333333,0.0916666666666666,1.625,0.0833333333333333,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
4,,बेनिसन,بنیسون,benisən,bnjsvn,Bennison,Benison,0.4285714285714285,0.4285714285714285,0.1785714285714285,0.2083333333333333,2.4464285714285716,0.1934523809523809,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,synonym
5,,खतरा,خطر,kʰətraː,xtr,to risk,the danger,0.7142857142857143,0.4,0.375,0.4166666666666666,3.15,0.4166666666666666,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,synonym
6,,दुकान,دوکان,dukaːn,dvkɒn,shop,The shop,0.5,0.2,0.0875,0.1,1.9,0.0875,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
7,,क़ीमत,آدمیت,qiːmət,ɒdmjt,price,humanity,0.6666666666666666,0.6,0.1708333333333333,0.2,3.95,0.1708333333333333,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
8,,हुक्मरान,هاشمیان,ɦukməraːn,hɒʃmjɒn,ruler,هاشمیان,0.7777777777777778,0.25,0.1848958333333333,0.2135416666666666,2.0625,0.2057291666666666,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
9,,गंदा,زننده,ɡəndaː,znndh,Dirty,زننده,0.6666666666666666,0.6,0.1583333333333333,0.1833333333333333,3.15,0.1583333333333333,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,synonym
10,,naïf,baffe,naïf*,baf,naive,slap,0.6,0.3333333333333333,0.2708333333333333,0.3020833333333333,2.71875,0.296875,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hard_negative
11,,mentalité,mortalité,mentalité*é,mɔʀtalite,mentality,mortality,0.4545454545454545,0.2222222222222222,0.1270833333333333,0.1416666666666666,1.1875,0.1375,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hard_negative
12,,laïcité,Raîche,laïcité*é,ʀaiʃ,secularism,Raîche,0.7777777777777778,0.2,0.4895833333333334,0.546875,4.140625,0.5416666666666666,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,random
13,,Lethal,Mortel,ˈliθəl,mɔʀtəl,Lethal,Mortal,0.6666666666666666,0.3333333333333333,0.2256944444444444,0.2499999999999999,2.2291666666666665,0.2465277777777777,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,synonym
14,,esteem,estime,ɛˈstim,ɛstim,esteem,valued,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,synonym
