,language_pair,plain Levenshtein,DNN_logits,MBERT_cos_sim,XLM_cos_sim
0,All languages,-1.704202324629766,4.950012697046084,-0.017028678504255934,-0.1701859486999034
1,Hindi-Persian,0.08897901288146248,6.138453000159692,-0.029217095207532063,0.150344494587228
2,English-French,-3.0718013811425657,3.479864502952147,0.196028263647627,-0.13748596793322052
3,Finnish-Swedish,-2.9405393623282854,3.7773770794717514,0.046614306635284604,-0.01273564407062889
4,Kazakh-Russian,-3.8877755147060586,4.99368090489976,-0.08563318929144682,0.03807237587655338
5,Azerbaijani-Arabic,0.8254622253435787,6.361426558545522,-0.09564511368793098,0.12391373464335999
6,Chinese-English,0.20840984074795837,3.4805495505561845,-0.04872518199515543,0.13252035519143407
7,German-French,-3.3037512738011343,3.6351044091587403,-0.11737514234182354,0.06888811334252296
8,English-German,-3.854295996832129,3.1337902253116727,-0.23400316972397528,0.22447653253805536
9,Romanian-Hungarian,-1.2700650153202446,4.702000611120766,0.0018224183436125342,0.23563523328054584
10,Polish-French,-1.7387593599364841,4.314779711076672,0.05721072199552862,-0.012697069838088416
11,Indonesian-Dutch,-2.53900589425941,5.0332670797983035,0.14836492530752382,0.6823609632616329
12,Romanian-French,-2.672656544858631,3.9064706703299343,0.14263828658234654,-0.16175970695910363
