,language_pair,plain Levenshtein,DNN_logits,MBERT_cos_sim,XLM_cos_sim
0,All_languages,-0.9435666898069783,2.8335886432699233,-0.006319631831686046,-0.11394553529564178
1,Hindi-Persian,-0.009143899198193917,3.4362216263818075,-0.04445046554132703,0.051226675481131786
2,English-French,-1.664672237105009,1.7948468446812709,0.08485661872818517,-0.05899262732238432
3,Finnish-Swedish,-1.5981669539368402,2.183384452236865,0.0383414917535998,-0.0364056735805669
4,Kazakh-Russian,-1.7904610713631406,2.748573621668511,-0.04445861170084564,0.025102141264180977
5,Azerbaijani-Arabic,0.5004187084044882,4.068288880616429,-0.03645460464029582,0.12314237407190265
6,Chinese-English,0.011244487414787563,2.020398678219745,-0.06946090108883185,0.11978356789302919
7,German-French,-1.9158948941740623,1.9887635735177958,-0.023795071108483973,0.08421340326417237
8,English-German,-2.048668355095245,1.51874544265973,-0.14738281407447396,0.12265224740751757
9,Romanian-Hungarian,-0.7844862730025337,2.6716072065964895,0.05515680265914408,0.1411204859529791
10,Polish-French,-0.9798426085795232,2.326355442104314,0.029271253889377125,-0.007543026640000949
11,Indonesian-Dutch,-1.4189195376929455,2.742769470391481,0.04350485326309378,0.34969413787211945
12,Romanian-French,-1.4848641083495873,2.129577292496018,0.14267421201494873,-0.12111324382142308
