,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,DNN_logits,MBERT_cos_sim,XLM_cos_sim,loan_unicode_Latin,loan_unicode_Greek,loan_unicode_Cyrillic,loan_unicode_Arabic,loan_unicode_Devanagari,loan_unicode_Bengali,loan_unicode_Gurmukhi,loan_unicode_Tamil,loan_unicode_Telugu,loan_unicode_Malayalam,loan_unicode_Myanmar,loan_unicode_Chinese,original_unicode_Latin,original_unicode_Greek,original_unicode_Cyrillic,original_unicode_Arabic,original_unicode_Devanagari,original_unicode_Bengali,original_unicode_Gurmukhi,original_unicode_Tamil,original_unicode_Telugu,original_unicode_Malayalam,original_unicode_Myanmar,original_unicode_Chinese,label
11,सय्याद,ساییدن,səjjaːd,sɒjjdn,Syed,Abrasion,0.5714285714285714,0.3333333333333333,0.09375,0.1041666666666666,2.125,0.09375,6,-2.9495572999999995,0.8131517,0.75063586,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
22,साफ़,ساو,saːf,sɒv,clean,saw,0.75,0.0,0.0555555555555555,0.0555555555555555,0.5833333333333334,0.0555555555555555,4,-1.4409923999999998,0.8464913000000001,0.6434922,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
40,पेच,بیش,pet͡ʃ,bjʃ,Screw,More,0.8,0.6666666666666666,0.0833333333333333,0.0972222222222222,1.5416666666666667,0.0833333333333333,3,0.76987135,0.9048191999999999,0.48701579999999994,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
77,रास्ता,راست,raːstaː,rɒst,way,Right,0.5714285714285714,0.2,0.2041666666666667,0.225,1.75,0.225,6,-2.4790134,0.94389284,0.61851686,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
86,सीना,سینا,siːnaː,sjnɒ,sew,Sina,0.6666666666666666,0.25,0.0625,0.0729166666666666,1.09375,0.0625,4,-1.1980758,0.91863483,0.74161315,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
100,जाहिल,جایگاه,d͡ʒaːɦil,d͡ʒɒjɡɒh,goth,Place,0.625,0.1666666666666666,0.2430555555555555,0.2638888888888889,2.520833333333333,0.2604166666666667,6,-0.69247854,0.7880993000000001,0.5375523,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
163,इरादा,ارابه,iraːdaː,ɒrɒbh,the intention,Chariot,0.8571428571428571,0.4,0.1291666666666666,0.1416666666666666,2.05,0.1291666666666666,5,1.2302265,0.87375605,0.6680020999999999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
169,शहज़ादा,شانزده,ʃəɦzaːdaː,ʃɒnzdh,prince,Sixteen,0.6666666666666666,0.4285714285714285,0.2083333333333333,0.2321428571428571,2.392857142857143,0.2232142857142857,7,-1.5473343000000002,0.9002341999999999,0.71519446,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
216,ख़ूबानी,خوانا,xuːbaːniː,xvɒnɒ,Apricot,Readable,0.7777777777777778,0.1666666666666666,0.2152777777777778,0.236111111111111,2.0625,0.2326388888888888,7,1.9555263999999999,0.87059075,0.7692164,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
221,कार,خار,kaːr,xɒr,car,Thorn,0.75,0.0,0.0555555555555555,0.0555555555555555,0.8333333333333334,0.0555555555555555,3,-0.15682176,0.88866436,0.71993214,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
246,माल,مار,maːl,mɒr,Goods,Kill,0.75,0.0,0.0833333333333333,0.1111111111111111,1.0,0.0833333333333333,3,-0.70171076,0.83668065,0.84165597,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
249,ज़ायक़ा,زایچه,zaːjqaː,zɒjt͡ʃh,taste,Horoscope,0.8571428571428571,0.2,0.1041666666666666,0.1166666666666666,1.75,0.1041666666666666,7,1.3519043,0.84878695,0.75350636,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
263,सैलाब,تالاب,sæːlaːb,tɒlɒb,inundation,Wetlands,0.7142857142857143,0.0,0.0583333333333333,0.0583333333333333,0.8,0.0583333333333333,5,-0.64788395,0.8987685999999999,0.7819895,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
297,बाद,باد,baːd,bɒd,Later,Wind,0.5,0.0,0.0416666666666666,0.0416666666666666,0.5,0.0416666666666666,3,-1.1025306000000001,0.7802131,0.6859481,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
323,मर्तबा,مرتب,mərtəbaː,mrtb,frequently,Edited by,0.5,0.4285714285714285,0.3839285714285714,0.4285714285714285,3.1071428571428568,0.4285714285714285,6,0.12044212,0.81464505,0.7603889,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
342,अन्‍ताकिया,آناتولی,an‍taːkijaː,ɒnɒtvlj,Antioch,Anatoly,0.7272727272727273,0.5,0.2526041666666667,0.28125,3.421875,0.2630208333333333,10,0.32331613,0.8555902,0.6909479000000001,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
351,अब्र,ابری,abrə,ɒbrj,abr,Cloudy,0.5,0.25,0.0625,0.0729166666666666,1.09375,0.0625,4,-1.8400248,0.88350654,0.30269632,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
363,सफ़र,سفیر,səfər,sfjr,travel,Ambassador,0.4,0.4,0.2125,0.2416666666666666,2.125,0.2333333333333333,4,1.0700645,0.8937757,0.7651704,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
375,चाक़ू,چا,t͡ʃaːquː,t͡ʃɒ,knife,Cha,0.625,0.5,0.4791666666666667,0.53125,4.0,0.53125,5,0.22073641,0.87025267,0.5071637999999999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
379,माह,مار,maːɦ,mɒr,Month,Kill,0.75,0.0,0.1041666666666666,0.1388888888888889,1.2083333333333333,0.1041666666666666,3,-1.1865333,0.7792243000000001,0.45426700000000003,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
431,शागिर्द,شگرد,ʃaːɡirdə,ʃɡrd,disciple,Trick,0.5,0.4285714285714285,0.3839285714285714,0.4285714285714285,3.1071428571428568,0.4285714285714285,7,-1.1677503999999999,0.87566745,0.52322,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
473,देव,دو,dev,dv,God,دو,0.3333333333333333,0.3333333333333333,0.2986111111111111,0.3333333333333333,2.4166666666666665,0.3333333333333333,3,-0.06678085,0.8751783999999999,0.5902798,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
477,तर्जुमान,ترگمان,tərd͡ʒumaːn,trɡmɒn,Translation,ترگمان,0.6363636363636364,0.25,0.2630208333333333,0.2916666666666666,2.265625,0.2890625,8,-0.41037437,0.9293051999999999,0.6896241,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
506,कामयाब,کمیاب,kaːmjaːb,kmjɒb,successful,Rare,0.5,0.1666666666666666,0.1701388888888889,0.1875,1.4583333333333333,0.1875,6,-2.4100938,0.91106135,0.8594225000000001,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
514,मिस्र,مصرف,misrə,msrf,Egypt,Consumption,0.4,0.4,0.2416666666666667,0.275,3.0,0.2625,5,0.9732661,0.79081565,0.75037307,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
517,सायबान,تایوان,saːjbaːn,tɒjvɒn,penthouse,Taiwan,0.75,0.0,0.0590277777777777,0.0625,0.8541666666666666,0.0590277777777777,6,1.5627878000000002,0.7762701,0.8511801999999999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
551,मीनार,معمار,miːnaːr,mʔmɒr,Tower,Architect,0.7142857142857143,0.4,0.1041666666666666,0.1166666666666666,1.5,0.1041666666666666,5,0.58202887,0.84072804,0.8030318000000001,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
616,मेज़पोश,مرزش,mezpoʃ,mrzʃ,tablecloth,Sport,0.5,0.5,0.34375,0.4027777777777777,3.3125,0.3784722222222221,7,1.6604486,0.8983633,0.725013,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
672,दुश्मनी,دشمن,duʃməniː,dʃmn,enmity,Enemy,0.5,0.4285714285714285,0.3839285714285714,0.4285714285714285,3.1071428571428568,0.4285714285714285,7,3.2305562,0.919133,0.38493872,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
698,दूरबीन,دربان,duːrbiːn,drbɒn,Telescope,Porter,0.5,0.1666666666666666,0.1840277777777778,0.2013888888888888,1.625,0.2013888888888888,6,0.23286274,0.8266191999999999,0.7056647,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
703,मसनवी,مصنوعی,məsnəviː,msnvʔj,masnavi,Artificial,0.5,0.5714285714285714,0.2291666666666666,0.2619047619047619,3.4642857142857144,0.24404761904761899,6,4.493011,0.8725495999999999,0.70297533,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
713,माह,ما,maːɦ,mɒ,Month,What,0.75,0.3333333333333333,0.3402777777777778,0.375,2.9166666666666665,0.375,3,2.7255225,0.82460636,0.41373655,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
718,जामा,چامه,d͡ʒaːmaː,t͡ʃɒmh,jama,چامه,0.75,0.25,0.1041666666666666,0.1145833333333333,1.84375,0.1041666666666666,4,0.54804647,0.91894656,0.5765644,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
734,रौशनी,روشن,rɔːʃniː,rvʃn,light,Bright,0.5714285714285714,0.4,0.25,0.2833333333333333,3.15,0.2708333333333333,5,-0.27533245,0.8932644000000001,0.75382364,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
763,शेर,شهر,ʃer,ʃhr,lion,City,0.3333333333333333,0.3333333333333333,0.0555555555555555,0.0694444444444444,1.5416666666666667,0.0555555555555555,3,-0.7874068000000001,0.6089439999999999,0.6166086999999999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
797,ईरानी,آرامی,iːraːniː,ɒrɒmj,Iranian,Slowly,0.875,0.4,0.1125,0.125,1.6,0.1125,5,-0.05106066,0.90958256,0.48571366,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
815,तरफ़दार,ترفند,tərfədaːr,trfnd,sided,trick,0.5555555555555556,0.5,0.3671875,0.4166666666666667,3.53125,0.40625,7,-1.0006201,0.9077212,0.6597347,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
827,फ़ौज,فرج,fɔːd͡ʒ,frd͡ʒ,army,vulva,0.3333333333333333,0.3333333333333333,0.1180555555555555,0.1666666666666666,2.333333333333333,0.1180555555555555,4,-2.0911055,0.8806053,0.6178119000000001,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hard_negative
