,all_language_evaluate,train_evaluate_pair,language_pair,class,precision,recall,f1_score,support,acc
0,True,False,,0,0.98,0.91,0.94,17301.0,
1,True,False,,1,0.57,0.89,0.7,2386.0,0.91
2,False,False,Hindi-Persian,0,0.99,0.72,0.83,1107.0,
3,False,False,Hindi-Persian,1,0.28,0.96,0.43,124.0,0.74
4,False,False,English-French,0,0.99,0.95,0.97,2910.0,
5,False,False,English-French,1,0.76,0.96,0.85,507.0,0.95
6,False,False,Finnish-Swedish,0,0.98,0.89,0.93,1147.0,
7,False,False,Finnish-Swedish,1,0.46,0.87,0.6,124.0,0.89
8,False,False,Kazakh-Russian,0,0.99,0.96,0.98,1350.0,
9,False,False,Kazakh-Russian,1,0.78,0.96,0.86,180.0,0.96
10,False,False,Azerbaijani-Arabic,0,0.98,0.87,0.92,1083.0,
11,False,False,Azerbaijani-Arabic,1,0.38,0.81,0.52,111.0,0.86
12,False,False,Chinese-English,0,0.93,0.94,0.94,816.0,
13,False,False,Chinese-English,1,0.43,0.37,0.4,95.0,0.88
14,False,False,German-French,0,1.0,0.95,0.97,1199.0,
15,False,False,German-French,1,0.67,0.96,0.79,136.0,0.95
16,False,False,English-German,0,1.0,0.92,0.96,1913.0,
17,False,False,English-German,1,0.65,0.98,0.78,294.0,0.93
18,False,False,Romanian-Hungarian,0,0.96,0.91,0.94,1205.0,
19,False,False,Romanian-Hungarian,1,0.5,0.72,0.59,145.0,0.89
20,False,False,Polish-French,0,0.96,0.93,0.95,1470.0,
21,False,False,Polish-French,1,0.61,0.75,0.67,205.0,0.91
22,False,False,Indonesian-Dutch,0,0.99,0.89,0.94,1636.0,
23,False,False,Indonesian-Dutch,1,0.57,0.95,0.72,266.0,0.89
24,False,False,Romanian-French,0,0.99,0.9,0.94,1465.0,
25,False,False,Romanian-French,1,0.56,0.95,0.71,199.0,0.91
26,False,True,Hindi-Persian,0,0.99,0.73,0.84,1107.0,
27,False,True,Hindi-Persian,1,0.28,0.96,0.44,124.0,0.75
28,False,True,English-French,0,0.99,0.92,0.96,2910.0,
29,False,True,English-French,1,0.68,0.97,0.8,507.0,0.93
30,False,True,Finnish-Swedish,0,0.98,0.93,0.96,1147.0,
31,False,True,Finnish-Swedish,1,0.56,0.86,0.68,124.0,0.92
32,False,True,Kazakh-Russian,0,0.99,0.98,0.99,1350.0,
33,False,True,Kazakh-Russian,1,0.85,0.94,0.89,180.0,0.97
34,False,True,Azerbaijani-Arabic,0,0.97,0.89,0.93,1083.0,
35,False,True,Azerbaijani-Arabic,1,0.42,0.77,0.54,111.0,0.88
36,False,True,Chinese-English,0,0.93,0.95,0.94,816.0,
37,False,True,Chinese-English,1,0.52,0.42,0.47,95.0,0.9
38,False,True,German-French,0,0.99,0.96,0.98,1199.0,
39,False,True,German-French,1,0.74,0.94,0.83,136.0,0.96
40,False,True,English-German,0,0.99,0.99,0.99,1913.0,
41,False,True,English-German,1,0.92,0.93,0.93,294.0,0.98
42,False,True,Romanian-Hungarian,0,0.97,0.91,0.94,1205.0,
43,False,True,Romanian-Hungarian,1,0.49,0.74,0.59,145.0,0.89
44,False,True,Polish-French,0,0.98,0.92,0.95,1470.0,
45,False,True,Polish-French,1,0.61,0.86,0.71,205.0,0.92
46,False,True,Indonesian-Dutch,0,0.99,0.67,0.8,1636.0,
47,False,True,Indonesian-Dutch,1,0.32,0.98,0.49,266.0,0.71
48,False,True,Romanian-French,0,0.99,0.88,0.94,1465.0,
49,False,True,Romanian-French,1,0.53,0.96,0.68,199.0,0.89
