,all_language_evaluate,train_evaluate_pair,language_pair,class,precision,recall,f1_score,support,acc
0,True,False,,0,0.98,0.96,0.97,17611.0,
1,True,False,,1,0.73,0.83,0.77,2386.0,0.94
2,False,False,Hindi-Persian,0,0.99,0.9,0.95,1137.0,
3,False,False,Hindi-Persian,1,0.51,0.94,0.66,124.0,0.91
4,False,False,English-French,0,0.98,0.96,0.97,2984.0,
5,False,False,English-French,1,0.8,0.88,0.84,507.0,0.95
6,False,False,Finnish-Swedish,0,0.97,0.96,0.96,1200.0,
7,False,False,Finnish-Swedish,1,0.64,0.68,0.66,124.0,0.93
8,False,False,Kazakh-Russian,0,0.98,0.97,0.98,1388.0,
9,False,False,Kazakh-Russian,1,0.79,0.87,0.83,180.0,0.96
10,False,False,Azerbaijani-Arabic,0,0.97,0.96,0.97,1119.0,
11,False,False,Azerbaijani-Arabic,1,0.65,0.75,0.7,111.0,0.94
12,False,False,Chinese-English,0,0.95,0.97,0.96,851.0,
13,False,False,Chinese-English,1,0.67,0.59,0.63,95.0,0.93
14,False,False,German-French,0,0.97,0.97,0.97,1199.0,
15,False,False,German-French,1,0.76,0.74,0.75,136.0,0.95
16,False,False,English-German,0,0.98,0.96,0.97,1913.0,
17,False,False,English-German,1,0.75,0.86,0.8,294.0,0.94
18,False,False,Romanian-Hungarian,0,0.96,0.95,0.96,1205.0,
19,False,False,Romanian-Hungarian,1,0.63,0.69,0.66,145.0,0.92
20,False,False,Polish-French,0,0.97,0.97,0.97,1470.0,
21,False,False,Polish-French,1,0.77,0.78,0.78,205.0,0.95
22,False,False,Indonesian-Dutch,0,0.99,0.96,0.97,1680.0,
23,False,False,Indonesian-Dutch,1,0.77,0.91,0.83,266.0,0.95
24,False,False,Romanian-French,0,0.98,0.96,0.97,1465.0,
25,False,False,Romanian-French,1,0.75,0.86,0.8,199.0,0.95
26,False,True,Hindi-Persian,0,1.0,0.88,0.94,1137.0,
27,False,True,Hindi-Persian,1,0.47,0.96,0.63,124.0,0.89
28,False,True,English-French,0,0.97,0.96,0.97,2984.0,
29,False,True,English-French,1,0.79,0.85,0.82,507.0,0.95
30,False,True,Finnish-Swedish,0,0.96,0.96,0.96,1200.0,
31,False,True,Finnish-Swedish,1,0.6,0.63,0.62,124.0,0.93
32,False,True,Kazakh-Russian,0,0.99,0.98,0.98,1388.0,
33,False,True,Kazakh-Russian,1,0.85,0.92,0.88,180.0,0.97
34,False,True,Azerbaijani-Arabic,0,0.98,0.97,0.97,1119.0,
35,False,True,Azerbaijani-Arabic,1,0.7,0.84,0.77,111.0,0.95
36,False,True,Chinese-English,0,0.95,0.96,0.96,851.0,
37,False,True,Chinese-English,1,0.64,0.59,0.61,95.0,0.92
38,False,True,German-French,0,0.98,0.98,0.98,1199.0,
39,False,True,German-French,1,0.81,0.83,0.82,136.0,0.96
40,False,True,English-German,0,0.98,0.98,0.98,1913.0,
41,False,True,English-German,1,0.86,0.88,0.87,294.0,0.97
42,False,True,Romanian-Hungarian,0,0.96,0.95,0.95,1205.0,
43,False,True,Romanian-Hungarian,1,0.61,0.69,0.65,145.0,0.92
44,False,True,Polish-French,0,0.98,0.96,0.97,1470.0,
45,False,True,Polish-French,1,0.76,0.82,0.79,205.0,0.95
46,False,True,Indonesian-Dutch,0,1.0,0.8,0.89,1680.0,
47,False,True,Indonesian-Dutch,1,0.44,0.98,0.61,266.0,0.83
48,False,True,Romanian-French,0,0.99,0.94,0.96,1465.0,
49,False,True,Romanian-French,1,0.67,0.91,0.77,199.0,0.94
