,language_pair,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,DNN_logits,MBERT_cos_sim,XLM_cos_sim,loan_unicode_Latin,loan_unicode_Greek,loan_unicode_Cyrillic,loan_unicode_Arabic,loan_unicode_Devanagari,loan_unicode_Bengali,loan_unicode_Gurmukhi,loan_unicode_Tamil,loan_unicode_Telugu,loan_unicode_Malayalam,loan_unicode_Myanmar,loan_unicode_Chinese,original_unicode_Latin,original_unicode_Greek,original_unicode_Cyrillic,original_unicode_Arabic,original_unicode_Devanagari,original_unicode_Bengali,original_unicode_Gurmukhi,original_unicode_Tamil,original_unicode_Telugu,original_unicode_Malayalam,original_unicode_Myanmar,original_unicode_Chinese
0,All_languages,-0.2073350642224776,-0.14127019037957056,0.22073084559990153,1.2895300207893134,-0.2665401701463397,-1.0953823162850196,-0.7779550241332709,3.3098231624941836,0.008973228430315033,0.025218395439045745,0.0,0.0,0.16109670429929476,-0.08716704272855763,-0.03510016820443379,0.0,0.0,-0.014550983750561075,0.0,0.0,0.0,0.0,0.19919304407410904,0.0,0.0,-0.08716704272855763,0.0,0.0,0.0,-0.08836571308618363,0.0,0.0,0.0,0.0
1,Hindi-Persian,-0.6237712174297041,-0.04032638008955303,-0.15885427704464394,-0.41152191160569274,-0.18785138611682672,0.3933016280828343,0.3125316018848254,3.631306642425219,0.09915734676008892,-0.06029772412442869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,English-French,-0.1504582783388025,-0.009535663080513762,-0.1721245828224165,1.958329889702421,-0.38409650613563673,-1.2381687010567985,-1.5456519205348944,2.2030112446919934,-0.029768268755649308,0.038854767180731276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Finnish-Swedish,0.05313548511138322,-0.11587006648723586,0.3198182832574257,1.1046273127120927,-0.07199909259534776,-1.1927525659896552,-0.9108958290349014,3.5151687849035342,-0.0014070148148315198,-0.057453939261975506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Kazakh-Russian,-0.2679618731243587,0.6867177662729477,0.057055543159512945,-0.17785551341789002,-0.863138846307952,0.5203566549304677,-1.6331306597026118,4.846152663144159,-0.011961530105401186,0.03869014083633304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Azerbaijani-Arabic,-0.22069995296844258,-0.5937990825091379,-0.1568373697726244,-0.05719028249597358,0.005270461846710539,0.3336413916526757,0.9649832471291886,4.240784523704539,-0.10058901692363165,-0.03759745848918872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Chinese-English,-0.10910408940179472,-0.09558645468327631,-0.4782671152080957,0.3150996821160139,-0.10551631893821423,0.3045329076840124,-0.08005711538389138,2.0056700701676022,0.007342198190933402,-0.011526260418832424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,German-French,-0.12696756006379317,-0.2644131475680531,-0.28876415228361374,1.2852431664735633,-0.2647380294512178,-0.3621853742490906,-1.2895641589066908,2.462148367512305,0.09137551168443081,-0.018519080486586237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,English-German,0.053002203868796255,-0.3012000276663904,0.13902763363180037,0.5462198779335465,0.0017441655278433998,0.09042391764575664,-2.4083144721538567,2.440490535693332,0.0353418143425297,-0.03905651720768347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Romanian-Hungarian,-0.24829200370555515,-0.3575170131854163,-0.09346143317617822,0.44554626975805844,0.32655338025193326,-0.20649655614529916,-0.42115917956204507,3.2115247814734644,0.05513360677054109,-0.03995975843309496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
