,language_pair,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode_Latin,loan_unicode_Greek,loan_unicode_Cyrillic,loan_unicode_Arabic,loan_unicode_Devanagari,loan_unicode_Bengali,loan_unicode_Gurmukhi,loan_unicode_Tamil,loan_unicode_Telugu,loan_unicode_Malayalam,loan_unicode_Myanmar,loan_unicode_Chinese,original_unicode_Latin,original_unicode_Greek,original_unicode_Cyrillic,original_unicode_Arabic,original_unicode_Devanagari,original_unicode_Bengali,original_unicode_Gurmukhi,original_unicode_Tamil,original_unicode_Telugu,original_unicode_Malayalam,original_unicode_Myanmar,original_unicode_Chinese
0,All languages,-0.79786385398757,-0.695789110762143,-4.350155920615521,3.313488674910606,-0.9759053961943182,2.211290075965066,-2.3575943619027635,0.0,0.0,0.3796521402366165,-0.2262079793553284,-0.016857728703381387,0.0,0.0,-0.05156699967594682,0.0,0.0,0.0,0.0,0.4926012414145148,0.0,0.0,-0.2262079793553284,0.0,0.0,0.0,-0.2107367571629668,0.0,0.0,0.0,0.0
1,Hindi-Persian,-2.5162435367021403,-0.5597074851228098,-0.5429103282556542,-0.552355213700863,-0.4617493849163569,1.3232486610743506,-0.23200289632693555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,English-French,-0.44924061981224006,-0.19763947208092364,-0.8776689176108758,2.369525034756906,-0.6706665720909505,-0.5488451458303415,-4.793594890814121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Finnish-Swedish,-0.404684441156192,-0.4992795084857478,0.5044480084378383,1.4773690607039425,-0.28647176291103144,-0.6401113935334377,-3.601934457049334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Kazakh-Russian,-0.32575295927718406,1.6304187457924573,0.4684429394288255,0.4363884096719109,-3.931575739212174,1.2014203247411968,-5.753262629469373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Azerbaijani-Arabic,-1.2542778008128255,-1.6176356600442807,-0.5731792076604588,-1.9941783882848336,0.7361255753814909,2.2091120205722565,0.6643840059321849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Chinese-English,-0.2987350229454406,-1.2124494059139652,-3.6558171717569214,3.931395641711379,-0.5134301199002212,0.6374303441870947,-0.2507891449723541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,German-French,-0.3913842347091149,-0.5181056437868884,0.177347396153037,1.5338674384842195,-1.8640802341028297,0.33778548316535134,-3.646675570556656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,English-German,0.060311232917153755,-0.7990583387963983,-0.24311851316571936,0.7866174641502818,0.009484991504435719,0.7196159994171698,-6.13393387925342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Romanian-Hungarian,-1.2233797855872788,-0.8671402501727751,-0.7084637327599534,1.1431726338517352,-0.7205764822628724,0.781320921162454,-0.8915454026549653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Polish-French,-0.7099188463546533,-0.6131849809653728,1.0119914281241749,3.299082956484456,-3.0078111520719544,-1.330196910786607,-1.6786190257323188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Indonesian-Dutch,-0.3156729071154317,0.14872053974261074,-0.10753925796693453,1.6909088939698622,-4.59495124129504,2.015583227507264,-3.8062837086784773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Romanian-French,-0.9551614012478775,-0.976499603060772,-0.043676428530352744,0.08970213408728413,-0.8479298650756008,0.560165352776788,-3.1582470441006083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
