,all_language_evaluate,train_evaluate_pair,language_pair,class,precision,recall,f1_score,support,acc
0,True,False,,0,0.96,0.99,0.97,11541.0,
1,True,False,,1,0.92,0.79,0.85,2390.0,0.95
2,False,False,Hindi-Persian,0,0.93,0.99,0.96,292.0,
3,False,False,Hindi-Persian,1,0.97,0.83,0.9,125.0,0.94
4,False,False,English-French,0,0.92,0.97,0.95,1184.0,
5,False,False,English-French,1,0.93,0.81,0.87,508.0,0.93
6,False,False,Finnish-Swedish,0,0.95,0.99,0.97,680.0,
7,False,False,Finnish-Swedish,1,0.91,0.74,0.82,124.0,0.95
8,False,False,Kazakh-Russian,0,0.89,0.98,0.93,181.0,
9,False,False,Kazakh-Russian,1,0.98,0.87,0.92,181.0,0.93
10,False,False,Azerbaijani-Arabic,0,0.91,1.0,0.95,447.0,
11,False,False,Azerbaijani-Arabic,1,0.97,0.6,0.74,112.0,0.92
12,False,False,Chinese-English,0,0.95,0.98,0.96,861.0,
13,False,False,Chinese-English,1,0.72,0.53,0.61,95.0,0.93
14,False,False,German-French,0,0.97,0.99,0.98,1226.0,
15,False,False,German-French,1,0.93,0.74,0.82,136.0,0.97
16,False,False,English-German,0,0.98,0.99,0.98,2647.0,
17,False,False,English-German,1,0.89,0.82,0.85,294.0,0.97
18,False,False,Romanian-Hungarian,0,0.96,0.98,0.97,1312.0,
19,False,False,Romanian-Hungarian,1,0.83,0.67,0.74,145.0,0.95
20,False,False,Polish-French,0,0.97,0.99,0.98,1847.0,
21,False,False,Polish-French,1,0.89,0.77,0.82,205.0,0.97
22,False,False,Indonesian-Dutch,0,0.93,0.98,0.95,399.0,
23,False,False,Indonesian-Dutch,1,0.97,0.89,0.93,266.0,0.94
24,False,False,Romanian-French,0,0.93,0.98,0.95,465.0,
25,False,False,Romanian-French,1,0.94,0.83,0.88,199.0,0.93
26,False,True,Hindi-Persian,0,0.96,0.99,0.97,292.0,
27,False,True,Hindi-Persian,1,0.98,0.9,0.94,125.0,0.96
28,False,True,English-French,0,0.94,0.97,0.95,1184.0,
29,False,True,English-French,1,0.93,0.84,0.89,508.0,0.93
30,False,True,Finnish-Swedish,0,0.94,1.0,0.97,680.0,
31,False,True,Finnish-Swedish,1,0.96,0.64,0.77,124.0,0.94
32,False,True,Kazakh-Russian,0,0.92,0.98,0.95,181.0,
33,False,True,Kazakh-Russian,1,0.98,0.92,0.95,181.0,0.95
34,False,True,Azerbaijani-Arabic,0,0.95,0.99,0.97,447.0,
35,False,True,Azerbaijani-Arabic,1,0.96,0.79,0.86,112.0,0.95
36,False,True,Chinese-English,0,0.95,0.98,0.96,861.0,
37,False,True,Chinese-English,1,0.72,0.53,0.61,95.0,0.93
38,False,True,German-French,0,0.98,0.99,0.99,1226.0,
39,False,True,German-French,1,0.93,0.79,0.86,136.0,0.97
40,False,True,English-German,0,0.99,0.99,0.99,2647.0,
41,False,True,English-German,1,0.93,0.86,0.9,294.0,0.98
42,False,True,Romanian-Hungarian,0,0.97,0.98,0.97,1312.0,
43,False,True,Romanian-Hungarian,1,0.82,0.68,0.74,145.0,0.95
44,False,True,Polish-French,0,0.98,0.99,0.98,1847.0,
45,False,True,Polish-French,1,0.89,0.79,0.84,205.0,0.97
46,False,True,Indonesian-Dutch,0,0.94,0.98,0.96,399.0,
47,False,True,Indonesian-Dutch,1,0.97,0.91,0.94,266.0,0.95
48,False,True,Romanian-French,0,0.95,0.98,0.97,465.0,
49,False,True,Romanian-French,1,0.95,0.89,0.92,199.0,0.95
