,language_pair,plain Levenshtein,DNN_logits,MBERT_cos_sim,XLM_cos_sim
0,All languages,-1.4191239241289897,6.346597068393618,0.044687442742450095,-0.09789808133695359
1,Hindi-Persian,0.05829985638982063,7.415045817554584,0.12932276976949506,0.029213973218439535
2,English-French,-3.0412381390595224,4.228796908357275,-0.07614548093490954,0.0809340252244143
3,Finnish-Swedish,-1.9313888081884731,5.993538093531921,0.003038713477879772,-0.06072199143014399
4,Kazakh-Russian,-3.6708931405078524,7.666922063392949,-0.10008769437320668,0.06193904663627317
5,Azerbaijani-Arabic,1.134258258504106,7.53240260965886,-0.17628776518266723,-0.043882771880484166
6,Chinese-English,-0.046084567577100104,4.140175447471778,0.02708524682267037,-0.06180062696607653
7,German-French,-2.646277181594306,4.230676609188029,0.15672075521428672,0.058481181044955824
8,English-German,-3.7347790859982317,4.358278434082885,0.018936612121724282,-0.020611749017646213
9,Romanian-Hungarian,-0.9960706765066997,5.6869279787340545,0.052147492327795336,-0.03793386348179579
10,Polish-French,-1.458068630640883,5.524293966879375,0.05641015905553644,0.07263026292172488
11,Indonesian-Dutch,-2.499869161136179,5.90582841775555,0.20240879521220517,0.5440674567053124
12,Romanian-French,-2.288474000038312,5.135574450525922,0.06296842216720638,-0.017788871931227426
