,loan_word,original_word,loan_word_epitran,original_word_epitran,Fast Levenshtein,Dolgo Prime Distance,Feature Edit Distance,Hamming Feature Distance,Weighted Feature Distance,Fast Levenshtein Distance Div Maxlen,label
0,ताबूत,تابوت,taːbuːt,tɒbvt,4,1,0.4791666666666667,0.5416666666666667,10.0,0.5714285714285714,1
1,नम,نم,nəm,nm,1,1,0.8958333333333334,1.0,7.25,0.3333333333333333,1
2,रौशन,روشن,rɔːʃən,rvʃn,3,2,1.25,1.4166666666666667,15.75,0.5,1
3,हमेशा,درنده,ɦəmeʃaː,drndh,7,5,1.8333333333333333,2.208333333333333,26.125,1.0,0
4,फ़व्वारा,فواره,fəvvaːraː,fvɒrh,6,3,2.1875,2.4166666666666665,21.625,0.6666666666666666,1
5,चाशनी,ستم,t͡ʃaːʃniː,stm,9,4,2.1875,2.416666666666667,19.625,1.0,0
6,सिकंदर,تقدیر,sikəndər,tɣdjr,6,4,2.9999999999999996,3.3333333333333335,27.375,0.75,0
7,सबूत,ملکه,səbuːt,mlkh,6,5,1.8333333333333335,2.041666666666667,24.5,1.0,0
8,तबीयत,طبیعت,təbiːjət,tbjʔt,4,3,2.041666666666667,2.2916666666666665,18.875,0.5,1
9,पापा,تصویر,paːpaː,tsvjr,6,4,1.6041666666666667,1.9166666666666667,21.875,1.0,0
10,जसूर,مارخور,d͡ʒəsuːr,mɒrxvr,7,4,1.7708333333333335,2.0416666666666665,23.75,0.875,0
11,तमन्ना,تیراندازی,təmnnaː,tjrɒndɒzj,7,6,3.270833333333334,3.7083333333333335,32.75,0.7777777777777778,0
12,अन्‍ताकिया,تر,an‍taːkijaː,tr,10,6,5.625,6.333333333333333,47.625,0.9090909090909091,0
13,सुल्तान,مازو,sultaːn,mɒzv,7,4,2.5,2.75,25.875,1.0,0
14,मुर्दन,مردن,murdən,mrdn,2,2,1.7916666666666667,2.0,14.5,0.3333333333333333,1
15,जाहिल,جاهل,d͡ʒaːɦil,d͡ʒɒhl,4,1,1.0625,1.1666666666666667,9.0,0.5,1
16,हवा,خالی,ɦəvaː,xɒlj,5,3,0.7083333333333334,0.7916666666666666,12.125,1.0,0
17,ख़ान,مردنی,xaːn,mrdnj,4,4,2.416666666666667,2.75,26.75,0.8,0
18,ज़ेहन,ذهن,zeɦən,zhn,3,2,1.8333333333333335,2.041666666666667,14.75,0.6,1
19,बरक़रार,برقرار,bərqəraːr,brɣrɒr,5,2,2.041666666666667,2.25,17.75,0.5555555555555556,1
20,हिंद,هند,ɦində,hnd,3,2,1.8333333333333335,2.041666666666667,14.75,0.6,1
21,नज्द,بُرْج,nəd͡ʒdə,bُrْd͡ʒ,6,4,2.2708333333333335,2.625,24.125,0.8571428571428571,0
22,बख़ील,شُرُوع,bəxiːl,ʃُrُvʔ,6,4,1.9375,2.25,23.375,1.0,0
23,इंसानी,انسانی,insaːniː,ɒnsɒnj,5,1,0.41666666666666663,0.45833333333333326,6.375,0.625,1
24,पैग़ाम,بدمعاش,pæːɣaːm,bdmʔɒʃ,7,4,2.020833333333333,2.166666666666667,28.25,1.0,0
25,एतबार,اعتبار,etbaːr,ɒʔtbɒr,4,1,1.1458333333333335,1.25,10.25,0.6666666666666666,1
26,गुज़ारा,کاروان,ɡuzaːraː,kɒrvɒn,8,4,1.2708333333333333,1.625,21.5,1.0,0
27,चिलम,شناخت,t͡ʃiləm,ʃnɒxt,6,5,1.2291666666666667,1.4166666666666667,23.125,0.8571428571428571,0
28,जोश,جوش,d͡ʒoʃ,d͡ʒvʃ,1,1,0.3125,0.375,8.0,0.2,1
29,हवा,هوا,ɦəvaː,hvɒ,4,1,1.0625,1.1666666666666667,9.0,0.8,1
30,दरोग़,دروغ,dəroɣ,drvɣ,2,2,1.2083333333333335,1.375,15.25,0.4,1
31,अब्र,برخاست,abrə,brxɒst,5,4,2.7916666666666665,3.208333333333333,30.25,0.8333333333333334,0
32,तेज़,انگوری,tez,ɒŋvrj,5,5,2.4583333333333335,2.833333333333333,28.625,1.0,0
33,कलमकारी,قلم,kəlməkaːriː,ɣlm,9,6,5.395833333333333,6.083333333333333,44.75,0.8181818181818182,1
34,पेशा,پیشه,peʃaː,پjʃh,4,3,1.2708333333333335,1.4583333333333335,15.75,0.8,1
35,रेगिस्तान,کابینه,reɡistaːn,kɒbjnh,9,6,2.8541666666666665,3.208333333333333,31.375,1.0,0
36,ख़त,دشمنی,xət,dʃmnj,5,5,2.375,2.625,25.75,1.0,0
37,वाक़िफ़,واقف,vaːqif,vɒɣf,4,1,1.1458333333333335,1.25,10.5,0.6666666666666666,1
38,रौशन,ترکی,rɔːʃən,trkj,6,5,1.8333333333333333,2.208333333333333,24.5,1.0,0
39,तश्तरी,شامل,təʃtəriː,ʃɒml,7,4,3.3125,3.7083333333333335,30.125,0.875,0
40,दरमियान,در میان,dərmijaːn,dr mjɒn,5,2,1.9166666666666667,2.125,16.0,0.5555555555555556,1
41,सौदा,تهران,sɔːdaː,thrɒn,6,3,1.5416666666666665,1.75,19.875,1.0,0
42,तंबू,تباه,təmbuː,tbɒh,4,3,1.7291666666666667,1.9166666666666667,23.75,0.6666666666666666,0
43,पेश,معلمی,peʃ,mʔlmj,5,5,2.3333333333333335,2.5833333333333335,24.625,1.0,0
44,रेशम,فولاد,reʃəm,fvlɒd,5,4,1.0416666666666667,1.25,19.875,1.0,0
45,ताजपोशी,تاج,taːd͡ʒpoʃiː,tɒd͡ʒ,7,4,3.729166666666667,4.125,30.5,0.6363636363636364,1
46,मनहूस,نسل,mənɦuːs,nsl,6,5,3.0,3.3333333333333335,27.875,0.8571428571428571,0
47,या,یا,jaː,jɒ,2,0,0.125,0.125,1.5,0.6666666666666666,1
48,शीरी,شیری,ʃiːriː,ʃjrj,4,2,0.25,0.3333333333333333,5.75,0.6666666666666666,1
49,तोती,شرمنده,totiː,ʃrmndh,6,4,2.5,2.833333333333333,28.625,1.0,0
50,ज़बान,زبان,zəbaːn,zbɒn,3,1,1.0208333333333335,1.125,8.75,0.5,1
51,तनख़्वाह,تنخواه,tənxvaːɦ,tnxvɒh,4,1,1.0625000000000002,1.1666666666666667,9.0,0.5,1
52,चूपान,شیطانی,t͡ʃuːpaːn,ʃjtɒnj,8,4,1.4583333333333335,1.625,15.75,0.8888888888888888,0
53,सर्द,سرد,sərdə,srd,2,2,1.7916666666666667,2.0,14.5,0.4,1
54,ज़बान,سایبان,zəbaːn,sɒjbɒn,5,1,1.1875,1.2916666666666667,10.25,0.8333333333333334,0
55,रसीद,سیاست,rəsiːd,sjɒst,6,2,1.125,1.3750000000000002,19.25,1.0,0
56,कागद,سهم,kaːɡəd,shm,6,5,2.4166666666666665,2.6666666666666665,25.5,1.0,0
57,किफ़ायती,کفایتی,kifaːjtiː,kfɒjtj,5,2,1.1458333333333335,1.2916666666666667,11.625,0.5555555555555556,1
58,आदत,عادت,aːdət,ʔɒdt,3,2,1.0,1.1666666666666665,16.0,0.6,1
59,क़ब्रिस्तान,مستانه,qəbristaːn,mstɒnh,8,6,3.875,4.291666666666667,40.25,0.8,0
60,चरख़ा,چرخ,t͡ʃərxaː,t͡ʃrx,3,2,1.7916666666666667,2.0,14.5,0.375,1
61,मशक,درجه,məʃək,drd͡ʒh,6,4,1.6458333333333333,1.9166666666666667,22.625,1.0,0
62,लूक़ा,لوقا,luːqaː,lvɣɒ,5,1,0.6041666666666667,0.6666666666666667,11.75,0.8333333333333334,1
63,गरेबान,گریبان,ɡərebaːn,ɡrjbɒn,4,2,1.1458333333333335,1.2916666666666667,11.625,0.5,1
64,पनाह,نان,pənaːɦ,nɒn,5,3,2.104166666666667,2.3333333333333335,18.625,0.8333333333333334,0
65,ज़हर,زهر,zəɦər,zhr,3,2,1.8333333333333335,2.041666666666667,14.75,0.6,1
66,तमाम,تقریباً,təmaːm,tɣrjbɒً,6,5,1.6666666666666667,1.9583333333333335,24.125,0.8571428571428571,0
67,दहलीज़,دهلیز,dəɦliːz,dhljz,4,2,1.0625,1.2083333333333335,10.375,0.5714285714285714,1
68,जहान,جهان,d͡ʒəɦaːn,d͡ʒhɒn,4,1,1.0625,1.1666666666666667,9.0,0.5,1
69,करघा,جلاد,kərɡ̤aː,d͡ʒlɒd,7,3,1.9375,2.2916666666666665,24.5,1.0,0
70,शब बख़ैर,شب بخیر,ʃəbə bəxæːr,ʃb bxjr,5,4,2.8958333333333335,3.25,25.625,0.45454545454545453,1
71,गिलहरी,بکم,ɡilɦəriː,bkm,8,7,4.166666666666667,4.666666666666667,38.875,1.0,0
72,चीख़,جیغ,t͡ʃiːx,d͡ʒjɣ,5,1,0.20833333333333331,0.24999999999999997,3.375,0.8333333333333334,1
73,ख़्वाबगाह,خوابگاه,xvaːbɡaːɦ,xvɒbɡɒh,5,0,0.2916666666666667,0.2916666666666667,3.25,0.5555555555555556,1
74,दीवार,درج,diːvaːr,drd͡ʒ,6,4,2.291666666666667,2.7083333333333335,23.5,0.8571428571428571,0
75,मज़हब,پیمانه,məzɦəb,پjmɒnh,6,4,2.0625,2.3333333333333335,26.75,1.0,0
76,अश्क,اشک,aʃkə,ɒʃk,2,1,0.9791666666666667,1.0833333333333333,8.25,0.5,1
77,हमेशा,همیشه,ɦəmeʃaː,hmjʃh,5,3,1.3125,1.5000000000000002,16.0,0.7142857142857143,1
78,शुक्रिया,شهد,ʃukrijaː,ʃhd,7,5,3.916666666666667,4.416666666666667,37.0,0.875,0
79,तीर,مَدْرَسَة,tiːr,mædْræsæة,8,5,3.854166666666667,4.375,34.0,0.8888888888888888,0
80,ग़ज़ा,غزه,ɣəzaː,ɣzh,3,2,1.1458333333333335,1.2916666666666667,12.875,0.6,1
81,सालाना,پیچیده,saːlaːnaː,پjt͡ʃjdh,9,5,1.9583333333333333,2.1666666666666665,28.125,1.0,0
82,खीसा,کیسه,kʰiːsaː,kjsh,5,2,0.41666666666666663,0.5,8.75,0.7142857142857143,1
83,अशरफ़ी,اشرفی,aʃrəfiː,ɒʃrfj,4,2,1.1041666666666667,1.25,11.125,0.5714285714285714,1
84,तुर्क,زور,turkə,zvr,4,3,2.1875,2.458333333333333,23.75,0.8,0
85,दफ़्तर,دفتر,dəftər,dftr,2,2,1.7916666666666667,2.0,14.5,0.3333333333333333,1
86,गुफ़्तार,گفتار,ɡuftaːr,ɡftɒr,3,1,1.0208333333333335,1.125,8.75,0.42857142857142855,1
87,संदूक़चा,صندوقچه,sənduːqt͡ʃaː,sndvɣt͡ʃh,6,3,1.625,1.8333333333333335,23.125,0.5,1
88,चरागाह,ذات,t͡ʃəraːɡaːɦ,zɒt,11,6,4.083333333333333,4.583333333333333,35.125,1.0,0
89,मजमा,بی‌قرار,məd͡ʒmaː,bj‌ɣrɒr,8,4,1.7083333333333335,2.041666666666667,21.375,1.0,0
90,रवैया,رویه,rəvæːjaː,rvjh,5,3,2.041666666666667,2.2916666666666665,20.125,0.625,1
91,काग़ज़ात,کاغذات,kaːɣzaːt,kɒɣzɒt,4,0,0.25,0.25,3.0,0.5,1
92,मौजूदगी,موجودگی,mɔːd͡ʒuːdɡiː,mvd͡ʒvdɡj,6,3,0.8333333333333334,1.0,19.875,0.5,1
93,बेताब,بیتاب,betaːb,bjtɒb,3,1,0.25,0.29166666666666663,4.375,0.5,1
94,मेहमानदारी,مهما‌ن‌داری,meɦmaːndaːriː,mhmɒ‌n‌dɒrj,9,2,1.3125,1.4583333333333335,13.375,0.6923076923076923,1
95,दीवान,دیوان,diːvaːn,djvɒn,4,1,0.25,0.29166666666666663,4.375,0.5714285714285714,1
96,गिलीम,گلیم,ɡiliːm,ɡljm,3,2,1.0208333333333335,1.1666666666666667,10.125,0.5,1
97,बग़ल,زیر بغل,bəɣəl,zjr bɣl,6,5,1.5625,1.8333333333333333,22.625,0.8571428571428571,1
98,कारगर,ماهی,kaːrɡər,mɒhj,7,3,2.4583333333333335,2.833333333333333,26.5,1.0,0
