,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,label,label_bin,DNNlogits_modelpredicted,m-bert_cosim,xlm_cosim
0,0,0,142,अनुर्वर,غیر مولد,anurvər,ɣjr mvld,Infertile,Non-productive,0.875,0.8571428571428571,0.2321428571428571,0.2976190476190475,4.803571428571429,0.2321428571428571,8,synonym,0,-13.455888,0.4409071207046509,0.4397030770778656
1,1,1,731,पाबंद,پابند,paːbəndə,pɒbnd,punctual,ankle jewlery,0.5,0.2857142857142857,0.2738095238095238,0.3035714285714285,2.2857142857142856,0.3035714285714285,5,loan,1,-0.8823546,0.6810654401779175,0.5920128226280212
2,2,2,1314,ज़र्द,چاروا,zərdə,t͡ʃɒrvɒ,Lily,Charwa,0.8571428571428571,0.4,0.125,0.1333333333333333,1.45,0.125,5,hard_negative,0,-12.93902,0.5061342120170593,0.6188052892684937
3,3,3,688,निगाह,نگه,niɡaːɦ,ŋh,gaze,Hold,1.0,0.6,0.5666666666666667,0.625,4.825,0.625,5,loan,1,-3.7368742999999993,0.6043029427528381,0.4790523648262024
4,4,4,3870,नीरस,پوچ,niːrəs,pvt͡ʃ,monotonous,Empty,1.0,1.0,0.4791666666666667,0.55,4.975,0.5291666666666667,4,synonym,0,-7.9072475,0.5506713390350342,0.647662341594696
5,5,5,515,तराना,ترانه,təraːnaː,trɒnh,Tune,Song,0.625,0.3333333333333333,0.2118055555555555,0.2361111111111111,2.395833333333333,0.2291666666666666,5,loan,1,4.951333999999999,0.334065705537796,0.7542099356651306
6,6,6,1097,लश्करी,لشکری,ləʃkəriː,lʃkrj,Lashkari,لشکری,0.5,0.4285714285714285,0.2738095238095238,0.3095238095238095,2.482142857142857,0.3035714285714285,6,loan,1,0.47882295,0.3526406288146973,0.7548438310623169
7,7,7,1271,सुर्ख़,سرخ,surxə,srx,ruddy,Red,0.4,0.4,0.3583333333333333,0.4,2.9,0.4,6,loan,1,2.1663911,0.5593800544738771,0.7296354174613953
8,8,8,186,सारांश,فشرده کردن,saːraːnʃə,fʃrdh krdn,Summary,Compress,1.0,0.6666666666666666,0.3541666666666666,0.4074074074074074,4.5694444444444455,0.375,10,synonym,0,-13.013025,0.42892467975616455,0.4954359531402588
9,9,9,2889,शानदार,عجیب,ʃaːndaːr,ʔd͡ʒjb,Fabulous,Amazing,1.0,1.0,0.4409722222222222,0.5,4.8125,0.4722222222222223,6,synonym,0,-12.735211,0.6070526838302612,0.8357855677604675
10,10,10,1245,सायबान,سایبان,saːjbaːn,sɒjbɒn,penthouse,Canopy,0.5,0.0,0.0416666666666666,0.0416666666666666,0.5,0.0416666666666666,6,loan,1,-0.6991489000000001,0.5329136252403259,0.8426592946052551
11,11,11,4365,काल,ترسو,kaːl,trsv,Era,Coward,1.0,1.0,0.3854166666666666,0.4479166666666666,4.65625,0.40625,4,synonym,0,-12.06625,0.5781136155128479,0.5465390682220459
12,12,12,1208,सफ़ेद,سفید,səfed,sfjd,White,White,0.4,0.4,0.2041666666666667,0.2333333333333333,2.025,0.225,5,loan,1,3.368179,0.6076081395149231,0.4477197825908661
13,13,13,3663,खेल,کمیک,kʰel,kmjk,Play,Comics,0.75,0.5,0.3541666666666667,0.3958333333333333,4.0625,0.3802083333333333,4,synonym,0,-9.458771,0.5297613143920898,0.7427205443382263
14,14,14,411,ज़बानी,زبانی,zəbaːniː,zbɒnj,verbally,Language,0.625,0.3333333333333333,0.1909722222222222,0.2152777777777778,1.9375,0.2083333333333333,6,loan,1,2.7397008,0.4037476778030396,0.676885724067688
15,15,15,34,अरमान,ارمان,armaːn,ɒrmɒn,desires,Goals,0.5,0.0,0.0416666666666666,0.0416666666666666,0.5,0.0416666666666666,5,loan,1,-0.9403553,0.6094462871551514,0.6199432015419006
16,16,16,1535,हठी,سرسخت,ɦəʈʰiː,srsxt,stubborn,Tough,1.0,0.8,0.3583333333333333,0.4166666666666666,5.2,0.375,5,synonym,0,-15.758442,0.3270229697227478,0.664519727230072
17,17,17,225,ख़त,زبان,xət,zbɒn,letter,Language,1.0,0.75,0.34375,0.375,3.40625,0.3697916666666667,4,random,0,-13.174354,0.3496810495853424,0.3439047932624817
18,18,18,914,मरकज़,مرکز,mərkəz,mrkz,markaz,Center,0.3333333333333333,0.3333333333333333,0.2986111111111111,0.3333333333333333,2.4166666666666665,0.3333333333333333,5,loan,1,4.117602,0.3965660631656647,0.40296438336372375
19,19,19,3071,नपुंसक,ناتوان,nəpunsək,nɒtvɒn,Impotent,ناتوان,0.875,0.5,0.3307291666666666,0.3645833333333333,3.0625,0.3541666666666667,6,synonym,0,-7.512942,0.5144720077514648,0.6528552174568176
20,20,20,4461,बादल,ابری,baːdəl,ɒbrj,Cloud,Cloudy,1.0,0.6,0.325,0.3833333333333333,4.0,0.3458333333333333,4,synonym,0,-12.71624,0.494956374168396,0.3529704213142395
21,21,21,2578,जान-बूझकर,محتاط,d͡ʒaːnə-buːd͡ʒ̤kər,mhtɒt,intentionally,Prudent,1.0,0.9,0.5270833333333333,0.5916666666666666,4.7625,0.5791666666666667,9,synonym,0,-13.2368765,0.2981352806091309,0.6403908729553223
22,22,22,3605,भयभीत,وحشتناک,b̤əjb̤iːt,vhʃtnɒk,Frightened,horrible,1.0,0.7142857142857143,0.2916666666666666,0.3214285714285715,3.625,0.3035714285714285,7,synonym,0,-13.002268,0.5232462286949158,0.7921332716941833
23,23,23,3530,आत्मीयता,همصدا,aːtmiːjtaː,hmsdɒ,intimacy,همصدا,0.9,0.5714285714285714,0.3452380952380953,0.3809523809523809,3.75,0.375,8,synonym,0,-8.531225,0.4431716501712799,0.6575209498405457
24,24,24,1194,संगतराश,سنگتراش,səŋɡtəraːʃ,sŋtrɒʃ,freebies,سنگتراش,0.5,0.3333333333333333,0.3125,0.3472222222222222,2.583333333333333,0.3472222222222222,7,loan,1,-6.0805078,0.2962469160556793,0.7850651741027832
25,25,25,140,कबाब,سؤال,kəbaːb,svʔɒl,Kebab,a question,1.0,0.8,0.2208333333333333,0.2416666666666666,4.45,0.2208333333333333,4,random,0,-4.8352757,0.5054295659065247,0.7005223035812378
26,26,26,1326,हिकमत,حکمت,ɦikmət,hkmt,wisdom,Wisdom,0.5,0.3333333333333333,0.3055555555555556,0.3402777777777778,2.458333333333333,0.3402777777777778,5,loan,1,2.354906,0.565273642539978,0.663362979888916
27,27,27,409,ज़फ़र,ظفر,zəfər,zfr,zafar,ظفر,0.4,0.4,0.3583333333333333,0.4,2.9,0.4,5,loan,1,4.5162125,0.384292870759964,0.5023255348205566
28,28,28,3155,प्रदूषित,نجس,prəduːʂit,nd͡ʒs,polluted,Najis,0.8888888888888888,0.875,0.5885416666666667,0.6614583333333335,5.0625,0.6614583333333335,8,synonym,0,-12.48923,0.4838507771492005,0.5885347127914429
29,29,29,649,अनिश्चितकालीन,نا معلوم,aniʃt͡ʃitkaːliːn,nɒ mʔlvm,indefinite,Unknown,0.875,0.75,0.4618055555555555,0.5104166666666666,4.645833333333333,0.5017361111111112,13,synonym,0,-20.016376,0.2997799217700958,0.5927078127861023
30,30,30,1061,राह,راه,raːɦ,rɒh,way,Way,0.75,0.0,0.0555555555555555,0.0555555555555555,0.5833333333333334,0.0555555555555555,3,loan,1,-1.233362,0.4717357158660889,0.6990952491760254
31,31,31,978,मुक़दमा,مقدمه,muqdəmaː,mɣdmh,trial,Introduction,0.625,0.4285714285714285,0.3095238095238096,0.3452380952380952,3.125,0.3392857142857143,7,loan,1,2.153833,0.494555652141571,0.6329402923583984
32,32,32,720,पर्दा,پرده,pərdaː,prdh,Curtain,Curtain,0.5,0.4,0.2291666666666666,0.2583333333333333,2.575,0.25,5,loan,1,3.287949,0.6345909237861633,0.6371205449104309
33,33,33,3246,साहस,استحکام - قدرت,saːɦəs,ɒsthkɒm - ɣdrt,courage,Strength - power,0.9285714285714286,0.6363636363636364,0.5359848484848485,0.5984848484848485,4.954545454545454,0.5946969696969697,14,synonym,0,-29.606213,0.4237728714942932,0.6900267004966736
34,34,34,1059,राय,رأی,raːj,rɒʔj,opinion,Vote,0.5,0.25,0.2552083333333333,0.28125,2.1875,0.28125,3,loan,1,-2.6030703,0.4899647533893585,0.6784514784812927
35,35,35,1261,सिरका,سرکه,sirkaː,srkh,vinegar,Vinegar,0.5,0.4,0.2291666666666666,0.2583333333333333,2.575,0.25,5,loan,1,1.5054076,0.6071732044219971,0.641862690448761
36,36,36,155,क़त्ल,قتل,qətlə,ɣtl,murder,killing,0.6,0.4,0.3833333333333334,0.425,3.25,0.425,5,loan,1,2.9366622,0.38833487033844,0.622103750705719
37,37,37,1105,लिबास,لباس,libaːs,lbɒs,dress,Dress,0.5,0.2,0.2041666666666667,0.225,1.75,0.225,5,loan,1,3.7742157,0.449187695980072,0.6466625928878784
38,38,38,1211,सब्ज़,آخری,səbzə,ɒxrj,vegetable,the final,1.0,0.8,0.3166666666666666,0.3583333333333333,3.625,0.3333333333333333,5,random,0,-10.644705,0.4104318618774414,0.526538074016571
39,39,39,920,मरीज़,مریض,məriːz,mrjz,patients,مریض,0.5,0.4,0.2041666666666667,0.2333333333333333,2.025,0.225,5,loan,1,6.4911118,0.6393366456031799,0.7590416669845581
40,40,40,20,अदा,ادا,adaː,ɒdɒ,paid,Pay,0.75,0.0,0.0694444444444444,0.0694444444444444,0.8333333333333334,0.0694444444444444,3,loan,1,-0.6424835,0.5040681362152101,0.6303362846374512
41,41,41,4536,प्रतिकारक,شورش,prətikaːrək,ʃvrʃ,Resistant,Rebellion,0.9090909090909092,0.8,0.5895833333333333,0.6625,5.125,0.6583333333333333,9,synonym,0,-18.297703,0.5164834856987001,0.5450657606124878
42,42,42,570,दफ़ा,دفاع,dəfaː,dfɒʔ,once,Defense,0.6,0.5,0.25,0.2916666666666666,4.0,0.25,4,loan,1,4.590227,0.4139334559440613,0.6380436420440674
43,43,43,405,ज़कात,شاگرد,zəkaːt,ʃɒɡrd,Zakat,Student,1.0,0.2,0.1291666666666666,0.1583333333333333,1.85,0.1291666666666666,5,random,0,-11.731932,0.382345050573349,0.5129683613777161
44,44,44,1083,रेशमी,ابریشمی,reʃmiː,ɒbrjʃmj,silky,Silk,0.7142857142857143,0.5714285714285714,0.2916666666666667,0.3333333333333333,2.8928571428571432,0.3214285714285714,7,loan,1,-13.696938,0.5008587837219238,0.648659348487854
45,45,45,210,कीमिया,کیمیا,kiːmijaː,kjmjɒ,alchemy,Alchemy,0.625,0.3333333333333333,0.1909722222222222,0.2152777777777778,1.9375,0.2083333333333333,6,loan,1,1.4374806,0.3911554217338562,0.6610273718833923
