,Unnamed: 0,Unnamed: 0.1,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,label,label_bin,DNNlogits_modelpredicted,m-bert_cosim,xlm_cosim
0,0,4765,साफ,خالص,saːpʰ,xɒls,Clean,pure,1.0,0.75,0.3541666666666666,0.3854166666666667,3.3125,0.375,4,synonym,0,-8.168253,0.572709321975708,0.7170794010162354
1,1,677,नादिरशाही,نادر شاه,naːdirʃaːɦiː,nɒdr ʃɒh,nadirshahi,Nader Shah,0.75,0.2222222222222222,0.2314814814814815,0.2546296296296296,1.9722222222222223,0.2546296296296296,9,loan,1,5.6654778,0.5248675346374512,0.45858925580978394
2,2,1339,ज़ात,داد,zaːt,dɒd,caste,Dad,1.0,0.0,0.0694444444444444,0.0694444444444444,0.9166666666666666,0.0694444444444444,4,hard_negative,0,-1.99144,0.5383127927780151,0.18785357475280762
3,3,622,अस्पष्ट,اسرار امیز,aspəʂʈə,ɒsrɒr ɒmjz,Unclear,Mysterious,0.9,0.6666666666666666,0.3310185185185185,0.3796296296296296,3.736111111111111,0.3518518518518518,10,synonym,0,-19.436148,0.41592010855674744,0.7478264570236206
4,4,1073,रूद,رود,ruːd,rvd,rudd,River,0.5,0.3333333333333333,0.1180555555555555,0.1388888888888889,2.833333333333333,0.1180555555555555,3,loan,1,4.4127955000000005,0.5099553465843201,0.8232148885726929
5,5,274,अशिष्ट,تیز,aʃiʂʈə,tjz,Impolite,Sharp,1.0,0.6666666666666666,0.5,0.5555555555555555,4.4375,0.548611111111111,6,synonym,0,-14.593798999999999,0.38438284397125244,0.6068758964538574
6,6,56,आज़ाद,آزاد,aːzaːd,ɒzɒd,free,Free,0.6666666666666666,0.0,0.0625,0.0625,0.75,0.0625,5,loan,1,1.3685088,0.5402586460113525,0.7773417830467224
7,7,1339,हैरान,لشکری,ɦæːraːn,lʃkrj,astonished,لشکری,0.8571428571428571,0.8,0.2791666666666667,0.35,5.375,0.2791666666666667,5,random,0,-12.737733,0.37446287274360657,0.7514541149139404
8,8,1337,हुस्न,سرد,ɦusnə,srd,beauty,Cold,0.8,0.8,0.4458333333333334,0.5083333333333333,4.725,0.4875,5,random,0,-7.510492,0.46250444650650024,0.3168047368526459
9,9,273,ख़ुशबू,خوشبو,xuʃbuː,xvʃbv,fragrance,Fragrant,0.5,0.4,0.1333333333333333,0.1583333333333333,3.3,0.1333333333333333,6,loan,1,2.5762117,0.5482152700424194,0.7082272171974182
10,10,3740,निष्पक्ष,بی طرفانه,niʂpəkʂə,bj trfɒnh,Neutral,Impartially,1.0,0.75,0.2213541666666666,0.2604166666666667,3.984375,0.2213541666666666,9,synonym,0,-15.606579,0.44364601373672485,0.6194258332252502
11,11,2459,चाहते हैं,ناکافی,t͡ʃaːɦte ɦæːn,nɒkɒfj,want to,Insufficient,1.0,0.75,0.3619791666666667,0.3958333333333333,3.859375,0.3854166666666667,9,synonym,0,-12.820911,0.38247591257095337,0.42314887046813965
12,12,4475,छुपे हुए,پنهان شده است,t͡ʃʰupe ɦue,pnhɒn ʃdh ɒst,hidden,Is hidden,0.9230769230769232,0.7272727272727273,0.4450757575757575,0.4924242424242424,4.7727272727272725,0.4772727272727273,12,synonym,0,-32.84511,0.3772895932197571,0.6098629832267761
13,13,3261,संकल्प,متل,səŋklpə,mtl,oath,like,0.8571428571428571,0.8571428571428571,0.5654761904761906,0.625,4.732142857142857,0.6220238095238094,6,synonym,0,-10.594591000000001,0.5119297504425049,0.5371748208999634
14,14,4069,सुल्ताना,داستانی,sultaːnaː,dɒstɒnj,Sultana,Story,0.7777777777777778,0.2857142857142857,0.0952380952380952,0.1011904761904761,1.5535714285714286,0.0952380952380952,8,hard_negative,0,-15.512324,0.5297080874443054,0.6292253732681274
15,15,1284,केवल,با شکوه,kevəl,bɒ ʃkvh,Only,glorious,1.0,0.6666666666666666,0.3159722222222222,0.3541666666666667,3.7291666666666665,0.3333333333333333,7,synonym,0,-12.546037,0.30406057834625244,0.1784721165895462
16,16,937,मसाला,مصالح,məsaːlaː,msɒlh,Spices,Materials,0.625,0.3333333333333333,0.2118055555555555,0.2361111111111111,2.395833333333333,0.2291666666666666,5,loan,1,6.295816,0.5409122109413147,0.5938707590103149
17,17,2278,पहलू,آتلیه,pəɦluː,ɒtljh,aspect,Atelier,0.8333333333333334,0.6,0.3041666666666667,0.3416666666666667,4.9,0.3041666666666667,5,hard_negative,0,-10.124092,0.487775057554245,0.538699209690094
18,18,4954,उबाऊ,بی مزه,ubaːuː,bj mzh,boring,tasteless,1.0,1.0,0.375,0.425,5.75,0.3958333333333333,6,synonym,0,-11.461955,0.5902366042137146,0.6889663338661194
19,19,3841,सदी,چاپچی,sədiː,t͡ʃɒpt͡ʃj,century,چاپچی,1.0,0.8,0.2958333333333333,0.325,3.0,0.3125,5,hard_negative,0,-14.122573999999998,0.4223354458808899,0.42987483739852905
20,20,855,समर्पित,شدید، قوی,səmrpit,ʃdjd، ɣvj,Dedicated,"Intense, strong",1.0,0.8571428571428571,0.2351190476190476,0.2678571428571428,4.303571428571429,0.2351190476190476,9,synonym,0,-6.774886,0.3945859670639038,0.22021347284317017
21,21,2051,शांति,صلح,ʃaːnti,slh,Peace,Peace,1.0,0.8,0.4375,0.4833333333333333,4.275,0.4791666666666666,5,synonym,0,-8.137821,0.5626605749130249,0.8020303249359131
22,22,164,क़व्वाल,قوال,qəvvaːl,ɣvɒl,qawwal,قوال,0.7142857142857143,0.3333333333333333,0.34375,0.375,2.958333333333333,0.375,7,loan,1,3.0590875,0.5441686511039734,0.6915413737297058
23,23,4106,आमोद-प्रमोद,نشاط,aːmodə-prəmod,nʃɒt,fun,Activity,1.0,0.7272727272727273,0.5965909090909091,0.6704545454545454,4.965909090909091,0.6685606060606062,11,synonym,0,-16.63887,0.3710046410560608,0.6646340489387512
24,24,1663,तस्दीक़,سپاسدار,təsdiːq,spɒsdɒr,proof,Thank you,0.8571428571428571,0.2857142857142857,0.2261904761904762,0.255952380952381,2.482142857142857,0.2410714285714285,7,hard_negative,0,-11.91333,0.3859911561012268,0.775492250919342
25,25,4245,हिसाब,آداب,ɦisaːb,ɒdɒb,Maths,Etiquette,0.8333333333333334,0.2,0.2541666666666666,0.275,2.4,0.275,5,hard_negative,0,-6.1099763,0.5041336417198181,0.6429674029350281
26,26,387,जन्नत,جنت,d͡ʒənnət,d͡ʒnt,Heaven,heaven,0.375,0.5,0.4513888888888889,0.5,3.625,0.5,5,loan,1,5.4256353,0.592781126499176,0.7143505215644836
27,27,276,ख़ुशामद,سوار,xuʃaːməd,svɒr,happy,Riding,1.0,0.7142857142857143,0.4583333333333333,0.5178571428571429,4.428571428571429,0.5029761904761905,7,random,0,-2.8387398999999998,0.4329887926578522,0.6520737409591675
