,loan_word,original_word,cos_similarity
0,अंगूर,انگور,0.507565
1,अंगूरी,انگوری,0.4577295
2,अंजाम,انجام,0.2868642
3,अंदर,اندر,0.5650711
4,अंदरुनी,اندرونی,0.46194494
5,अंदाज़,اندازه,0.45419398
6,अंदेशा,اندیشه,0.4280624
7,अक्स,عکس,0.53893274
8,अख़बार,اخبار,0.4914552
9,अगर,اگر,0.39949983
10,अगरचे,اگرچه,0.3492326
11,अचार,آچار,0.6039811
12,अजनबी,اجنبی,0.64486754
13,अज़दहा,اژدها,0.5269074
14,अज़ान,اذان,0.564495
15,अज़ाब,عذاب,0.5551051
16,अज़ीज़,عزیز,0.54095954
17,अज़ीम,عظیم,0.5081395
18,अजीब,عجیب,0.510862
19,अतलस,اطلس,0.43743902
20,अदा,ادا,0.5040614
21,अदालत,عدالت,0.60676765
22,अनार,انار,0.5530744
23,अन्‍ताकिया,انطاکیه,0.40368944
24,अफ़साना,افسانه,0.46046987
25,अफ़सोस,افسوس,0.43792993
26,अफ़ीम,افیون,0.5404694
27,अफ़्ग़ानिस्तान,افغانستان,0.42287493
28,अफ़्सोस,افسوس,0.43792993
29,अबाबील,ابابیل,0.6727708
30,अब्र,ابر,0.62406534
31,अब्रू,ابرو,0.59822387
32,अमरूद,امرود,0.45440742
33,अमीर,امیر,0.5300447
34,अरमान,ارمان,0.60944885
35,अरस्तू,ارسطو,0.56569105
36,अर्क़,عرق,0.52355146
37,अर्ज़,عرض,0.324189
38,अर्ज़ी,ارضی,0.39840102
39,अलादीन,علاءالدین,0.59028673
40,अलिफ़,الف,0.5309041
41,अव्वल,اول,0.5062132
42,अशरफ़ी,اشرفی,0.5017603
43,अश्क,اشک,0.44106716
44,असर,اثر,0.40785927
45,असली,اصلی,0.41162637
46,अहल ईमान,اهل ایمان,0.42055172
47,आइंदा,آینده,0.49960044
48,आईना,آئینه,0.6321277
49,आक़ा,آقا,0.5842942
50,आख़िरी,آخری,0.4121122
51,आग़ाज़,آغاز,0.34620178
52,आग़ोश,آغوش,0.59917307
53,आगाह,آگاه,0.5827393
54,आगाही,آگاهی,0.53804284
55,आचार,آچار,0.5793373
56,आज़ाद,آزاد,0.5404343
57,आज़ादी,آزادی,0.45724213
58,आतिश,آتش,0.5189703
59,आतिशबाज़ी,آتش‌بازی,0.4743157
60,आदत,عادت,0.5835596
61,आदमी,آدمی,0.6783852
62,-आना,ـانه,0.49196097
63,आफ़त,آفت,0.48061797
64,आफ़ताब,آفتاب,0.4995412
65,आफ़रीन,آفرین,0.45814836
66,आब,آب,0.49553892
67,आब-ए-चश्म,آب چشم,0.46290964
68,आबकार,آبکار,0.56667566
69,आबदस्त,آبدست,0.596579
70,आबरू,آبرو,0.61811775
71,आबला,آبله,0.54186964
72,आबाद,آباد,0.50589675
73,आमदनी,آمدنی,0.52761835
74,आरज़ू,آرزو,0.71611786
75,आराम,آرام,0.6484346
76,आलू,آلو,0.625516
77,आवाज़,آواز,0.6101366
78,आशना,آشنا,0.680254
79,आशिक़ी,عاشقی,0.56657565
80,आशियाना,آشیانه,0.4838434
81,आसमान,آسمان,0.5712253
82,आसान,آسان,0.62048805
83,आस्तीन,آستین,0.59825844
84,आहिस्ता,آهسته,0.5809842
85,इंतक़ाल,انتقال,0.40496737
86,इंतख़ाब,‫انتخاب‬,0.36061743
87,इंसान,انسان,0.43412986
88,इंसानी,انسانی,0.36479586
89,इक़रार,اقرار,0.3355075
90,इख़्तियार,اختیار,0.29860008
91,इजमाली,اجمالی,0.5002399
92,इज़ाफ़ा,اضافه,0.33471254
93,इज़्ज़त,عزت,0.5851528
94,इत्तिफ़ाक़,اتفاق,0.30939654
95,इत्तिहाद,اتحاد,0.51026154
96,इत्तेला,اطلاع,0.3648061
97,इत्मीनान,اطمینان,0.48801893
98,इनकार,انکار,0.48119134
99,इफ़्तिताह,افتتاح,0.4135013
100,इब्तिदाई,إِبْتِدَائِيّ,0.6523335
101,इब्री,عبری,0.3743474
102,इब्रीक़,ابریق,0.54537195
103,इमला,املا,0.51846045
104,इमारत,عمارت,0.6786931
105,इम्तहान,امتحان,0.43412882
106,-इयत,ـیت,0.44876873
107,इरादतन,ارادتاً,0.4240119
108,इरादा,اراده,0.44112486
109,इर्द-गिर्द,گرد,0.49401742
110,इलज़ाम,الزام,0.5581558
111,इलाहाबाद,الله‌آباد,0.50189525
112,इसरार,اصرار,0.4450129
113,इस्लाम,اسلام,0.6103011
114,-ई,ـی,0.5686526
115,-ईन,ـین,0.51049495
116,ईमानदार,ایمان دار,0.59580266
117,ईरान,ایران,0.62907755
118,ईरानी,ایرانی,0.57058746
119,उम्दा,عمده,0.42014506
120,उम्मीद,امید,0.6097316
121,उर्दू,اردو,0.72249377
122,उलफ़त,الفت,0.5082517
123,उलमा,علماء,0.44195002
124,उसमान,عثمان,0.55989903
125,उस्तरा,استره,0.55962276
126,उस्ताद,استاد,0.53150874
127,उस्मानी,عثمانی,0.5930858
128,एकाएक,یکایک,0.4873037
129,एतबार,اعتبار,0.4007348
130,एवज़,عوض,0.45937416
131,एहतियात,احتیاط,0.431747
132,एहसान,احسان,0.52146095
133,ऐतराज़,اعتراض,0.48839638
134,ऐनक,عینک,0.6162374
135,ऐयाशी,عیاشی,0.59540313
136,ओ,او,0.5602473
137,ओहदा,عهده,0.24932505
138,कद्दू,کدو,0.52544475
139,कनीज़,کنیز,0.7052237
140,कबाब,کباب,0.67790544
141,कबाबचीनी,کبابه چینی,0.7177914
142,कबूतर,کبوتر,0.6050012
143,कम-,کم,0.50447714
144,कमर,کمر,0.6409203
145,कमान,کمان,0.61488426
146,कमी,کمی,0.5639504
147,कमीना,کمینه,0.49082962
148,कमोबेश,کم و بیش,0.46370465
149,करघा,کارگاه,0.377157
150,कलफ़,کلف,0.54138625
151,कलमकारी,قلم,0.5149582
152,कश,کش,0.59046036
153,कश्ती,کشتی,0.22916709
154,क़तार,قطار,0.4706293
155,क़त्ल,قتل,0.42631426
156,क़द,قد,0.50264287
157,क़द्र,قدر,0.3645425
158,क़बूल,قبول,0.37661242
159,क़ब्ज़ा,قبضه,0.54310447
160,क़ब्रिस्तान,قبرستان,0.40970758
161,क़रार,قرار,0.3613999
162,क़र्ज़,قرض,0.45040467
163,क़ल्ब,قلب,0.44364876
164,क़व्वाल,قوال,0.5388915
165,क़सम,قسم,0.36726797
166,क़सीदा,قصیده,0.49514437
167,क़हवा,قهوه,0.5193751
168,क़ाज़ी,قاضی,0.47837377
169,क़ानून,قانون,0.4352132
170,क़ानूनी,قانونی,0.3782675
171,क़ाफ़िला,قافله,0.44143638
172,क़ाबिल,قابل,0.3821797
173,क़ायदा,قاعده,0.48852533
174,क़ालीन,قالین,0.49444833
175,क़िरमिज़,قرمز,0.490524
176,क़िला,قلعه,0.46482202
177,क़िल्लत,قلت,0.4610581
178,क़िस्मत,قسمت,0.33135268
179,क़ीमत,قیمت,0.41303906
180,क़ीमती,قیمتی,0.37085935
181,क़ीमा,قیمه,0.4595208
182,क़ुव्वत,قوت,0.4725192
183,क़ुस्तुंतुनिया,قسطنطنیه,0.3687825
184,क़ैंची,قیچی,0.48704085
185,क़ैद,قید,0.39941257
186,क़ैदख़ाना,قیدخانه,0.28820136
187,क़ैदी,قیدی,0.4102492
188,कागद,کاغذ,0.6970784
189,काग़ज़,کاغذ,0.58216834
190,काग़ज़ात,کاغذات,0.55203295
191,काफ़िर,کافر,0.6916116
192,काफ़ी,کافی,0.4930135
193,काबीना,کابینه,0.5510101
194,कामयाब,کامیاب,0.63161755
195,कार,کار,0.43020335
196,कारख़ाना,کارخانه,0.37496704
197,कारगर,کارگر,0.42532432
198,कारवाँ,کاروان,0.45632014
199,कारीगर,کارگر,0.49210384
200,कारोबार,کاروبار,0.5435098
201,काश,کاش,0.7246591
202,कासा,کاسه,0.7289195
203,कि,که,0.497013
204,किफ़ायत,کفایت,0.5533649
205,किफ़ायती,کفایتی,0.5318676
206,किराया,کرایه,0.5754565
207,किरायेदार,کرایه دار,0.5224754
208,किशमिश,کشمش,0.5917421
209,किशवर,کشور,0.24294375
210,कीमिया,کیمیا,0.3910895
211,कुंद,کند,0.36178285
212,कुदरत,قدرت,0.40015417
213,कुमक,کمک,0.3482262
214,कुरता,کرته,0.58485216
215,कुश्ती,کشتی,0.2588465
216,कूच,کوچ,0.57845324
217,कूर,کور,0.58524424
218,कोफ़्ता,کوفته,0.6671684
219,कोर,کور,0.7426704
220,कोशिश,کوشش,0.5607397
221,कोह,کوه,0.52988315
222,कोहेनूर,کوه نور,0.38020626
223,ख़ंजर,خنجر,0.49512088
224,ख़ज़ाना,خزانه,0.52891606
225,ख़त,خط,0.4122033
226,ख़तना,ختنه,0.5639445
227,ख़तरनाक,خطرناک,0.5230095
228,ख़फ़ा,خفه,0.5877928
229,ख़बर,خبر,0.54838836
230,ख़बरनवीस,خبرنویش,0.39704016
231,ख़म,خم,0.60429853
232,ख़मीर,خمیر,0.6022637
233,ख़याल,خیال,0.59195304
234,ख़रगोश,خرگوش,0.5334303
235,ख़राब,خراب,0.65050083
236,ख़राश,خراش,0.6061091
237,ख़रीद,خرید,0.48004547
238,ख़रीदना,خریدن,0.4587331
239,ख़रीदार,خریدار,0.40828323
240,ख़र्च,خرچ,0.50772196
241,ख़र्चा,خرچه,0.53166866
242,ख़लक़,خلق,0.4542856
243,ख़सरा,خسره,0.52822125
244,ख़ाक,خاک,0.4224335
245,ख़ाक़ान,خاقان,0.53414315
246,ख़ाका,خاکا,0.46708265
247,ख़ाकी,خاکی,0.4443489
248,ख़ातिर,خاطر,0.5205836
249,ख़ातून,خاتون,0.5673373
250,ख़ान,خان,0.55620414
251,ख़ानगी,خانگی,0.49653277
252,ख़ानदान,خاندان,0.4043665
253,ख़ानदानी,خاندانی,0.34432098
254,ख़ाना,خانه,0.50546485
255,ख़ानाबदोश,خانه‌بهدوش,0.40725517
256,ख़ामी,خامی,0.5988011
257,ख़ामोश,خاموش,0.57922757
258,ख़ामोशी,خاموشی,0.61208636
259,ख़ाला,خاله,0.55642205
260,ख़ालिक़,خالق,0.56659585
261,ख़ाली,خالی,0.569699
262,ख़िदमतगार,خدمتگار,0.3513958
263,ख़िलाफ़त,خلافت,0.36614567
264,ख़ुद,خود,0.407015
265,ख़ुदकुशी,خودکشی,0.37426537
266,ख़ुदा,خدا,0.3800968
267,ख़ुदा हाफ़िज़,خدا حافظ,0.32291156
268,ख़ुर्दबीन,خردبین,0.506137
269,ख़ुश,خوش,0.5507685
270,ख़ुशआमदीद,خوش آمدید,0.4163885
271,ख़ुशक़िस्मत,خوش قسمت,0.39619914
272,ख़ुशनवीसी,خُوشنَوِیسی,0.59815043
273,ख़ुशबू,خوشبو,0.5245338
274,ख़ुशहाल,خوشحال,0.45508352
275,ख़ुशहाली,خوشحالی,0.45508352
276,ख़ुशामद,خش‌آمد,0.49704528
277,ख़ुशी,خوشی,0.50961864
278,ख़ूँख़ार,خونخوار,0.4490043
279,ख़ून,خون,0.3774433
280,ख़ूब,خوب,0.45218965
281,ख़ूबसूरत,خوب‌صورت,0.38989747
282,ख़ूबानी,خوبانی,0.4977397
283,ख़ूबी,خوبی,0.45772454
284,ख़ैर,خیر,0.4652072
285,ख़ैरात,خیرات,0.46939033
286,ख़ैरियत,خیریه,0.41000292
287,ख़ौफ़,خوف,0.53762925
288,ख़्वाजा,خواجه,0.5557843
289,ख़्वाब,خواب,0.6297124
290,ख़्वाबगाह,خوابگاه,0.6297124
291,ख़्वाहिश,خواهش,0.6232998
292,खीसा,کیسه,0.5978316
293,गंदगी,گندگی,0.54313236
294,गंदा,گنده,0.6587895
295,गज़,گز,0.68895787
296,गज़र,گزر,0.57971
297,गरेबान,گریبان,0.38349473
298,गर्द,گرد,0.608469
299,गर्दन,گردن,0.57256824
300,गर्दिश,گردش,0.5540371
301,-गर्दी,گردی,0.39405254
302,गर्म,گرم,0.553296
303,गर्मी,گرمی,0.66983455
304,गवाह,گواه,0.70171934
305,गवाही,گواهی,0.63731825
306,गश्त,گشت,0.62914395
307,ग़ज़ब,غضب,0.53949934
308,ग़ज़ल,غزل,0.48365188
309,ग़ज़ा,غزه,0.56846017
310,ग़द्दार,غدار,0.5330704
311,ग़म,غم,0.6581237
312,ग़रीबी,غریبی,0.63652956
313,ग़लत,غلط,0.5292444
314,ग़लती,غلطی,0.5292444
315,ग़ुलाम,غلام,0.6419309
316,ग़ुस्सा,غصه,0.55071896
317,ग़ैर,غیر,0.42321965
318,ग़ैर-,غیر,0.42321965
319,ग़ोता,غوطه,0.64007217
320,गिरफ़्त,گرفت,0.45381063
321,गिरफ़्तार,گرفتار,0.444944
322,गिरफ़्तारी,گرفتاری,0.4223126
323,गिरह,گره,0.6377465
324,-गिरी,گری,0.33944267
325,गिरोह,گروه,0.37734008
326,गिलहरी,گلهری,0.49973193
327,गिलास,گیلاس,0.68344975
328,गिलीम,گلیم,0.5856605
329,गुंजाइश,گنجایش,0.46713427
330,गुज़र,گذر,0.60528064
331,गुज़श्ता,گذشته,0.3731687
332,गुज़ारा,گذاره,0.58084035
333,गुज़ारिश,گزارش,0.39535028
334,गुनाह,گناه,0.6149891
335,गुफ़्तगू,گفتگو,0.40773475
336,गुफ़्तार,گفتار,0.39976215
337,गुम,گم,0.5872801
338,गुमनाम,گم‌نام,0.5890119
339,गुमशुदा,گم‌شده,0.5882328
340,गुर्जिस्तान,گرجستان,0.463636
341,गुलज़ार,گلزار,0.6717615
342,गुलदान,گلدان,0.6244813
343,गुलशन,گلشن,0.6598742
344,गुलाब,گلاب,0.5233737
345,गुलूबंद,گلو بند,0.4964783
