,loan_word,original_word,cos_similarity
0,अंगूर,هر,0.40681553
1,अंगूरी,مولا,0.5290992
2,अंजाम,تنبو,0.47737294
3,अंदर,منیب,0.561981
4,अंदरुनी,شکریه,0.38843685
5,अंदाज़,طلاق,0.58089054
6,अंदेशा,رشوه,0.47585526
7,अक्स,درخت,0.5022815
8,अख़बार,زنده,0.30714884
9,अगर,بنده,0.6250083
10,अगरचे,خاکی,0.423676
11,अचार,حافظه,0.59033394
12,अजनबी,جلوه,0.42702237
13,अज़दहा,وقفه,0.45543995
14,अज़ान,قتل,0.4858074
15,अज़ाब,دروان,0.50835407
16,अज़ीज़,جان,0.589115
17,अज़ीम,دم,0.47564238
18,अजीब,گرد,0.3319589
19,अतलस,گفتار,0.39765173
20,अदा,شربت,0.3456388
21,अदालत,بجای,0.5178658
22,अनार,سلسله,0.41219994
23,अन्‍ताकिया,مفتی,0.60576814
24,अफ़साना,شاباش,0.39167058
25,अफ़सोस,یخ,0.44050205
26,अफ़ीम,ببر,0.5083896
27,अफ़्ग़ानिस्तान,جنت,0.3824397
28,अफ़्सोस,سفر,0.47513828
29,अबाबील,مریض,0.42863965
30,अब्र,آبله,0.5133168
31,अब्रू,پروانگی,0.29972515
32,अमरूद,گندگی,0.40169057
33,अमीर,نر,0.50056565
34,अरमान,خمیر,0.4864869
35,अरस्तू,روزن,0.4500709
36,अर्क़,تیراندازی,0.42720112
37,अर्ज़,لاجورد,0.3438439
38,अर्ज़ी,ایران,0.3838487
39,अलादीन,دفتر,0.4592794
40,अलिफ़,گلشن,0.41557667
41,अव्वल,زیور,0.43173087
42,अशरफ़ी,بس,0.5212434
43,अश्क,سلام,0.59422
44,असर,عجیب,0.6053164
45,असली,کرایه دار,0.41078895
46,अहल ईमान,شیر,0.38696322
47,आइंदा,فقط,0.43175817
48,आईना,کمر,0.5119857
49,आक़ा,آفتاب,0.47590536
50,आख़िरी,خانه,0.44811556
51,आग़ाज़,حکمران,0.35516706
52,आग़ोश,نعره,0.45346668
53,आगाह,حاضر,0.33408347
54,आगाही,جذبه,0.46320316
55,आचार,فتح,0.51610893
56,आज़ाद,شکر گزار,0.30486903
57,आज़ादी,امیر,0.51351714
58,आतिश,اتفاق,0.28230914
59,आतिशबाज़ी,وکیل,0.4163198
60,आदत,گریبان,0.55026805
61,आदमी,قابل,0.44510376
62,-आना,ویران,0.2990149
63,आफ़त,سطح,0.34610048
64,आफ़ताब,مثال,0.30211735
65,आफ़रीन,نوبت,0.46054366
66,आब,ایرانی,0.49874848
67,आब-ए-चश्म,دیوانگی,0.4281696
68,आबकार,تاشکند,0.48096296
69,आबदस्त,دهلیز,0.40121856
70,आबरू,چابک,0.5233828
71,आबला,چلم,0.59054536
72,आबाद,قدر,0.39712787
73,आमदनी,دمشق,0.4212679
74,आरज़ू,جنگجو,0.47491878
75,आराम,تلخی,0.6181935
76,आलू,دنگل,0.46929446
77,आवाज़,ساز,0.46533296
78,आशना,گلاب,0.49711746
79,आशिक़ी,تنگی,0.50827914
80,आशियाना,نوکر,0.44542778
81,आसमान,نجد,0.39661166
82,आसान,بزرگ,0.51512516
83,आस्तीन,اخبار,0.4349603
84,आहिस्ता,خیال,0.44152835
85,इंतक़ाल,خیر,0.4037816
86,इंतख़ाब,کشتی,0.22569215
87,इंसान,او,0.4028541
88,इंसानी,رخسار,0.40971348
89,इक़रार,وحشی,0.41984358
90,इख़्तियार,مردار,0.41932273
91,इजमाली,حسن,0.45119992
92,इज़ाफ़ा,مطلب,0.51616794
93,इज़्ज़त,با,0.47860265
94,इत्तिफ़ाक़,پریشان,0.4600033
95,इत्तिहाद,شهری,0.28347757
96,इत्तेला,درست,0.44210714
97,इत्मीनान,سرکه,0.444741
98,इनकार,رمضان,0.35488373
99,इफ़्तिताह,نازکی,0.46268687
100,इब्तिदाई,ساده,0.39625943
101,इब्री,باشنده,0.30655465
102,इब्रीक़,فهرست,0.45267224
103,इमला,غلام,0.5933303
104,इमारत,اجمالی,0.44787732
105,इम्तहान,ھمشکل,0.5809687
106,-इयत,سایه,0.34950835
107,इरादतन,معافی,0.42270342
108,इरादा,پرنده,0.3594535
109,इर्द-गिर्द,حلوا,0.40751174
110,इलज़ाम,مقدس,0.4320697
111,इलाहाबाद,کیمیا,0.35989216
112,इसरार,پیچ کش,0.4015437
113,इस्लाम,سکندر,0.48437804
114,-ई,زیره,0.38208336
115,-ईन,حراست,0.41580352
116,ईमानदार,جدایی,0.44452614
117,ईरान,فارغ,0.4367308
118,ईरानी,فرزند,0.40168643
