,loan_word,original_word,cos_similarity
2,अंजाम,انجام,0.2868642
37,अर्ज़,عرض,0.324189
90,इख़्तियार,اختیار,0.29860008
94,इत्तिफ़ाक़,اتفاق,0.30939654
137,ओहदा,عهده,0.24932505
153,कश्ती,کشتی,0.22916709
186,क़ैदख़ाना,قیدخانه,0.28820136
209,किशवर,کشور,0.24294375
215,कुश्ती,کشتی,0.2588465
219,कोर,کور,0.7426704
267,ख़ुदा हाफ़िज़,خدا حافظ,0.32291156
453,जाँबाज़,جانباز,0.3241218
484,तक़रीबन,تقریباً,0.28790733
530,तस्वीर,تصویر,0.3023593
553,तुर्किस्तान,ترکستان,0.76841754
580,दरमियान,در میان,0.21397898
602,दाख़िल,داخل,0.2645582
604,-दान,دانستن,0.29367223
676,नादानी,نادانی,0.7452316
694,नुमाइश,نمایش,0.29378295
695,नुसख़ा,نسخه,0.32163295
705,पनीर,پنیر,0.7485503
751,पैदाइशी,पैदाइश,1.0
765,फ़र्ज़,فرض,0.2537895
766,फ़र्ज़ंद,فرزند,0.31931466
767,फ़र्ज़ी,فرضی,0.27270156
816,बरक़रार,برقرار,0.3000334
825,बल्कि,بلکه,0.2862207
836,बाख़ुदा,बा-,0.77903837
842,बाद,بعد,0.77924705
848,बारूत,باروت,0.7486861
856,बीबी,بی‌بی,0.77684355
967,मिसाल,مثال,0.29083064
983,मुतअल्लिक़,متعلق,0.27528447
1036,यार,یار,0.7448423
1047,रफ़्तार,رفتار,0.3023884
1052,रसीद,رسید,0.241718
1100,लाज़िम,لازم,0.32816106
1209,सबब,سبب,0.2894564
1247,साल,سال,0.74450827
1315,हाज़िर,حاضر,0.3070046
