,loan_word,original_word,cos_similarity
9,अगर,بنده,0.6250083
58,आतिश,اتفاق,0.28230914
86,इंतख़ाब,کشتی,0.22569215
95,इत्तिहाद,شهری,0.28347757
204,किफ़ायत,ریاست,0.29035088
212,कुदरत,ختنه,0.63418317
312,ग़रीबी,شهرت,0.2510996
337,गुम,برفی,0.6297083
339,गुमशुदा,که,0.22693168
342,गुलदान,قیمه,0.64129704
345,गुलूबंद,بلکه,0.26471016
394,जल्लाद,در میان,0.22489999
417,ज़मीनी,پهلو,0.21793349
434,ज़ाहिर,فرض,0.22869691
444,ज़िला,تنها,0.20119375
460,जायज़,جادوگر,0.6306325
486,तक़ाज़ा,چراغ,0.6448777
493,तनहाई,طوفان,0.67327815
535,ताज,چوقا,0.6304364
542,तालाब,قسمت,0.26372862
566,दंगल,صلیب,0.28569764
572,दम,نادر,0.6425894
602,दाख़िल,نمایش,0.27242887
628,दुश्मनी,ولی‌عهد,0.26935223
662,नरम,هلال,0.66179997
689,निवाला,نادان,0.7349461
693,नुमाइंदा,مال,0.639937
725,पहरा,در اصل,0.20172673
746,पेशगी,پروانه,0.6759112
761,फ़रिश्ता,حساب,0.27456012
779,फ़िक्र,کشور,0.26611698
780,फ़ितरत,ترکی,0.27641284
803,बग़ावत,تصویر,0.27714705
829,बहाई,نسخه,0.273103
865,बुत-ख़ाना,مسیحا,0.2725091
873,बेईमानी,بیلچه,0.6396631
876,बेगाना,گواه,0.6355667
879,बेदख़ल,بنام,0.25655147
914,मरकज़,مزه,0.65532076
932,मशहूर,بت,0.64332134
937,मसाला,سبب,0.2703134
948,माजरा,سردی,0.65033406
961,मासूम,شهر,0.28430584
979,मुक़द्दस,در,0.28073722
1023,मौलाना,انجام,0.23029488
1027,यख़,قیدخانه,0.27976963
1032,या,کاش,0.24952391
1045,रक़्स,سرخی,0.6301585
1049,रवा,نواله,0.70005786
1105,लिबास,زمین‌دار,0.2783157
1116,वफ़ा,مکه,0.2760715
1175,शिद्दत,عوض,0.63567126
1231,सस्ता,تالاب,0.6693934
1235,सहल,سرخ,0.63954055
1264,सीना,ترجمان,0.2816346
1266,सुक़रात,مسند,0.6262086
1283,सैलाब,عیاشی,0.65086156
1290,हक़,رفتار,0.28995287
1305,हयात,کور,0.29046193
