,language,source_language,e
11,abaza,Abkhaz‎,1
11,abaza,Circassian languages‎,1
12,abenaki,English‎,18
12,abenaki,French‎,1
13,abenlen ayta,Kapampangan‎,1
18,abkhaz,Abaza‎,1
18,abkhaz,Adyghe‎,1
18,abkhaz,Armenian languages‎,1
18,abkhaz,Circassian languages‎,4
18,abkhaz,Finnish‎,1
18,abkhaz,Georgian‎,7
18,abkhaz,Kartvelian languages‎,1
18,abkhaz,Mingrelian‎,14
18,abkhaz,Ottoman Turkish‎,5
18,abkhaz,Russian‎,8
31,acehnese,Arabic‎,1
31,acehnese,Austroasiatic languages‎,1
31,acehnese,Batak languages‎,1
31,acehnese,English‎,1
31,acehnese,Malay‎,7
31,acehnese,Sanskrit‎,4
31,acehnese,Tamil‎,1
51,adyghe,Arabic‎,23
51,adyghe,Armenian‎,1
51,adyghe,Azerbaijani‎,1
51,adyghe,Digor‎,1
51,adyghe,Georgian‎,2
51,adyghe,Kumyk‎,1
51,adyghe,Mingrelian‎,1
51,adyghe,Old East Slavic‎,1
51,adyghe,Ossetian‎,3
51,adyghe,Ottoman Turkish‎,8
51,adyghe,Persian‎,6
51,adyghe,Proto-Kartvelian‎,1
51,adyghe,Russian‎,4
51,adyghe,Svan‎,1
51,adyghe,Turkic languages‎,10
51,adyghe,Turkish‎,15
57,afar,Amharic‎,7
57,afar,Arabic‎,114
57,afar,English‎,4
57,afar,Ethiopian Semitic languages‎,1
57,afar,French‎,15
57,afar,Ge'ez‎,1
57,afar,Italian‎,8
57,afar,Somali‎,1
57,afar,Tigre‎,1
57,afar,Tigrinya‎,2
57,afar,Yemeni Arabic‎,2
61,afrikaans,Arabic‎,3
61,afrikaans,Czech‎,1
61,afrikaans,Dutch‎,19
61,afrikaans,English‎,78
61,afrikaans,French‎,30
61,afrikaans,German‎,16
61,afrikaans,German Low German‎,1
61,afrikaans,Hebrew‎,1
61,afrikaans,Herero‎,1
61,afrikaans,Italian‎,1
61,afrikaans,Japanese‎,5
61,afrikaans,Khoe languages‎,1
61,afrikaans,Khoekhoe‎,3
61,afrikaans,Kwanyama‎,1
61,afrikaans,Latin‎,2
61,afrikaans,Malay‎,4
61,afrikaans,Maori‎,1
61,afrikaans,Ndonga‎,2
61,afrikaans,Nguni languages‎,1
61,afrikaans,Portuguese‎,4
61,afrikaans,Sotho‎,1
61,afrikaans,Tamil‎,1
61,afrikaans,Tswana‎,2
61,afrikaans,Xhosa‎,1
61,afrikaans,Zulu‎,9
69,aghwan,Alanic‎,1
69,aghwan,Ancient Greek‎,19
69,aghwan,Aramaic‎,1
69,aghwan,Classical Syriac‎,5
69,aghwan,Indo-European languages‎,1
69,aghwan,Iranian languages‎,8
69,aghwan,Middle Iranian‎,8
69,aghwan,Middle Persian‎,7
69,aghwan,Northwestern Iranian languages‎,1
69,aghwan,Old Armenian‎,25
69,aghwan,Old Georgian‎,5
75,agutaynen,Malay‎,1
77,ahirani,Classical Persian‎,8
79,ahtna,Russian‎,1
81,ai-cham,Chinese‎,9
85,ainu,Japanese‎,19
85,ainu,Nivkh‎,7
85,ainu,Russian‎,5
89,aiwoo,Polynesian languages‎,4
92,ajië,English‎,3
92,ajië,French‎,5
101,akan,English‎,5
111,akkadian,Aramaic‎,2
111,akkadian,Biblical Hebrew‎,1
111,akkadian,Hebrew‎,6
111,akkadian,Hurrian‎,1
111,akkadian,Indo-European languages‎,1
111,akkadian,Sumerian‎,299
111,akkadian,West Semitic languages‎,4
113,aklanon,Malay‎,1
113,aklanon,Spanish‎,10
113,aklanon,Tagalog‎,2
114,akolet,English‎,1
127,alabama,English‎,2
127,alabama,Mobilian‎,1
127,alabama,Spanish‎,1
133,alangan,Tagalog‎,4
137,albanian,Ancient Greek‎,56
137,albanian,Ancient Macedonian‎,7
137,albanian,Arabic‎,8
137,albanian,Aromanian‎,2
137,albanian,Bulgarian‎,17
137,albanian,Byzantine Greek‎,16
137,albanian,Dalmatian‎,1
137,albanian,Doric Greek‎,2
137,albanian,Eastern Romance languages‎,1
137,albanian,Ecclesiastical Latin‎,1
137,albanian,English‎,36
137,albanian,French‎,32
137,albanian,Gaulish‎,2
137,albanian,German‎,8
137,albanian,Gothic‎,10
137,albanian,Greek‎,49
137,albanian,Illyrian‎,1
137,albanian,Italian‎,59
137,albanian,Late Latin‎,27
137,albanian,Latin‎,501
137,albanian,Macedonian‎,13
137,albanian,Medieval Latin‎,6
137,albanian,Messapic‎,1
137,albanian,Old Church Slavonic‎,2
137,albanian,Old Italian‎,1
137,albanian,Ottoman Turkish‎,140
137,albanian,Proto-Celtic‎,1
137,albanian,Proto-Germanic‎,2
137,albanian,Proto-Iranian‎,1
137,albanian,Proto-Slavic‎,39
137,albanian,Romance languages‎,1
137,albanian,Romani‎,1
137,albanian,Romanian‎,4
137,albanian,Russian‎,1
137,albanian,Serbo-Croatian‎,53
137,albanian,Sicilian‎,7
137,albanian,South Slavic languages‎,4
137,albanian,Southwestern Iranian languages‎,1
137,albanian,Spanish‎,3
137,albanian,substrate languages‎,1
137,albanian,Turkish‎,27
137,albanian,Venetian‎,14
137,albanian,Vulgar Latin‎,376
139,alcozauca mixtec,Spanish‎,2
142,alemannic german,Dutch‎,1
142,alemannic german,Ecclesiastical Latin‎,0
142,alemannic german,English‎,3
142,alemannic german,French‎,28
142,alemannic german,German‎,1
142,alemannic german,Germanic languages‎,1
142,alemannic german,Italian‎,29
142,alemannic german,Latin‎,1
142,alemannic german,Middle French‎,1
142,alemannic german,Middle Low German‎,1
142,alemannic german,Piedmontese‎,1
142,alemannic german,Romance languages‎,4
142,alemannic german,Romansch‎,3
142,alemannic german,Vulgar Latin‎,1
142,alemannic german,Yiddish‎,1
143,aleut,Russian‎,3
144,algerian arabic,Berber languages‎,2
160,alutiiq,English‎,2
160,alutiiq,Russian‎,17
165,amahai,Indonesian‎,2
165,amahai,Sanskrit‎,1
179,ambala ayta,Tagalog‎,1
182,ambonese malay,Dutch‎,2
182,ambonese malay,Portuguese‎,2
189,amharic,Ancient Greek‎,4
189,amharic,Arabic‎,50
189,amharic,Aramaic‎,8
189,amharic,Cushitic languages‎,6
189,amharic,English‎,9
189,amharic,French‎,4
189,amharic,Ge'ez‎,13
189,amharic,Hebrew‎,1
189,amharic,Hindustani languages‎,1
189,amharic,Italian‎,6
189,amharic,Oromo‎,1
189,amharic,Ottoman Turkish‎,1
189,amharic,Sidamo‎,1
189,amharic,Tigrinya‎,1
191,amis,Hokkien‎,7
191,amis,Japanese‎,15
191,amis,Mandarin‎,3
191,amis,Min Nan‎,2
207,ancient greek,Akkadian‎,10
207,ancient greek,Anatolian languages‎,3
207,ancient greek,Ancient Macedonian‎,1
207,ancient greek,Ancient North Arabian‎,1
207,ancient greek,Arabic‎,7
207,ancient greek,Aramaic‎,33
207,ancient greek,Ashokan Prakrit‎,0
207,ancient greek,Avestan‎,1
207,ancient greek,Bactrian‎,2
207,ancient greek,Biblical Hebrew‎,65
207,ancient greek,Carian‎,1
207,ancient greek,Dacian‎,2
207,ancient greek,Demotic‎,6
207,ancient greek,Egyptian‎,61
207,ancient greek,Etruscan‎,1
207,ancient greek,Fayyumic Coptic‎,1
207,ancient greek,Gaulish‎,2
207,ancient greek,Georgian-Zan languages‎,1
207,ancient greek,Gothic‎,1
207,ancient greek,Hebrew‎,71
207,ancient greek,Hittite‎,5
207,ancient greek,Illyrian‎,2
207,ancient greek,Indo-Aryan languages‎,2
207,ancient greek,Indo-Iranian languages‎,1
207,ancient greek,Iranian languages‎,11
207,ancient greek,Late Egyptian‎,1
207,ancient greek,Late Latin‎,2
207,ancient greek,Latin‎,403
207,ancient greek,Luwian‎,3
207,ancient greek,Lydian‎,5
207,ancient greek,Manichaean Middle Persian‎,1
207,ancient greek,Meroitic‎,2
207,ancient greek,Messapic‎,3
207,ancient greek,Middle Iranian‎,2
207,ancient greek,Middle Persian‎,1
207,ancient greek,Northwest Semitic languages‎,1
207,ancient greek,Old Armenian‎,1
207,ancient greek,Old Church Slavonic‎,1
207,ancient greek,Old Iranian‎,1
207,ancient greek,Old Median‎,43
207,ancient greek,Old Persian‎,180
207,ancient greek,Oscan‎,2
207,ancient greek,Paeonian‎,1
207,ancient greek,Pali‎,1
207,ancient greek,Parthian‎,5
207,ancient greek,Phoenician‎,36
207,ancient greek,Phrygian‎,3
207,ancient greek,Prakrit languages‎,1
207,ancient greek,Pre-Greek‎,138
207,ancient greek,Proto-Albanian‎,13
207,ancient greek,Proto-Anatolian‎,1
207,ancient greek,Proto-Berber‎,1
207,ancient greek,Proto-Germanic‎,2
207,ancient greek,Proto-Iranian‎,1
207,ancient greek,Proto-Ossetic‎,1
207,ancient greek,Proto-Saka‎,1
207,ancient greek,Proto-Scythian‎,1
207,ancient greek,Punic‎,2
207,ancient greek,Sanskrit‎,2
207,ancient greek,Scythian languages‎,43
207,ancient greek,Semitic languages‎,35
207,ancient greek,Sogdian‎,2
207,ancient greek,substrate languages‎,2
207,ancient greek,Thracian‎,23
207,ancient greek,Urartian‎,1
210,ancient north arabian,Hebrew‎,1
211,andalusian arabic,Classical Persian‎,1
211,andalusian arabic,Old Norse‎,1
211,andalusian arabic,Old Portuguese‎,1
211,andalusian arabic,Persian‎,1
211,andalusian arabic,Romance languages‎,3
211,andalusian arabic,Spanish‎,2
216,andio,Dutch‎,1
216,andio,Indonesian‎,1
216,andio,Malay‎,1
220,aneityum,Bislama‎,1
228,angika,Classical Persian‎,1
230,angkola batak,Indonesian‎,1
241,ankave,Tok Pisin‎,4
246,ansus,Indonesian‎,1
253,anuta,Tikopia‎,2
258,apalaí,Portuguese‎,2
271,arabic,Aeolic Greek‎,2
271,arabic,Afar‎,1
271,arabic,Akkadian‎,4
271,arabic,Ammonite‎,1
271,arabic,Ancient Greek‎,142
271,arabic,Aramaic‎,486
271,arabic,Bambara‎,1
271,arabic,Beja‎,4
271,arabic,Berber languages‎,17
271,arabic,Biblical Hebrew‎,5
271,arabic,Byzantine Greek‎,20
271,arabic,Central Atlas Tamazight‎,2
271,arabic,Chinese‎,2
271,arabic,Classical Persian‎,8
271,arabic,Classical Syriac‎,206
271,arabic,Coptic‎,38
271,arabic,Cushitic languages‎,1
271,arabic,Dravidian languages‎,2
271,arabic,Dutch‎,1
271,arabic,Eastern Sudanic languages‎,1
271,arabic,Ecclesiastical Latin‎,1
271,arabic,Egyptian‎,8
271,arabic,Egyptian Arabic‎,16
271,arabic,English‎,98
271,arabic,French‎,98
271,arabic,Ge'ez‎,36
271,arabic,Georgian‎,1
271,arabic,German‎,4
271,arabic,Greek‎,6
271,arabic,Hadrami‎,1
271,arabic,Hassaniya‎,1
271,arabic,Hausa‎,3
271,arabic,Hebrew‎,60
271,arabic,Hindi‎,7
271,arabic,Hindustani languages‎,3
271,arabic,Iranian languages‎,16
271,arabic,Italian‎,38
271,arabic,Japanese‎,8
271,arabic,Karakhanid‎,1
271,arabic,Kazakh‎,1
271,arabic,Khorezmian Turkic‎,2
271,arabic,Kipchak‎,1
271,arabic,Koine Greek‎,1
271,arabic,Korean‎,3
271,arabic,Latin‎,46
271,arabic,Malay‎,10
271,arabic,Malayalam‎,2
271,arabic,Mandinka‎,1
271,arabic,Medieval Latin‎,2
271,arabic,Middle Armenian‎,1
271,arabic,Middle English‎,1
271,arabic,Middle French‎,1
271,arabic,Middle Iranian‎,18
271,arabic,Middle Persian‎,173
271,arabic,Modern South Arabian languages‎,4
271,arabic,Neo-Assyrian‎,1
271,arabic,New Latin‎,1
271,arabic,North Levantine Arabic‎,2
271,arabic,Northern Kurdish‎,1
271,arabic,Northwest Semitic languages‎,1
271,arabic,Old Aramaic‎,1
271,arabic,Old Armenian‎,11
271,arabic,Old French‎,1
271,arabic,Old Javanese‎,0
271,arabic,Old Persian‎,2
271,arabic,Old South Arabian‎,39
271,arabic,Old South Arabian languages‎,2
271,arabic,Old Spanish‎,5
271,arabic,Omani Arabic‎,1
271,arabic,Ottoman Turkish‎,117
271,arabic,Parthian‎,4
271,arabic,Pashto‎,1
271,arabic,Persian‎,252
271,arabic,Phoenician‎,1
271,arabic,Portuguese‎,6
271,arabic,Proto-Kurdish‎,1
271,arabic,Punic‎,0
271,arabic,Punjabi‎,1
271,arabic,Romance languages‎,5
271,arabic,Romanian‎,1
271,arabic,Russian‎,6
271,arabic,Sahidic Coptic‎,1
271,arabic,Sanskrit‎,8
271,arabic,Sauraseni Apabhramsa‎,1
271,arabic,Sauraseni Prakrit‎,1
271,arabic,Semitic languages‎,3
271,arabic,Sicilian‎,1
271,arabic,Sogdian‎,1
271,arabic,South Levantine Arabic‎,1
271,arabic,Spanish‎,13
271,arabic,substrate languages‎,5
271,arabic,Tachawit‎,1
271,arabic,Tamil‎,2
271,arabic,Tarifit‎,2
271,arabic,Tashelhit‎,2
271,arabic,Taymanitic‎,1
271,arabic,Thai‎,1
271,arabic,Tigre‎,1
271,arabic,Tigrinya‎,2
271,arabic,Translingual‎,1
271,arabic,Tulu‎,1
271,arabic,Turkic languages‎,6
271,arabic,Urdu‎,5
271,arabic,Vracada Apabhramsa‎,1
271,arabic,Vulgar Latin‎,2
271,arabic,Yemeni Arabic‎,2
