,Unnamed: 0,language,source_language,e
0,11,abaza,Abkhaz,1
1,11,abaza,Circassian languages,1
2,12,abenaki,English,18
3,12,abenaki,French,1
4,13,abenlen ayta,Kapampangan,1
5,18,abkhaz,Abaza,1
6,18,abkhaz,Adyghe,1
7,18,abkhaz,Armenian languages,1
8,18,abkhaz,Circassian languages,4
9,18,abkhaz,Finnish,1
10,18,abkhaz,Georgian,7
11,18,abkhaz,Kartvelian languages,1
12,18,abkhaz,Mingrelian,14
13,18,abkhaz,Ottoman Turkish,5
14,18,abkhaz,Russian,8
15,31,acehnese,Arabic,1
16,31,acehnese,Austroasiatic languages,1
17,31,acehnese,Batak languages,1
18,31,acehnese,English,1
19,31,acehnese,Malay,7
20,31,acehnese,Sanskrit,4
21,31,acehnese,Tamil,1
22,51,adyghe,Arabic,23
23,51,adyghe,Armenian,1
24,51,adyghe,Azerbaijani,1
25,51,adyghe,Digor,1
26,51,adyghe,Georgian,2
27,51,adyghe,Kumyk,1
28,51,adyghe,Mingrelian,1
29,51,adyghe,Old East Slavic,1
30,51,adyghe,Ossetian,3
31,51,adyghe,Ottoman Turkish,8
32,51,adyghe,Persian,6
33,51,adyghe,ProtoKartvelian,1
34,51,adyghe,Russian,4
35,51,adyghe,Svan,1
36,51,adyghe,Turkic languages,10
37,51,adyghe,Turkish,15
38,57,afar,Amharic,7
39,57,afar,Arabic,114
40,57,afar,English,4
41,57,afar,Ethiopian Semitic languages,1
42,57,afar,French,15
43,57,afar,Geez,1
44,57,afar,Italian,8
45,57,afar,Somali,1
46,57,afar,Tigre,1
47,57,afar,Tigrinya,2
48,57,afar,Yemeni Arabic,2
49,61,afrikaans,Arabic,3
50,61,afrikaans,Czech,1
51,61,afrikaans,Dutch,19
52,61,afrikaans,English,78
53,61,afrikaans,French,30
54,61,afrikaans,German,16
55,61,afrikaans,German Low German,1
56,61,afrikaans,Hebrew,1
57,61,afrikaans,Herero,1
58,61,afrikaans,Italian,1
59,61,afrikaans,Japanese,5
60,61,afrikaans,Khoe languages,1
61,61,afrikaans,Khoekhoe,3
62,61,afrikaans,Kwanyama,1
63,61,afrikaans,Latin,2
64,61,afrikaans,Malay,4
65,61,afrikaans,Maori,1
66,61,afrikaans,Ndonga,2
67,61,afrikaans,Nguni languages,1
68,61,afrikaans,Portuguese,4
69,61,afrikaans,Sotho,1
70,61,afrikaans,Tamil,1
71,61,afrikaans,Tswana,2
72,61,afrikaans,Xhosa,1
73,61,afrikaans,Zulu,9
74,69,aghwan,Alanic,1
75,69,aghwan,Ancient Greek,19
76,69,aghwan,Aramaic,1
77,69,aghwan,Classical Syriac,5
78,69,aghwan,IndoEuropean languages,1
79,69,aghwan,Iranian languages,8
80,69,aghwan,Middle Iranian,8
81,69,aghwan,Middle Persian,7
82,69,aghwan,Northwestern Iranian languages,1
83,69,aghwan,Old Armenian,25
84,69,aghwan,Old Georgian,5
85,75,agutaynen,Malay,1
86,77,ahirani,Classical Persian,8
87,79,ahtna,Russian,1
88,81,ai-cham,Chinese,9
89,85,ainu,Japanese,19
90,85,ainu,Nivkh,7
91,85,ainu,Russian,5
92,89,aiwoo,Polynesian languages,4
93,92,ajië,English,3
94,92,ajië,French,5
95,101,akan,English,5
96,111,akkadian,Aramaic,2
97,111,akkadian,Biblical Hebrew,1
98,111,akkadian,Hebrew,6
99,111,akkadian,Hurrian,1
100,111,akkadian,IndoEuropean languages,1
101,111,akkadian,Sumerian,299
102,111,akkadian,West Semitic languages,4
103,113,aklanon,Malay,1
104,113,aklanon,Spanish,10
105,113,aklanon,Tagalog,2
106,114,akolet,English,1
107,127,alabama,English,2
108,127,alabama,Mobilian,1
109,127,alabama,Spanish,1
110,133,alangan,Tagalog,4
111,137,albanian,Ancient Greek,56
112,137,albanian,Ancient Macedonian,7
113,137,albanian,Arabic,8
114,137,albanian,Aromanian,2
115,137,albanian,Bulgarian,17
116,137,albanian,Byzantine Greek,16
117,137,albanian,Dalmatian,1
118,137,albanian,Doric Greek,2
119,137,albanian,Eastern Romance languages,1
120,137,albanian,Ecclesiastical Latin,1
121,137,albanian,English,36
122,137,albanian,French,32
123,137,albanian,Gaulish,2
124,137,albanian,German,8
125,137,albanian,Gothic,10
126,137,albanian,Greek,49
127,137,albanian,Illyrian,1
128,137,albanian,Italian,59
129,137,albanian,Late Latin,27
130,137,albanian,Latin,501
131,137,albanian,Macedonian,13
132,137,albanian,Medieval Latin,6
133,137,albanian,Messapic,1
134,137,albanian,Old Church Slavonic,2
135,137,albanian,Old Italian,1
136,137,albanian,Ottoman Turkish,140
137,137,albanian,ProtoCeltic,1
138,137,albanian,ProtoGermanic,2
139,137,albanian,ProtoIranian,1
140,137,albanian,ProtoSlavic,39
141,137,albanian,Romance languages,1
142,137,albanian,Romani,1
143,137,albanian,Romanian,4
144,137,albanian,Russian,1
145,137,albanian,SerboCroatian,53
146,137,albanian,Sicilian,7
147,137,albanian,South Slavic languages,4
148,137,albanian,Southwestern Iranian languages,1
149,137,albanian,Spanish,3
150,137,albanian,substrate languages,1
151,137,albanian,Turkish,27
152,137,albanian,Venetian,14
153,137,albanian,Vulgar Latin,376
154,139,alcozauca mixtec,Spanish,2
155,142,alemannic german,Dutch,1
156,142,alemannic german,Ecclesiastical Latin,0
157,142,alemannic german,English,3
158,142,alemannic german,French,28
159,142,alemannic german,German,1
160,142,alemannic german,Germanic languages,1
161,142,alemannic german,Italian,29
162,142,alemannic german,Latin,1
163,142,alemannic german,Middle French,1
164,142,alemannic german,Middle Low German,1
165,142,alemannic german,Piedmontese,1
166,142,alemannic german,Romance languages,4
167,142,alemannic german,Romansch,3
168,142,alemannic german,Vulgar Latin,1
169,142,alemannic german,Yiddish,1
170,143,aleut,Russian,3
171,144,algerian arabic,Berber languages,2
172,160,alutiiq,English,2
173,160,alutiiq,Russian,17
174,165,amahai,Indonesian,2
175,165,amahai,Sanskrit,1
176,179,ambala ayta,Tagalog,1
177,182,ambonese malay,Dutch,2
178,182,ambonese malay,Portuguese,2
179,189,amharic,Ancient Greek,4
180,189,amharic,Arabic,50
181,189,amharic,Aramaic,8
182,189,amharic,Cushitic languages,6
183,189,amharic,English,9
184,189,amharic,French,4
185,189,amharic,Geez,13
186,189,amharic,Hebrew,1
187,189,amharic,Hindustani languages,1
188,189,amharic,Italian,6
189,189,amharic,Oromo,1
190,189,amharic,Ottoman Turkish,1
191,189,amharic,Sidamo,1
192,189,amharic,Tigrinya,1
193,191,amis,Hokkien,7
194,191,amis,Japanese,15
195,191,amis,Mandarin,3
196,191,amis,Min Nan,2
197,207,ancient greek,Akkadian,10
198,207,ancient greek,Anatolian languages,3
199,207,ancient greek,Ancient Macedonian,1
200,207,ancient greek,Ancient North Arabian,1
201,207,ancient greek,Arabic,7
202,207,ancient greek,Aramaic,33
203,207,ancient greek,Ashokan Prakrit,0
204,207,ancient greek,Avestan,1
205,207,ancient greek,Bactrian,2
206,207,ancient greek,Biblical Hebrew,65
207,207,ancient greek,Carian,1
208,207,ancient greek,Dacian,2
209,207,ancient greek,Demotic,6
210,207,ancient greek,Egyptian,61
211,207,ancient greek,Etruscan,1
212,207,ancient greek,Fayyumic Coptic,1
