word,ipas
अंगूर,"['/əŋ.ɡuːɾ/', '[ə̃ŋ.ɡuːɾ]']"
अंगूरी,"['/əŋ.ɡuː.ɾiː/', '[ə̃ŋ.ɡuː.ɾiː]']"
अंजाम,"['/ən.d͡ʒɑːm/', '[ə̃n̪.d͡ʒä̃ːm]']"
अंदर,"['/ən.d̪əɾ/', '[ə̃n̪.d̪əɾ]']"
अंदरुनी,"['/ən.d̪ə.ɾʊ.niː/', '[ə̃n̪.d̪ə.ɾʊ.n̪iː]']"
अंदाज़,"['/ən.d̪ɑːd͡ʒ/', '[ə̃n̪.d̪äːd͡ʒ]', '/ən.d̪ɑːz/', '[ə̃n̪.d̪äːz]']"
अंदेशा,[]
अक्स,"['/əks/', '[əks̪]']"
अख़बार,"['/əkʰ.bɑːɾ/', '[əkʰ.bäːɾ]', '/əx.bɑːɾ/', '[əx.bäːɾ]', '/akʰbaːr/']"
अगर,['/ə.ɡəɾ/']
अगरचे,['/ə.ɡəɾ.t͡ʃeː/']
अचार,['[ʌt͡sär]']
अजनबी,"['/əd͡ʒ.nə.biː/', '[əd͡ʒ.n̪ə.biː]']"
अज़दहा,"['/əd͡ʒ.d̪ə.ɦɑː/', '[əd͡ʒ.d̪ə.ɦäː]', '/əz.d̪ə.ɦɑː/', '[əz.d̪ə.ɦäː]']"
अज़ान,"['/ə.d͡ʒɑːn/', '[ə.d͡ʒä̃ːn̪]', '/ə.zɑːn/', '[ə.zä̃ːn̪]']"
अज़ाब,"['/ə.d͡ʒɑːb/', '[ə.d͡ʒäːb]', '/ə.zɑːb/', '[ə.zäːb]']"
अज़ीज़,"['/ə.d͡ʒiːd͡ʒ/', '/ə.ziːz/']"
अज़ीम,"['/ə.d͡ʒiːm/', '[ə.d͡ʒĩːm]', '/ə.ziːm/', '[ə.zĩːm]']"
अजीब,['/ə.d͡ʒiːb/']
अतलस,[]
अदा,"['/ə.d̪ɑː/', '[ə.d̪äː]']"
अदालत,"['/ə.d̪ɑː.lət̪/', '[ə.d̪äː.l̪ət̪]']"
अनार,"['/ə.nɑːɾ/', '[ə.n̪äːɾ]', '[ʌnär]']"
अन्‍ताकिया,[]
अफ़साना,"['/əpʰ.sɑː.nɑː/', '[əpʰ.s̪äː.n̪äː]', '/əf.sɑː.nɑː/', '[əf.s̪äː.n̪äː]']"
अफ़सोस,[]
अफ़ीम,"['/ə.pʰiːm/', '[ə.pʰĩːm]', '/ə.fiːm/', '[ə.fĩːm]']"
अफ़्ग़ानिस्तान,"['/əpʰ.ɡɑː.nɪs.t̪ɑːn/', '[əpʰ.ɡäː.n̪ɪs̪.t̪ä̃ːn̪]', '/əf.ɣɑː.nɪs.t̪ɑːn/', '[əf.ɣäː.n̪ɪs̪.t̪ä̃ːn̪]']"
अफ़्सोस,[]
अबाबील,"['/ə.bɑː.biːl/', '[ə.bäː.biːl̪]']"
अब्र,['/əb.ɾᵊ/']
अब्रू,['[əˈbɾuː]']
अमरूद,"['/əm.ɾuːd̪/', '[ə̃m.ɾuːd̪]']"
अमीर,['/ə.miːɾ/']
अरमान,"['/əɾ.mɑːn/', '[əɾ.mä̃ːn̪]']"
अरस्तू,"['/ə.ɾəs.t̪uː/', '[ə.ɾəs̪.t̪uː]']"
अर्क़,"['/əɾk/', '/əɾq/']"
अर्ज़,"['/əɾd͡ʒ/', '/əɾz/']"
अर्ज़ी,"['/əɾ.d͡ʒiː/', '/əɾ.ziː/']"
अलादीन,"['/ə.lɑː.d̪iːn/', '[ə.l̪äː.d̪ĩːn̪]']"
अलिफ़,[]
अव्वल,"['/əʋ.ʋəl/', '[əʋ.ʋəl̪]']"
अशरफ़ी,"['/ə.ʃəɾ.pʰiː/', '/ə.ʃəɾ.fiː/']"
अश्क,['/əʃk/']
असर,"['/ə.səɾ/', '[ə.s̪əɾ]']"
असली,"['/əs.liː/', '[əs̪.l̪iː]']"
अहल ईमान,[]
आइंदा,"['/ɑː.ɪn.d̪ɑː/', '[äː.ɪ̃n̪.d̪äː]']"
आईना,['[a(ː)ˈi(ː)na(ː)]']
आक़ा,"['/ɑː.kɑː/', '[äː.käː]', '/ɑː.qɑː/', '[äː.qäː]']"
आख़िरी,"['/ɑːkʰ.ɾiː/', '[äːkʰ.ɾiː]', '/ɑːx.ɾiː/', '[äːx.ɾiː]', '/ɑː.kʰɪ.ɾiː/', '[äː.kʰɪ.ɾiː]', '/ɑː.xɪ.ɾiː/', '[äː.xɪ.ɾiː]']"
आग़ाज़,"['/ɑː.ɡɑːd͡ʒ/', '[äː.ɡäːd͡ʒ]', '/ɑː.ɣɑːz/', '[äː.ɣäːz]']"
आग़ोश,"['/ɑː.ɡoːʃ/', '[äː.ɡoːʃ]', '/ɑː.ɣoːʃ/', '[äː.ɣoːʃ]']"
आगाह,"['/ɑː.ɡɑːɦ/', '[äː.ɡäːɦ]']"
आगाही,"['/ɑː.ɡɑː.ɦiː/', '[äː.ɡäː.ɦiː]']"
आचार,"['/ɑː.t͡ʃɑːɾ/', '[äː.t͡ʃäːɾ]', '/ɑː.t͡ɕɑː.ɾɐ/', '/ɑːˈt͡ɕɑː.ɾɐ/']"
आज़ाद,"['/ɑː.d͡ʒɑːd̪/', '[äː.d͡ʒäːd̪]', '/ɑː.zɑːd̪/', '[äː.zäːd̪]']"
आज़ादी,[]
आतिश,"['/ɑː.t̪ɪʃ/', '[äː.t̪ɪʃ]']"
आतिशबाज़ी,"['/ɑː.t̪ɪʃ.bɑː.d͡ʒiː/', '[äː.t̪ɪʃ.bäː.d͡ʒiː]', '/ɑː.t̪ɪʃ.bɑː.ziː/', '[äː.t̪ɪʃ.bäː.ziː]']"
आदत,"['/ɑː.d̪ət̪/', '[äː.d̪ət̪]']"
आदमी,"['/ɑːd̪.miː/', '[äːd̪.miː]']"
-आना,"['/ɑː.nɑː/', '[äː.n̪äː]']"
आफ़त,"['/ɑː.pʰət̪/', '[äː.pʰət̪]', '/ɑː.fət̪/', '[äː.fət̪]']"
आफ़ताब,"['/ɑːpʰ.t̪ɑːb/', '[äːpʰ.t̪äːb]', '/ɑːf.t̪ɑːb/', '[äːf.t̪äːb]']"
आफ़रीन,"['/ɑːpʰ.ɾiːn/', '[äːpʰ.ɾĩːn̪]', '/ɑːf.ɾiːn/', '[äːf.ɾĩːn̪]']"
आब,"['/ɑːb/', '[äːb]', '/aːb/']"
आब-ए-चश्म,"['/ɑːb.eː.t͡ʃəʃm/', '[äːb.eː.t͡ʃəʃm]']"
आबकार,[]
आबदस्त,"['/ɑːb.d̪əst̪/', '[äːb.d̪əs̪t̪]']"
आबरू,"['/ɑːb.ɾuː/', '[äːb.ɾuː]']"
आबला,"['/ɑːb.lɑː/', '[äːb.l̪äː]']"
आबाद,[]
आमदनी,"['/ɑː.məd̪.niː/', '[äː.məd̪̚.n̪iː]']"
आरज़ू,"['/ɑːɾ.d͡ʒuː/', '[äːɾ.d͡ʒuː]', '/ɑːɾ.zuː/', '[äːɾ.zuː]']"
आराम,"['/ɑː.ɾɑːm/', '[äː.ɾä̃ːm]', '[ɑːˈɾɑːm]', '[äɾäm]', '/ɑː.ɾɑː.mɐ́/', '/ɑːˈɾɑː.mɐ/']"
आलू,"['/ɑː.luː/', '[äː.l̪uː]']"
आवाज़,"['/ɑː.ʋɑːd͡ʒ/', '[äː.ʋäːd͡ʒ]', '/ɑː.ʋɑːz/', '[äː.ʋäːz]']"
आशना,"['/ɑːʃ.nɑː/', '[äːʃ.n̪äː]']"
आशिक़ी,"['/ɑː.ʃɪ.kiː/', '[äː.ʃɪ.kiː]', '/ɑː.ʃɪ.qiː/', '[äː.ʃɪ.qiː]']"
आशियाना,"['/ɑː.ʃɪ.jɑː.nɑː/', '[äː.ʃi.jäː.n̪äː]']"
आसमान,"['/ɑːs.mɑːn/', '[äːs̪.mä̃ːn̪]']"
आसान,[]
आस्तीन,"['/ɑːs.t̪iːn/', '[äːs̪.t̪ĩːn̪]']"
आहिस्ता,"['/ɑː.ɪs.t̪ɑː/', '[äː.ɪs̪.t̪äː]', '/ɑː.ɦɪs.t̪ɑː/', '[äː.ɦɪs̪.t̪äː]']"
इंतक़ाल,"['/ɪn.t̪ə.kɑːl/', '[ɪ̃n̪.t̪ə.käːl̪]', '/ɪn.t̪ə.qɑːl/', '[ɪ̃n̪.t̪ə.qäːl̪]']"
इंतख़ाब,"['/ɪn.t̪ə.kʰɑːb/', '[ɪ̃n̪.t̪ə.kʰäːb]', '/ɪn.t̪ə.xɑːb/', '[ɪ̃n̪.t̪ə.xäːb]']"
इंसान,"['/ɪn.sɑːn/', '[ɪ̃n̪.s̪ä̃ːn̪]']"
इंसानी,"['/ɪn.sɑː.niː/', '[ɪ̃n̪.s̪äː.n̪iː]']"
इक़रार,[]
इख़्तियार,"['/ɪkʰ.t̪ɪ.jɑːɾ/', '[ɪkʰ.t̪i.jäːɾ]', '/ɪx.t̪ɪ.jɑːɾ/', '[ɪx.t̪i.jäːɾ]']"
इजमाली,"['/ɪd͡ʒ.mɑː.liː/', '[ɪd͡ʒ.mäː.l̪iː]']"
इज़ाफ़ा,"['/ɪ.d͡ʒɑː.pʰɑː/', '[ɪ.d͡ʒäː.pʰäː]', '/ɪ.zɑː.fɑː/', '[ɪ.zäː.fäː]']"
इज़्ज़त,"['/ɪd͡ʒ.d͡ʒət̪/', '[ɪd̚.d͡ʒət̪]', '/ɪz.zət̪/']"
इत्तिफ़ाक़,[]
इत्तिहाद,"['/ɪt̪.t̪ɪ.ɦɑːd̪/', '[ɪt̪̚.t̪ɪ.ɦäːd̪]']"
इत्तेला,"['/ɪt̪.t̪eː.lɑː/', '[ɪt̪̚.t̪eː.l̪äː]']"
इत्मीनान,"['/ɪt̪.miː.nɑːn/', '[ɪt̪.miː.n̪ä̃ːn̪]']"
इनकार,"['/ɪn.kɑːɾ/', '[ɪ̃n̪.käːɾ]']"
इफ़्तिताह,"['/ɪpʰ.t̪ɪ.t̪ɑːɦ/', '[ɪpʰ.t̪ɪ.t̪äːɦ]', '/ɪf.t̪ɪ.t̪ɑːɦ/', '[ɪf.t̪ɪ.t̪äːɦ]']"
इब्तिदाई,"['/ɪb.t̪ɪ.d̪ɑː.iː/', '[ɪb.t̪ɪ.d̪äː.iː]']"
इब्री,[]
इब्रीक़,[]
इमला,"['/ɪm.lɑː/', '[ɪ̃m.l̪äː]']"
इमारत,"['/ɪ.mɑː.ɾət̪/', '[ɪ.mäː.ɾət̪]']"
इम्तहान,"['/ɪm.t̪ə.ɦɑːn/', '[ɪ̃m.t̪ə.ɦä̃ːn̪]']"
-इयत,"['/ɪ.jət̪/', '[i.jət̪]']"
इरादतन,"['/ɪ.ɾɑːd̪.t̪ən/', '[ɪ.ɾäːd̪̚.t̪ə̃n̪]']"
इरादा,"['/ɪ.ɾɑː.d̪ɑː/', '[ɪ.ɾäː.d̪äː]']"
इर्द-गिर्द,['/ɪɾd̪.ɡɪɾd̪/']
इलज़ाम,"['/ɪl.d͡ʒɑːm/', '[ɪl̪.d͡ʒä̃ːm]', '/ɪl.zɑːm/', '[ɪl̪.zä̃ːm]']"
इलाहाबाद,"['/ɪ.lɑː.ɦɑː.bɑːd̪/', '[ɪ.l̪äː.ɦäː.bäːd̪]']"
इसरार,"['/ɪs.ɾɑːɾ/', '[ɪs̪.ɾäːɾ]']"
इस्म-ए-शरीफ़,"['/ɪs.meː.ʃə.ɾiːpʰ/', '[ɪs̪.meː.ʃə.ɾiːpʰ]', '/ɪs.meː.ʃə.ɾiːf/', '[ɪs̪.meː.ʃə.ɾiːf]', '/ɪ.səm.eː.ʃə.ɾiːpʰ/', '[ɪ.s̪ə̃m.eː.ʃə.ɾiːpʰ]', '/ɪ.səm.eː.ʃə.ɾiːf/', '[ɪ.s̪ə̃m.eː.ʃə.ɾiːf]']"
इस्लाम,"['/ɪs.lɑːm/', '[ɪs̪.l̪ä̃ːm]', '/is.lam/', '[isläm]', '[islam]', '/is̪ˈl̪ɑː.mɐ/']"
-ई,['/iː/']
-ईन,"['/iːn/', '[ĩːn̪]', '/iː.nɐ/', '/ˈiː.n̪ɐ/']"
ईमानदार,"['/iː.mɑːn.d̪ɑːɾ/', '[iː.mä̃ːn̪.d̪äːɾ]']"
ईरान,"['/iː.ɾɑːn/', '[iː.ɾä̃ːn̪]']"
ईरानी,"['/iː.ɾɑː.niː/', '[iː.ɾäː.n̪iː]']"
उम्दा,"['/ʊm.d̪ɑː/', '[ʊ̃m.d̪äː]']"
उम्मीद,[]
उर्दू,['/ʊɾ.d̪uː/']
उलफ़त,"['/ʊl.pʰət̪/', '[ʊl̪.pʰət̪]', '/ʊl.fət̪/', '[ʊl̪.fət̪]']"
उलमा,"['/ʊ.lə.mɑː/', '[ʊ.l̪ə.mäː]']"
उसमान,"['/ʊs.mɑːn/', '[ʊs̪.mä̃ːn̪]']"
उस्तरा,[]
उस्ताद,"['/ʊs.t̪ɑːd̪/', '[ʊs̪.t̪äːd̪]']"
उस्मानी,"['/ʊs.mɑː.niː/', '[ʊs̪.mäː.n̪iː]']"
एकाएक,"['/eː.kɑː.eːk/', '[eː.käː.eːk]']"
एतबार,"['/eːt̪.bɑːɾ/', '[eːt̪.bäːɾ]']"
एवज़,"['/eː.ʋəd͡ʒ/', '/eː.ʋəz/']"
एहतियात,"['/eːɦ.t̪ɪ.jɑːt̪/', '[eːɦ.t̪i.jäːt̪]']"
एहसान,"['/əɦ.sɑːn/', '[ɛɦ.s̪ä̃ːn̪]']"
एहसानमंद,"['/eːɦ.sɑːn.mənd̪/', '[eːɦ.s̪ä̃ːn̪.mə̃n̪d̪]']"
ऐतराज़,"['/ɛːt̪.ɾɑːd͡ʒ/', '[ɛːt̪.ɾäːd͡ʒ]', '/ɛːt̪.ɾɑːz/', '[ɛːt̪.ɾäːz]']"
ऐनक,"['/ɛː.nək/', '[ɛː.n̪ək]']"
ऐयाशी,"['/ə̯i.jɑː.ʃiː/', '[ə̯i.jäː.ʃiː]']"
ओ,"['/oː/', '/oː/', '/o/', '[o]']"
ओहदा,"['/oːɦ.d̪ɑː/', '[oːɦ.d̪äː]']"
कद्दू,"['/kəd̪.d̪uː/', '[kəd̪̚.d̪uː]']"
कनीज़,"['/kə.niːd͡ʒ/', '[kə.n̪iːd͡ʒ]', '/kə.niːz/', '[kə.n̪iːz]']"
कबाब,"['/kə.bɑːb/', '[kə.bäːb]']"
कबाबचीनी,[]
कबूतर,['/kə.buː.t̪əɾ/']
कम-,"['/kəm/', '[kə̃m]']"
कमर,"['[kəˈməɾ]', '/kə.məɾ/', '/qə.məɾ/', '/kɐ.mɐ.ɾɐ/', '/ˈkɐ.mɐ.ɾɐ/']"
कमान,"['/kə.mɑːn/', '[kə.mä̃ːn̪]']"
कमी,['/kə.miː/']
कमीना,"['/kə.miː.nɑː/', '[kə.miː.n̪äː]']"
कमोबेश,['/kə.moː.beːʃ/']
करघा,"['/kəɾ.ɡʱɑː/', '[kəɾ.ɡʱäː]']"
कलफ़,[]
